structure,z,L,energy_eV,energy_rel_eV
COF-LZU-1_z30_L000_incl,3.0,0.0,-46692.98238858389,2.1176771891259705
COF-LZU-1_z30_L010_incl,3.0,1.0,-46693.88026381955,1.2198019534698687
COF-LZU-1_z30_L020_incl,3.0,2.0,-46694.42639789108,0.6736678819361259
COF-LZU-1_z30_L030_incl,3.0,3.0,-46694.69156305278,0.40850272023817524
COF-LZU-1_z30_L040_incl,3.0,4.0,-46694.58906674207,0.5109990309501882
COF-LZU-1_z30_L050_incl,3.0,5.0,-46694.4152174725,0.6848483005160233
COF-LZU-1_z30_L060_incl,3.0,6.0,-46694.08403945545,1.0160263175712316
COF-LZU-1_z30_L070_incl,3.0,7.0,-46693.98504917427,1.1150165987492073
COF-LZU-1_z30_L080_incl,3.0,8.0,-46694.126664557894,0.9734012151238858
COF-LZU-1_z30_L090_incl,3.0,9.0,-46694.21662720533,0.8834385676891543
COF-LZU-1_z30_L100_incl,3.0,10.0,-46694.30111010928,0.7989556637403439
COF-LZU-1_z30_L110_incl,3.0,11.0,-46694.222320134526,0.8777456384923426
COF-LZU-1_z30_L120_incl,3.0,12.0,-46694.232196492885,0.8678692801331636
COF-LZU-1_z30_L129_incl,3.0,12.9,-46694.165028167314,0.9350376057045651
COF-LZU-1_z31_L000_incl,3.1,0.0,-46693.90955958619,1.190506186831044
COF-LZU-1_z31_L010_incl,3.1,1.0,-46694.50013937594,0.5999263970807078
COF-LZU-1_z31_L020_incl,3.1,2.0,-46694.81440334983,0.2856624231862952
COF-LZU-1_z31_L030_incl,3.1,3.0,-46694.91763076721,0.18243500580865657
COF-LZU-1_z31_L040_incl,3.1,4.0,-46694.77836194562,0.3217038274015067
COF-LZU-1_z31_L050_incl,3.1,5.0,-46694.59355626216,0.5065095108584501
COF-LZU-1_z31_L060_incl,3.1,6.0,-46694.303150448075,0.7969153249432566
COF-LZU-1_z31_L070_incl,3.1,7.0,-46694.202345842394,0.8977199306245893
COF-LZU-1_z31_L080_incl,3.1,8.0,-46694.2785659339,0.8214998391194968
COF-LZU-1_z31_L090_incl,3.1,9.0,-46694.322019851425,0.7780459215937299
COF-LZU-1_z31_L100_incl,3.1,10.0,-46694.35999335193,0.7400724210892804
COF-LZU-1_z31_L110_incl,3.1,11.0,-46694.289629332554,0.8104364404644002
COF-LZU-1_z31_L120_incl,3.1,12.0,-46694.293014973664,0.8070507993543288
COF-LZU-1_z31_L129_incl,3.1,12.9,-46694.2423905393,0.8576752337176003
COF-LZU-1_z32_L000_incl,3.2,0.0,-46694.48381768758,0.6162480854400201
COF-LZU-1_z32_L010_incl,3.2,1.0,-46694.86251157578,0.23755419723602245
COF-LZU-1_z32_L020_incl,3.2,2.0,-46695.02097376383,0.07909200918948045
COF-LZU-1_z32_L030_incl,3.2,3.0,-46695.02182030458,0.07824546843767166
COF-LZU-1_z32_L040_incl,3.2,4.0,-46694.863911130546,0.23615464247268392
COF-LZU-1_z32_L050_incl,3.2,5.0,-46694.68100159381,0.4190641792083625
COF-LZU-1_z32_L060_incl,3.2,6.0,-46694.42729916091,0.6727666121078073
COF-LZU-1_z32_L070_incl,3.2,7.0,-46694.32881554556,0.7712502274589497
COF-LZU-1_z32_L080_incl,3.2,8.0,-46694.360392814786,0.7396729582324042
COF-LZU-1_z32_L090_incl,3.2,9.0,-46694.37030588331,0.7297598897057469
COF-LZU-1_z32_L100_incl,3.2,10.0,-46694.37670943345,0.7233563395711826
COF-LZU-1_z32_L110_incl,3.2,11.0,-46694.315254531815,0.7848112412029877
COF-LZU-1_z32_L120_incl,3.2,12.0,-46694.31497462093,0.7850911520872614
COF-LZU-1_z32_L129_incl,3.2,12.9,-46694.27716630157,0.8228994714518194
COF-LZU-1_z33_L000_incl,3.3,0.0,-46694.80313488743,0.2969308855899726
COF-LZU-1_z33_L010_incl,3.3,1.0,-46695.04007059748,0.059995175535732415
COF-LZU-1_z33_L020_incl,3.3,2.0,-46695.10006577302,0.0
COF-LZU-1_z33_L030_incl,3.3,3.0,-46695.04069661853,0.059369154485466424
COF-LZU-1_z33_L040_incl,3.3,4.0,-46694.87720287172,0.22286290129704867
COF-LZU-1_z33_L050_incl,3.3,5.0,-46694.702883376296,0.3971823967222008
COF-LZU-1_z33_L060_incl,3.3,6.0,-46694.482144059824,0.6179217131939367
COF-LZU-1_z33_L070_incl,3.3,7.0,-46694.388522563495,0.71154320952337
COF-LZU-1_z33_L080_incl,3.3,8.0,-46694.390875720776,0.709190052242775
COF-LZU-1_z33_L090_incl,3.3,9.0,-46694.3786443612,0.7214214118212112
COF-LZU-1_z33_L100_incl,3.3,10.0,-46694.364737185526,0.735328587492404
COF-LZU-1_z33_L110_incl,3.3,11.0,-46694.31180192289,0.7882638501250767
COF-LZU-1_z33_L120_incl,3.3,12.0,-46694.30911799216,0.7909477808570955
COF-LZU-1_z33_L129_incl,3.3,12.9,-46694.28110964509,0.8189561279286863
COF-LZU-1_z34_L000_incl,3.4,0.0,-46694.94582688547,0.15423888754594373
COF-LZU-1_z34_L010_incl,3.4,1.0,-46695.09033285221,0.00973292080743704
COF-LZU-1_z34_L020_incl,3.4,2.0,-46695.09296778059,0.007097992427588906
COF-LZU-1_z34_L030_incl,3.4,3.0,-46695.002496414505,0.09756935851328308
COF-LZU-1_z34_L040_incl,3.4,4.0,-46694.84250698044,0.25755879257485503
COF-LZU-1_z34_L050_incl,3.4,5.0,-46694.67976570621,0.4203000668057939
COF-LZU-1_z34_L060_incl,3.4,6.0,-46694.488332347275,0.6117334257432958
COF-LZU-1_z34_L070_incl,3.4,7.0,-46694.4007774548,0.699288318217441
COF-LZU-1_z34_L080_incl,3.4,8.0,-46694.384954490066,0.7151112829524209
COF-LZU-1_z34_L090_incl,3.4,9.0,-46694.35990319983,0.7401625731872628
COF-LZU-1_z34_L100_incl,3.4,10.0,-46694.33387930413,0.7661864688852802
COF-LZU-1_z34_L110_incl,3.4,11.0,-46694.28879157609,0.8112741969307535
COF-LZU-1_z34_L120_incl,3.4,12.0,-46694.28414645851,0.8159193145111203
COF-LZU-1_z34_L129_incl,3.4,12.9,-46694.26363109214,0.8364346808812115
COF-LZU-1_z35_L000_incl,3.5,0.0,-46694.97337444096,0.1266913320578169
COF-LZU-1_z35_L010_incl,3.5,1.0,-46695.05831061462,0.0417551583959721
COF-LZU-1_z35_L020_incl,3.5,2.0,-46695.031156104604,0.06890966841456247
COF-LZU-1_z35_L030_incl,3.5,3.0,-46694.92887867069,0.17118710232898593
COF-LZU-1_z35_L040_incl,3.5,4.0,-46694.778288298265,0.32177747475361684
COF-LZU-1_z35_L050_incl,3.5,5.0,-46694.627975407566,0.4720903654524591
COF-LZU-1_z35_L060_incl,3.5,6.0,-46694.46225412292,0.6378116501000477
COF-LZU-1_z35_L070_incl,3.5,7.0,-46694.38107928761,0.7189864854080952
COF-LZU-1_z35_L080_incl,3.5,8.0,-46694.35471464415,0.7453511288695154
COF-LZU-1_z35_L090_incl,3.5,9.0,-46694.32382267106,0.7762431019582436
COF-LZU-1_z35_L100_incl,3.5,10.0,-46694.29141212046,0.8086536525588599
COF-LZU-1_z35_L110_incl,3.5,11.0,-46694.253430570236,0.846635202782636
COF-LZU-1_z35_L120_incl,3.5,12.0,-46694.24691150348,0.8531542695418466
COF-LZU-1_z35_L129_incl,3.5,12.9,-46694.23211472508,0.8679510479414603
COF-LZU-1_z36_L000_incl,3.6,0.0,-46694.93136093161,0.16870484140963526
COF-LZU-1_z36_L010_incl,3.6,1.0,-46694.97769965113,0.12236612189008156
COF-LZU-1_z36_L020_incl,3.6,2.0,-46694.93798580804,0.162079964975419
COF-LZU-1_z36_L030_incl,3.6,3.0,-46694.83588548707,0.2641802859507152
COF-LZU-1_z36_L040_incl,3.6,4.0,-46694.698083179675,0.4019825933428365
COF-LZU-1_z36_L050_incl,3.6,5.0,-46694.559916528335,0.5401492446835618
COF-LZU-1_z36_L060_incl,3.6,6.0,-46694.41651530054,0.6835504724804196
COF-LZU-1_z36_L070_incl,3.6,7.0,-46694.341579448745,0.7584863242736901
COF-LZU-1_z36_L080_incl,3.6,8.0,-46694.30977068896,0.7902950840580161
COF-LZU-1_z36_L090_incl,3.6,9.0,-46694.27775182848,0.8223139445399283
COF-LZU-1_z36_L100_incl,3.6,10.0,-46694.24278443278,0.857281340235204
COF-LZU-1_z36_L110_incl,3.6,11.0,-46694.21114772891,0.8889180441110511
COF-LZU-1_z36_L120_incl,3.6,12.0,-46694.20273221329,0.8973335597256664
COF-LZU-1_z36_L129_incl,3.6,12.9,-46694.19222719877,0.9078385742468527
COF-LZU-1_z37_L000_incl,3.7,0.0,-46694.851303028525,0.24876274449343327
COF-LZU-1_z37_L010_incl,3.7,1.0,-46694.87226639477,0.22779937824816443
COF-LZU-1_z37_L020_incl,3.7,2.0,-46694.82999081077,0.2700749622454168
COF-LZU-1_z37_L030_incl,3.7,3.0,-46694.73480825197,0.36525752105080755
COF-LZU-1_z37_L040_incl,3.7,4.0,-46694.611275404386,0.4887903686321806
COF-LZU-1_z37_L050_incl,3.7,5.0,-46694.48449377244,0.6155720005772309
COF-LZU-1_z37_L060_incl,3.7,6.0,-46694.360346781934,0.7397189910843736
COF-LZU-1_z37_L070_incl,3.7,7.0,-46694.29137988919,0.8086858838287299
COF-LZU-1_z37_L080_incl,3.7,8.0,-46694.257437073844,0.8426286991743837
COF-LZU-1_z37_L090_incl,3.7,9.0,-46694.227075470415,0.8729903026032844
COF-LZU-1_z37_L100_incl,3.7,10.0,-46694.19197091779,0.9080948552291375
COF-LZU-1_z37_L110_incl,3.7,11.0,-46694.16589891776,0.9341668552588089
COF-LZU-1_z37_L120_incl,3.7,12.0,-46694.15559804682,0.9444677261999459
COF-LZU-1_z37_L129_incl,3.7,12.9,-46694.148192219385,0.9518735536330496
COF-LZU-1_z38_L000_incl,3.8,0.0,-46694.75361566765,0.34645010536769405
COF-LZU-1_z38_L010_incl,3.8,1.0,-46694.75771728343,0.342348489590222
COF-LZU-1_z38_L020_incl,3.8,2.0,-46694.71820707625,0.38185869676817674
COF-LZU-1_z38_L030_incl,3.8,3.0,-46694.633094609555,0.46697116346331313
COF-LZU-1_z38_L040_incl,3.8,4.0,-46694.52390322612,0.5761625468949205
COF-LZU-1_z38_L050_incl,3.8,5.0,-46694.40768956306,0.6923762099613668
COF-LZU-1_z38_L060_incl,3.8,6.0,-46694.30011257647,0.7999531965469941
COF-LZU-1_z38_L070_incl,3.8,7.0,-46694.23688247344,0.8631832995815785
COF-LZU-1_z38_L080_incl,3.8,8.0,-46694.202924616795,0.8971411562233698
COF-LZU-1_z38_L090_incl,3.8,9.0,-46694.17552785919,0.924537913830136
COF-LZU-1_z38_L100_incl,3.8,10.0,-46694.14171048733,0.9583552856856841
COF-LZU-1_z38_L110_incl,3.8,11.0,-46694.120388640535,0.97967713248363
COF-LZU-1_z38_L120_incl,3.8,12.0,-46694.10832693058,0.9917388424364617
COF-LZU-1_z38_L129_incl,3.8,12.9,-46694.103034200685,0.9970315723330714
COF-LZU-1_z39_L000_incl,3.9,0.0,-46694.65069311796,0.4493726550572319
COF-LZU-1_z39_L010_incl,3.9,1.0,-46694.64374309167,0.45632268134795595
COF-LZU-1_z39_L020_incl,3.9,2.0,-46694.60944772375,0.49061804926896
COF-LZU-1_z39_L030_incl,3.9,3.0,-46694.535234358365,0.5648314146528719
COF-LZU-1_z39_L040_incl,3.9,4.0,-46694.439493976126,0.6605717968923273
COF-LZU-1_z39_L050_incl,3.9,5.0,-46694.333199092885,0.7668666801328072
COF-LZU-1_z39_L060_incl,3.9,6.0,-46694.23988085375,0.8601849192709778
COF-LZU-1_z39_L070_incl,3.9,7.0,-46694.182259372246,0.9178064007719513
COF-LZU-1_z39_L080_incl,3.9,8.0,-46694.1496283019,0.9504374711177661
COF-LZU-1_z39_L090_incl,3.9,9.0,-46694.12549621195,0.9745695610690746
COF-LZU-1_z39_L100_incl,3.9,10.0,-46694.0937215951,1.0063441779202549
COF-LZU-1_z39_L110_incl,3.9,11.0,-46694.0762990024,1.0237667706169304
COF-LZU-1_z39_L120_incl,3.9,12.0,-46694.06272964779,1.037336125227739
COF-LZU-1_z39_L129_incl,3.9,12.9,-46694.058798553444,1.0412672195743653
COF-LZU-1_z40_L000_incl,4.0,0.0,-46694.54954995676,0.5505158162559383
COF-LZU-1_z40_L010_incl,4.0,1.0,-46694.53580297307,0.5642627999477554
COF-LZU-1_z40_L020_incl,4.0,2.0,-46694.50742387783,0.5926418951858068
COF-LZU-1_z40_L030_incl,4.0,3.0,-46694.443568293405,0.6564974796128809
COF-LZU-1_z40_L040_incl,4.0,4.0,-46694.35980001284,0.7402657601778628
COF-LZU-1_z40_L050_incl,4.0,5.0,-46694.26302068277,0.8370450902511948
COF-LZU-1_z40_L060_incl,4.0,6.0,-46694.18201185543,0.9180539175868034
COF-LZU-1_z40_L070_incl,4.0,7.0,-46694.12996135101,0.9701044220055337
COF-LZU-1_z40_L080_incl,4.0,8.0,-46694.09949725939,1.0005685136275133
COF-LZU-1_z40_L090_incl,4.0,9.0,-46694.07829730769,1.0217684653252945
COF-LZU-1_z40_L100_incl,4.0,10.0,-46694.04890172169,1.0511640513286693
COF-LZU-1_z40_L110_incl,4.0,11.0,-46694.034523256836,1.0655425161821768
COF-LZU-1_z40_L120_incl,4.0,12.0,-46694.01984392003,1.080221852986142
COF-LZU-1_z40_L129_incl,4.0,12.9,-46694.016737295366,1.0833284776526853
