structure,z,L,energy_eV,energy_rel_eV
COF-LZU-1_z30_L000_serr,3.0,0.0,-93385.96477716792,4.206624750193441
COF-LZU-1_z30_L010_serr,3.0,1.0,-93387.65602009646,2.5153818216494983
COF-LZU-1_z30_L020_serr,3.0,2.0,-93388.62050670631,1.5508952117961599
COF-LZU-1_z30_L030_serr,3.0,3.0,-93389.30326165476,0.868140263351961
COF-LZU-1_z30_L040_serr,3.0,4.0,-93389.0962109307,1.0751909874088597
COF-LZU-1_z30_L050_serr,3.0,5.0,-93388.67973102236,1.4916708957462106
COF-LZU-1_z30_L060_serr,3.0,6.0,-93387.91615628068,2.255245637425105
COF-LZU-1_z30_L070_serr,3.0,7.0,-93387.70671225381,2.4646896642952925
COF-LZU-1_z30_L080_serr,3.0,8.0,-93388.02663193057,2.1447699875425315
COF-LZU-1_z30_L090_serr,3.0,9.0,-93388.22696804756,1.9444338705507107
COF-LZU-1_z30_L100_serr,3.0,10.0,-93388.42721647899,1.744185439121793
COF-LZU-1_z30_L110_serr,3.0,11.0,-93388.2679278363,1.9034740818024147
COF-LZU-1_z30_L120_serr,3.0,12.0,-93388.27470213507,1.8966997830430046
COF-LZU-1_z30_L129_serr,3.0,12.9,-93388.0858014216,2.085600496502593
COF-LZU-1_z31_L000_serr,3.1,0.0,-93387.81911917232,2.3522827457927633
COF-LZU-1_z31_L010_serr,3.1,1.0,-93388.93769529453,1.2337066235777456
COF-LZU-1_z31_L020_serr,3.1,2.0,-93389.502603645,0.6687982731091324
COF-LZU-1_z31_L030_serr,3.1,3.0,-93389.80107585865,0.37032605946296826
COF-LZU-1_z31_L040_serr,3.1,4.0,-93389.51545948462,0.6559424334845971
COF-LZU-1_z31_L050_serr,3.1,5.0,-93389.0971978476,1.0742040705081308
COF-LZU-1_z31_L060_serr,3.1,6.0,-93388.46270150563,1.708700412476901
COF-LZU-1_z31_L070_serr,3.1,7.0,-93388.25440398075,1.9169979373546084
COF-LZU-1_z31_L080_serr,3.1,8.0,-93388.42218552918,1.7492163889255608
COF-LZU-1_z31_L090_serr,3.1,9.0,-93388.52411727626,1.6472846418473637
COF-LZU-1_z31_L100_serr,3.1,10.0,-93388.60823091559,1.5631710025190841
COF-LZU-1_z31_L110_serr,3.1,11.0,-93388.46344820628,1.7079537118261214
COF-LZU-1_z31_L120_serr,3.1,12.0,-93388.45596077628,1.7154411418305244
COF-LZU-1_z31_L129_serr,3.1,12.9,-93388.32194305785,1.84945886026253
COF-LZU-1_z32_L000_serr,3.2,0.0,-93388.96763537514,1.2037665429670596
COF-LZU-1_z32_L010_serr,3.2,1.0,-93389.68874030438,0.4826616137288511
COF-LZU-1_z32_L020_serr,3.2,2.0,-93389.97899733412,0.19240458398417104
COF-LZU-1_z32_L030_serr,3.2,3.0,-93390.03438969764,0.13701222046802286
COF-LZU-1_z32_L040_serr,3.2,4.0,-93389.70828921147,0.4631127066386398
COF-LZU-1_z32_L050_serr,3.2,5.0,-93389.30832327565,0.8630786424619146
COF-LZU-1_z32_L060_serr,3.2,6.0,-93388.7757914863,1.395610431805835
COF-LZU-1_z32_L070_serr,3.2,7.0,-93388.57449401692,1.5969079011847498
COF-LZU-1_z32_L080_serr,3.2,8.0,-93388.64081762252,1.530584295585868
COF-LZU-1_z32_L090_serr,3.2,9.0,-93388.67104778047,1.5003541376354406
COF-LZU-1_z32_L100_serr,3.2,10.0,-93388.68094378927,1.4904581288428744
COF-LZU-1_z32_L110_serr,3.2,11.0,-93388.55090139563,1.6205005224765046
COF-LZU-1_z32_L120_serr,3.2,12.0,-93388.53675120235,1.6346507157577435
COF-LZU-1_z32_L129_serr,3.2,12.9,-93388.44221544858,1.7291864695289405
COF-LZU-1_z33_L000_serr,3.3,0.0,-93389.60626977494,0.5651321431651013
COF-LZU-1_z33_L010_serr,3.3,1.0,-93390.0587347843,0.11266713381337468
COF-LZU-1_z33_L020_serr,3.3,2.0,-93390.1709307813,0.000471136809210293
COF-LZU-1_z33_L030_serr,3.3,3.0,-93390.0821902416,0.08921167650260031
COF-LZU-1_z33_L040_serr,3.3,4.0,-93389.74437053133,0.4270313867746154
COF-LZU-1_z33_L050_serr,3.3,5.0,-93389.37170851718,0.7996934009279357
COF-LZU-1_z33_L060_serr,3.3,6.0,-93388.92091042445,1.2504914936580462
COF-LZU-1_z33_L070_serr,3.3,7.0,-93388.73014762888,1.4412542892241618
COF-LZU-1_z33_L080_serr,3.3,8.0,-93388.73187373896,1.4395281791512389
COF-LZU-1_z33_L090_serr,3.3,9.0,-93388.71398151694,1.4574204011732945
COF-LZU-1_z33_L100_serr,3.3,10.0,-93388.67902908534,1.492372832770343
COF-LZU-1_z33_L110_serr,3.3,11.0,-93388.56422892101,1.6071729971008608
COF-LZU-1_z33_L120_serr,3.3,12.0,-93388.54705267346,1.6243492446519667
COF-LZU-1_z33_L129_serr,3.3,12.9,-93388.48090961154,1.690492306574015
COF-LZU-1_z34_L000_serr,3.4,0.0,-93389.89165377094,0.27974814716435503
COF-LZU-1_z34_L010_serr,3.4,1.0,-93390.16659522252,0.004806695593288168
COF-LZU-1_z34_L020_serr,3.4,2.0,-93390.17140191811,0.0
COF-LZU-1_z34_L030_serr,3.4,3.0,-93390.00643600283,0.1649659152753884
COF-LZU-1_z34_L040_serr,3.4,4.0,-93389.67715052412,0.49425139398954343
COF-LZU-1_z34_L050_serr,3.4,5.0,-93389.33461622114,0.8367856969707645
COF-LZU-1_z34_L060_serr,3.4,6.0,-93388.95030510299,1.221096815119381
COF-LZU-1_z34_L070_serr,3.4,7.0,-93388.77178913655,1.3996127815626096
COF-LZU-1_z34_L080_serr,3.4,8.0,-93388.73455675923,1.4368451588816242
COF-LZU-1_z34_L090_serr,3.4,9.0,-93388.68806864659,1.483333271520678
COF-LZU-1_z34_L100_serr,3.4,10.0,-93388.62824318752,1.5431587305938592
COF-LZU-1_z34_L110_serr,3.4,11.0,-93388.5288983885,1.6425035296124406
COF-LZU-1_z34_L120_serr,3.4,12.0,-93388.51013867807,1.6612632400356233
COF-LZU-1_z34_L129_serr,3.4,12.9,-93388.46423712297,1.7071647951379418
COF-LZU-1_z35_L000_serr,3.5,0.0,-93389.94674888173,0.2246530363772763
COF-LZU-1_z35_L010_serr,3.5,1.0,-93390.10553331806,0.06586860005336348
COF-LZU-1_z35_L020_serr,3.5,2.0,-93390.05143176905,0.11997014905500691
COF-LZU-1_z35_L030_serr,3.5,3.0,-93389.85511208033,0.316289837777731
COF-LZU-1_z35_L040_serr,3.5,4.0,-93389.54721325262,0.6241886654897826
COF-LZU-1_z35_L050_serr,3.5,5.0,-93389.23446822287,0.936933695236803
COF-LZU-1_z35_L060_serr,3.5,6.0,-93388.90501646827,1.2663854498387082
COF-LZU-1_z35_L070_serr,3.5,7.0,-93388.73924523703,1.4321566810831428
COF-LZU-1_z35_L080_serr,3.5,8.0,-93388.6800963909,1.4913055272045312
COF-LZU-1_z35_L090_serr,3.5,9.0,-93388.61979948824,1.5516024298703996
COF-LZU-1_z35_L100_serr,3.5,10.0,-93388.54821410209,1.6231878160178894
COF-LZU-1_z35_L110_serr,3.5,11.0,-93388.46391919402,1.7074827240867307
COF-LZU-1_z35_L120_serr,3.5,12.0,-93388.44387993227,1.7275219858420314
COF-LZU-1_z35_L129_serr,3.5,12.9,-93388.41221081771,1.7591911003983114
COF-LZU-1_z36_L000_serr,3.6,0.0,-93389.86272186333,0.3086800547753228
COF-LZU-1_z36_L010_serr,3.6,1.0,-93389.94520433167,0.22619758643850219
COF-LZU-1_z36_L020_serr,3.6,2.0,-93389.86351803914,0.3078838789660949
COF-LZU-1_z36_L030_serr,3.6,3.0,-93389.66365713395,0.5077447841613321
COF-LZU-1_z36_L040_serr,3.6,4.0,-93389.38406900261,0.7873329154972453
COF-LZU-1_z36_L050_serr,3.6,5.0,-93389.09931940662,1.0720825114840409
COF-LZU-1_z36_L060_serr,3.6,6.0,-93388.8157088856,1.3556930325139547
COF-LZU-1_z36_L070_serr,3.6,7.0,-93388.66253734405,1.5088645740615902
COF-LZU-1_z36_L080_serr,3.6,8.0,-93388.59242970531,1.5789722127956338
COF-LZU-1_z36_L090_serr,3.6,9.0,-93388.52845904215,1.642942875958397
COF-LZU-1_z36_L100_serr,3.6,10.0,-93388.4533105829,1.718091335205827
COF-LZU-1_z36_L110_serr,3.6,11.0,-93388.38306484652,1.7883370715862839
COF-LZU-1_z36_L120_serr,3.6,12.0,-93388.36150841959,1.80989349851734
COF-LZU-1_z36_L129_serr,3.6,12.9,-93388.33964731313,1.8317546049802331
COF-LZU-1_z37_L000_serr,3.7,0.0,-93389.70260605706,0.4687958610447822
COF-LZU-1_z37_L010_serr,3.7,1.0,-93389.73449108283,0.4369108352839248
COF-LZU-1_z37_L020_serr,3.7,2.0,-93389.64439491369,0.5270070044207387
COF-LZU-1_z37_L030_serr,3.7,3.0,-93389.45660250421,0.7147994138940703
COF-LZU-1_z37_L040_serr,3.7,4.0,-93389.20783328786,0.963568630249938
COF-LZU-1_z37_L050_serr,3.7,5.0,-93388.94879819779,1.2226037203217857
COF-LZU-1_z37_L060_serr,3.7,6.0,-93388.70386573911,1.4675361789995804
COF-LZU-1_z37_L070_serr,3.7,7.0,-93388.56295098586,1.6084509322536178
COF-LZU-1_z37_L080_serr,3.7,8.0,-93388.4888056788,1.682596239304985
COF-LZU-1_z37_L090_serr,3.7,9.0,-93388.42729845316,1.7441034649527865
COF-LZU-1_z37_L100_serr,3.7,10.0,-93388.35336793968,1.8180339784303214
COF-LZU-1_z37_L110_serr,3.7,11.0,-93388.29575551624,1.8756464018661063
COF-LZU-1_z37_L120_serr,3.7,12.0,-93388.27231711065,1.8990848074608948
COF-LZU-1_z37_L129_serr,3.7,12.9,-93388.25699973144,1.9144021866668481
COF-LZU-1_z38_L000_serr,3.8,0.0,-93389.50723133507,0.6641705830406863
COF-LZU-1_z38_L010_serr,3.8,1.0,-93389.50546037183,0.6659415462781908
COF-LZU-1_z38_L020_serr,3.8,2.0,-93389.41808993855,0.753311979555292
COF-LZU-1_z38_L030_serr,3.8,3.0,-93389.24967284263,0.9217290754750138
COF-LZU-1_z38_L040_serr,3.8,4.0,-93389.03115911063,1.140242807479808
COF-LZU-1_z38_L050_serr,3.8,5.0,-93388.79565666894,1.375745249169995
COF-LZU-1_z38_L060_serr,3.8,6.0,-93388.58358030146,1.5878216166456696
COF-LZU-1_z38_L070_serr,3.8,7.0,-93388.45460067298,1.716801245129318
COF-LZU-1_z38_L080_serr,3.8,8.0,-93388.38078705024,1.7906148678739555
COF-LZU-1_z38_L090_serr,3.8,9.0,-93388.32479051573,1.8466114023758564
COF-LZU-1_z38_L100_serr,3.8,10.0,-93388.25461127114,1.9167906469665468
COF-LZU-1_z38_L110_serr,3.8,11.0,-93388.20794762328,1.9634542948333547
COF-LZU-1_z38_L120_serr,3.8,12.0,-93388.1824208808,1.9889810373133514
COF-LZU-1_z38_L129_serr,3.8,12.9,-93388.17126998614,2.0001319319708273
COF-LZU-1_z39_L000_serr,3.9,0.0,-93389.30138623617,0.8700156819395488
COF-LZU-1_z39_L010_serr,3.9,1.0,-93389.27772542878,0.893676489329664
