structure,rank,two_theta_deg,relative_intensity
COF-LZU-1_z33_L020_incl,1,4.75312,100.0
COF-LZU-1_z33_L020_incl,2,4.77714,99.22
COF-LZU-1_z33_L020_incl,3,5.30529,95.627
COF-LZU-1_z33_L020_incl,4,9.56262,11.15
COF-LZU-1_z33_L020_incl,5,10.62199,10.803
COF-LZU-1_z33_L020_incl,6,9.51443,10.426
COF-LZU-1_z33_L020_incl,7,7.92136,9.38
COF-LZU-1_z33_L020_incl,8,8.87466,7.851
COF-LZU-1_z33_L020_incl,9,8.9134,7.132
COF-LZU-1_z33_L020_incl,10,27.47342,5.941
COF-LZU-1_z33_L020_incl,11,26.59261,5.017
COF-LZU-1_z33_L020_incl,12,12.17388,4.54
COF-LZU-1_z33_L020_incl,13,12.20225,3.993
COF-LZU-1_z33_L020_incl,14,13.84953,3.5379999999999994
COF-LZU-1_z33_L020_incl,15,26.47296,3.3360000000000003
COF-LZU-1_z33_L020_incl,16,13.89116,3.3170000000000006
COF-LZU-1_z33_L020_incl,17,13.22925,2.746
COF-LZU-1_z33_L020_incl,18,13.29885,2.682
COF-LZU-1_z33_L020_incl,19,15.8809,2.42
COF-LZU-1_z33_L020_incl,20,26.57865,1.815
COF-LZU-1_z33_L020_incl,21,26.34772,1.606
COF-LZU-1_z33_L020_incl,22,25.12998,1.471
COF-LZU-1_z33_L020_incl,23,25.17459,1.409
