structure,rank,two_theta_deg,relative_intensity
COF-LZU-1_z34_L020_serr,1,4.56974,100.0
COF-LZU-1_z34_L020_serr,2,4.56179,97.979
COF-LZU-1_z34_L020_serr,3,4.56348,94.14
COF-LZU-1_z34_L020_serr,4,9.14677,11.247
COF-LZU-1_z34_L020_serr,5,9.13082,10.383
COF-LZU-1_z34_L020_serr,6,26.52295,10.355
COF-LZU-1_z34_L020_serr,7,9.13422,8.835
COF-LZU-1_z34_L020_serr,8,7.91365,8.564
COF-LZU-1_z34_L020_serr,9,7.91659,7.734000000000001
COF-LZU-1_z34_L020_serr,10,7.90279,7.112
COF-LZU-1_z34_L020_serr,11,12.09636,3.807
COF-LZU-1_z34_L020_serr,12,12.10542,3.6629999999999994
COF-LZU-1_z34_L020_serr,13,12.10863,3.3709999999999996
COF-LZU-1_z34_L020_serr,14,26.92796,2.862
COF-LZU-1_z34_L020_serr,15,12.1015,2.553
COF-LZU-1_z34_L020_serr,16,12.08446,2.544
COF-LZU-1_z34_L020_serr,17,12.08639,2.441
COF-LZU-1_z34_L020_serr,18,15.86536,1.7579999999999998
COF-LZU-1_z34_L020_serr,19,26.92655,1.397
COF-LZU-1_z34_L020_serr,20,26.92657,1.397
COF-LZU-1_z34_L020_serr,21,26.92685,1.344
COF-LZU-1_z34_L020_serr,22,26.92687,1.343
COF-LZU-1_z34_L020_serr,23,28.11057,1.216
COF-LZU-1_z34_L020_serr,24,15.87128,1.099
