structure,rank,two_theta_deg,relative_intensity
COF-LZU-1_z34_L020_serr_0.9460,1,4.83071,100.0
COF-LZU-1_z34_L020_serr_0.9460,2,4.82231,97.843
COF-LZU-1_z34_L020_serr_0.9460,3,4.8241,94.306
COF-LZU-1_z34_L020_serr_0.9460,4,26.52295,11.833
COF-LZU-1_z34_L020_serr_0.9460,5,9.67004,10.532
COF-LZU-1_z34_L020_serr_0.9460,6,9.65318,9.71
COF-LZU-1_z34_L020_serr_0.9460,7,9.65677,8.3
COF-LZU-1_z34_L020_serr_0.9460,8,8.36611,8.123
COF-LZU-1_z34_L020_serr_0.9460,9,8.36922,7.3950000000000005
COF-LZU-1_z34_L020_serr_0.9460,10,8.35463,6.721000000000001
COF-LZU-1_z34_L020_serr_0.9460,11,12.78957,3.9919999999999995
COF-LZU-1_z34_L020_serr_0.9460,12,12.80255,3.556
COF-LZU-1_z34_L020_serr_0.9460,13,26.97514,3.192
COF-LZU-1_z34_L020_serr_0.9460,14,12.77903,2.561
COF-LZU-1_z34_L020_serr_0.9460,15,12.79915,2.488
COF-LZU-1_z34_L020_serr_0.9460,16,12.79501,1.764
COF-LZU-1_z34_L020_serr_0.9460,17,12.77699,1.7209999999999999
COF-LZU-1_z34_L020_serr_0.9460,18,26.97359,1.558
COF-LZU-1_z34_L020_serr_0.9460,19,26.97357,1.555
COF-LZU-1_z34_L020_serr_0.9460,20,26.97393,1.502
COF-LZU-1_z34_L020_serr_0.9460,21,26.97391,1.5
COF-LZU-1_z34_L020_serr_0.9460,22,28.29158,1.263
COF-LZU-1_z34_L020_serr_0.9460,23,16.77724,1.217
