structure,z,L,energy_eV,energy_rel_eV,energy_eV_original,energy_rel_eV_original
COF-366-Co-CN_z40_L000_incl,4.0,0.0,-74781.31660664603,1.2242497211226018,-74781.994550074,0.5463062931521563
COF-366-Co-CN_z40_L010_incl,4.0,1.0,-74780.20374084957,2.337115517579268,-74780.7500950688,1.7907612983544825
COF-366-Co-CN_z40_L020_incl,4.0,2.0,-74777.94403799972,4.596818367433833,-74778.45516582581,4.085690541338408
COF-366-Co-CN_z40_L030_incl,4.0,3.0,-74776.5007008216,6.040155545552322,-74777.19258646395,5.34826990320289
COF-366-Co-CN_z40_L040_incl,4.0,4.0,-74777.90754481901,4.633311548135521,-74778.76438925705,3.7764671101031126
COF-366-Co-CN_z40_L050_incl,4.0,5.0,-74780.9767859788,1.5640703883488096,-74781.91080926353,0.6300471036229283
COF-366-Co-CN_z40_L060_incl,4.0,6.0,-74781.39275467144,1.1481016957169783,-74782.26041482446,0.2804415426944615
COF-366-Co-CN_z40_L070_incl,4.0,7.0,-74780.63470354352,1.9061528236407965,-74781.41586231503,1.1249940521229291
COF-366-Co-CN_z40_L080_incl,4.0,8.0,-74778.94634532213,3.5945110450240962,-74779.70074642573,2.840109941418632
COF-366-Co-CN_z40_L090_incl,4.0,9.0,-74778.23084935645,4.310007010696494,-74778.98228844063,3.5585679265204817
COF-366-Co-CN_z40_L100_incl,4.0,10.0,-74779.84443514049,2.6964212266540577,-74780.59574715825,1.9451092089002489
COF-366-Co-CN_z41_L000_incl,4.1,0.0,-74781.68801179335,0.8528445738071986,-74782.27037880644,0.2704775607126066
COF-366-Co-CN_z41_L010_incl,4.1,1.0,-74781.02487626803,1.515980099129,-74781.33981457877,1.2010417883866469
COF-366-Co-CN_z41_L020_incl,4.1,2.0,-74779.3995522331,3.141304134059749,-74779.66822089002,2.8726354771351907
COF-366-Co-CN_z41_L030_incl,4.1,3.0,-74778.06128437923,4.4795719879208225,-74778.6834748047,3.857381562454975
COF-366-Co-CN_z41_L040_incl,4.1,4.0,-74778.89357900465,3.64727736249644,-74779.78824293554,2.7526134316140087
COF-366-Co-CN_z41_L050_incl,4.1,5.0,-74781.0082654794,1.5325908877550742,-74782.01651809491,0.5243382722401293
COF-366-Co-CN_z41_L060_incl,4.1,6.0,-74781.33286240663,1.207993960513335,-74782.24792704565,0.2929293214983772
COF-366-Co-CN_z41_L070_incl,4.1,7.0,-74780.79189336879,1.7489629983566695,-74781.58521473031,0.955641636843211
COF-366-Co-CN_z41_L080_incl,4.1,8.0,-74779.48227426963,3.0585820975253477,-74780.23793498453,2.302921382623026
COF-366-Co-CN_z41_L090_incl,4.1,9.0,-74778.93302749355,3.6078288735994173,-74779.68451924302,2.856337124132552
COF-366-Co-CN_z41_L100_incl,4.1,10.0,-74780.14505346061,2.3958029065402564,-74780.89636636735,1.6444899998023177
COF-366-Co-CN_z42_L000_incl,4.2,0.0,-74781.99796243745,0.5428939296990369,-74782.43673574927,0.1041206178779248
COF-366-Co-CN_z42_L010_incl,4.2,1.0,-74781.74757055724,0.7932858099153677,-74781.74957351295,0.7912828542030184
COF-366-Co-CN_z42_L020_incl,4.2,2.0,-74780.57625686546,1.9645995016884645,-74780.53515916971,2.005697197440896
COF-366-Co-CN_z42_L030_incl,4.2,3.0,-74779.23352134196,3.307335025192247,-74779.76697301058,2.7738833565672394
COF-366-Co-CN_z42_L040_incl,4.2,4.0,-74779.58631590212,2.9545404650330536,-74780.51405203811,2.0268043290416244
COF-366-Co-CN_z42_L050_incl,4.2,5.0,-74780.98915521878,1.5517011483815182,-74782.06808904828,0.4727673188754124
COF-366-Co-CN_z42_L060_incl,4.2,6.0,-74781.25010200945,1.2907543577051634,-74782.21043947236,0.3304168947943253
COF-366-Co-CN_z42_L070_incl,4.2,7.0,-74780.88694308235,1.6539132847971796,-74781.69188150876,0.8489748583961045
COF-366-Co-CN_z42_L080_incl,4.2,8.0,-74779.88423918725,2.6566171799083844,-74780.64110302272,1.89975334443443
COF-366-Co-CN_z42_L090_incl,4.2,9.0,-74779.46479085265,3.0760655145021505,-74780.2163329055,2.324523461647914
COF-366-Co-CN_z42_L100_incl,4.2,10.0,-74780.36205326174,2.178803105413773,-74781.11336701759,1.4274893495603465
COF-366-Co-CN_z43_L000_incl,4.3,0.0,-74782.21912671429,0.3217296528667197,-74782.51979506269,0.0210613044619094
COF-366-Co-CN_z43_L010_incl,4.3,1.0,-74782.28422444972,0.2566319174316188,-74782.02105297294,0.5198033942142501
COF-366-Co-CN_z43_L020_incl,4.3,2.0,-74781.43190040319,1.108955963962352,-74781.14028949052,1.4005668766330928
COF-366-Co-CN_z43_L030_incl,4.3,3.0,-74780.07791730714,2.462939060014754,-74780.54188094931,1.9989754178386647
COF-366-Co-CN_z43_L040_incl,4.3,4.0,-74780.06856508786,2.472291279298126,-74781.01910007426,1.5217562928883126
COF-366-Co-CN_z43_L050_incl,4.3,5.0,-74780.9489192602,1.591937106953542,-74782.0791447048,0.4617116623558104
COF-366-Co-CN_z43_L060_incl,4.3,6.0,-74781.16300355556,1.3778528115953594,-74782.1563060933,0.3845502738549839
COF-366-Co-CN_z43_L070_incl,4.3,7.0,-74780.93807013324,1.6027862339163605,-74781.75146872117,0.7893876459856983
COF-366-Co-CN_z43_L080_incl,4.3,8.0,-74780.18051886848,2.360337498668176,-74780.93825888471,1.6025974824442528
COF-366-Co-CN_z43_L090_incl,4.3,9.0,-74779.8612366777,2.6796196894549427,-74780.61281536434,1.9280410028150072
COF-366-Co-CN_z43_L100_incl,4.3,10.0,-74780.51400357723,2.0268527899192756,-74781.26531795146,1.275538415691699
COF-366-Co-CN_z44_L000_incl,4.4,0.0,-74782.29793530573,0.2429210614220395,-74782.54085636715,0.0
COF-366-Co-CN_z44_L010_incl,4.4,1.0,-74782.54085636715,0.0,-74782.18628939202,0.3545669751329114
COF-366-Co-CN_z44_L020_incl,4.4,2.0,-74781.89788149112,0.0,-74781.54880630186,0.9920500652951888
COF-366-Co-CN_z44_L030_incl,4.4,3.0,-74780.62612548909,0.0,-74781.0814230919,1.4594332752458286
COF-366-Co-CN_z44_L040_incl,4.4,4.0,-74780.3986215233,2.1422348438463805,-74781.35898939653,1.181866970626288
COF-366-Co-CN_z44_L050_incl,4.4,5.0,-74780.91165122409,1.6292051430671792,-74782.06065184019,0.4802045269607333
COF-366-Co-CN_z44_L060_incl,4.4,6.0,-74781.08630899155,1.4545473755949503,-74782.09171497336,0.4491413937939796
COF-366-Co-CN_z44_L070_incl,4.4,7.0,-74780.96001035547,1.5808460116765648,-74781.77651581158,0.7643405555718346
COF-366-Co-CN_z44_L080_incl,4.4,8.0,-74780.39409861318,2.146757753974982,-74781.15216039494,1.3886959722149186
COF-366-Co-CN_z44_L090_incl,4.4,9.0,-74780.15206421919,2.388792147960572,-74780.90365635908,1.6372000080737052
COF-366-Co-CN_z44_L100_incl,4.4,10.0,-74780.61640404526,1.9244523218892347,-74781.36771864658,1.173137720572413
COF-366-Co-CN_z45_L000_incl,4.5,0.0,-74782.21667876384,0.32417760331193674,-74782.51694983375,0.0239065334026236
COF-366-Co-CN_z45_L010_incl,4.5,1.0,-74782.47885815447,0.06199821267701491,-74782.2705167384,0.2703396287543
COF-366-Co-CN_z45_L020_incl,4.5,2.0,-74781.99302544739,0.5478309197585844,-74781.810230377,0.7306259901524754
COF-366-Co-CN_z45_L030_incl,4.5,3.0,-74780.92705367706,1.6138026900808615,-74781.44172555872,1.0991308084339837
COF-366-Co-CN_z45_L040_incl,4.5,4.0,-74780.61992981753,1.920926549616377,-74781.57557245209,0.965283915065811
COF-366-Co-CN_z45_L050_incl,4.5,5.0,-74780.8913272957,1.6495290714460573,-74782.02151229003,0.5193440771254245
COF-366-Co-CN_z45_L060_incl,4.5,6.0,-74781.02794357187,1.5129127952768626,-74782.02124270647,0.5196136606828077
COF-366-Co-CN_z45_L070_incl,4.5,7.0,-74780.96342362708,1.5774327400762467,-74781.77682222577,0.7640341413789429
COF-366-Co-CN_z45_L080_incl,4.5,8.0,-74780.54349526008,1.997361107069432,-74781.30123527753,1.2396210896258708
COF-366-Co-CN_z45_L090_incl,4.5,9.0,-74780.36088096889,2.1799753982669063,-74781.11245965553,1.428396711620735
COF-366-Co-CN_z45_L100_incl,4.5,10.0,-74780.6819073584,1.8589490087492537,-74781.43322173263,1.1076346345216734
COF-366-Co-CN_z46_L000_incl,4.6,0.0,-74782.0202956725,0.5205606946534318,-74782.46143972626,0.0794166408886667
COF-366-Co-CN_z46_L010_incl,4.6,1.0,-74782.20985782346,0.3309985436878896,-74782.29412026591,0.2467361012386391
COF-366-Co-CN_z46_L020_incl,4.6,2.0,-74781.8444035907,0.6964527764524315,-74781.96266343963,0.5781929275253788
COF-366-Co-CN_z46_L030_incl,4.6,3.0,-74781.06073021513,1.4801261520117064,-74781.66780149398,0.873054873169167
COF-366-Co-CN_z46_L040_incl,4.6,4.0,-74780.76722314837,1.7736332187792387,-74781.70245617341,0.8384001937374705
COF-366-Co-CN_z46_L050_incl,4.6,5.0,-74780.88999368428,1.6508626828660518,-74781.96887965662,0.5719767105329083
COF-366-Co-CN_z46_L060_incl,4.6,6.0,-74780.98802716749,1.5528291996548236,-74781.94836009188,0.5924962752760621
COF-366-Co-CN_z46_L070_incl,4.6,7.0,-74780.95489401443,1.5859623527192144,-74781.75983246067,0.7810239064856432
COF-366-Co-CN_z46_L080_incl,4.6,8.0,-74780.64350279057,1.897353576578693,-74781.4003666278,1.1404897393513238
COF-366-Co-CN_z46_L090_incl,4.6,9.0,-74780.50607170784,2.0347846593046595,-74781.25761376071,1.2832426064414904
COF-366-Co-CN_z46_L100_incl,4.6,10.0,-74780.72040547837,1.820450888783768,-74781.47171923422,1.0691371329303363
COF-366-Co-CN_z47_L000_incl,4.7,0.0,-74781.7963390803,0.7445172868472936,-74782.38457183531,0.156284531840356
COF-366-Co-CN_z47_L010_incl,4.7,1.0,-74781.88335019849,0.6575061686590756,-74782.27380829056,0.267048076595529
COF-366-Co-CN_z47_L020_incl,4.7,2.0,-74781.62560504125,0.9152513259091182,-74782.03574057344,0.5051157937123207
COF-366-Co-CN_z47_L030_incl,4.7,3.0,-74781.10908130695,1.4317750602095007,-74781.79579264077,0.7450637263827957
COF-366-Co-CN_z47_L040_incl,4.7,4.0,-74780.86453841813,1.6763179490278919,-74781.76588008877,0.7749762783787446
COF-366-Co-CN_z47_L050_incl,4.7,5.0,-74780.90014416828,1.640712198868163,-74781.90836885941,0.6324875077407341
COF-366-Co-CN_z47_L060_incl,4.7,6.0,-74780.96057874987,1.5802776172770152,-74781.87563993804,0.6652164291153895
COF-366-Co-CN_z47_L070_incl,4.7,7.0,-74780.9378154081,1.603040959049563,-74781.73113679241,0.8097195747395745
COF-366-Co-CN_z47_L080_incl,4.7,8.0,-74780.70588912907,1.8349672380860897,-74781.46154984548,1.079306521671242
COF-366-Co-CN_z47_L090_incl,4.7,9.0,-74780.60231025115,1.9385461160027035,-74781.35380200062,1.187054366528173
COF-366-Co-CN_z47_L100_incl,4.7,10.0,-74780.73934112495,1.8015152422017802,-74781.49065403169,1.0502023354638368
COF-366-Co-CN_z48_L000_incl,4.8,0.0,-74781.60976029698,0.9310960701667685,-74782.29411835349,0.2467380136658903
COF-366-Co-CN_z48_L010_incl,4.8,1.0,-74781.62716808854,0.9136882786130716,-74782.22317412577,0.3176822413806803
COF-366-Co-CN_z48_L020_incl,4.8,2.0,-74781.45161929731,1.0892370698468234,-74782.05234877544,0.4885075917118229
COF-366-Co-CN_z48_L030_incl,4.8,3.0,-74781.12206623793,1.418790129215931,-74781.85423736626,0.6866190008877311
COF-366-Co-CN_z48_L040_incl,4.8,4.0,-74780.92417846991,1.616677897234809,-74781.78527506714,0.7555813000071794
COF-366-Co-CN_z48_L050_incl,4.8,5.0,-74780.91018990346,1.630666463690763,-74781.84420601936,0.6966503477888182
COF-366-Co-CN_z48_L060_incl,4.8,6.0,-74780.93728442343,1.603571943719446,-74781.8049428165,0.7359135506558232
COF-366-Co-CN_z48_L070_incl,4.8,7.0,-74780.91379718938,1.6270591777788068,-74781.69495597907,0.8459003880852833
COF-366-Co-CN_z48_L080_incl,4.8,8.0,-74780.74004729636,1.800809070793097,-74781.49444840089,1.0464079662633594
COF-366-Co-CN_z48_L090_incl,4.8,9.0,-74780.66169044931,1.8791659178368638,-74781.4131295335,1.1277268336561974
COF-366-Co-CN_z48_L100_incl,4.8,10.0,-74780.74423918243,1.7966171847148549,-74781.49555120019,1.0453051669610431
COF-366-Co-CN_z49_L000_incl,4.9,0.0,-74781.46798764658,1.0728687205756362,-74782.1960301614,0.344826205749996
COF-366-Co-CN_z49_L010_incl,4.9,1.0,-74781.45956055068,1.081295816469834,-74782.15295287728,0.3879034898709506
COF-366-Co-CN_z49_L020_incl,4.9,2.0,-74781.3375646783,1.2032916888537357,-74782.03003168589,0.5108246812596917
COF-366-Co-CN_z49_L030_incl,4.9,3.0,-74781.11547195034,1.4253844168193617,-74781.86507540011,0.6757809670380084
COF-366-Co-CN_z49_L040_incl,4.9,4.0,-74780.95164423686,1.5892121302840567,-74781.77489992027,0.7659564468776807
COF-366-Co-CN_z49_L050_incl,4.9,5.0,-74780.91037593968,1.6304804274757354,-74781.77948537657,0.7613709905854193
COF-366-Co-CN_z49_L060_incl,4.9,6.0,-74780.91131092433,1.6295454428218574,-74781.7375962755,0.8032600916485535
COF-366-Co-CN_z49_L070_incl,4.9,7.0,-74780.88396803563,1.6568883315240597,-74781.65451222789,0.8863441392604727
COF-366-Co-CN_z49_L080_incl,4.9,8.0,-74780.75348794088,1.787368426281008,-74781.50678975572,1.0340666114352643
COF-366-Co-CN_z49_L090_incl,4.9,9.0,-74780.69415594157,1.8467004255834627,-74781.44554906366,1.0953073034906993
COF-366-Co-CN_z49_L100_incl,4.9,10.0,-74780.73930748046,1.8015488866884257,-74781.49061872238,1.0502376447693678
COF-366-Co-CN_z50_L000_incl,5.0,0.0,-74781.35162300931,1.1892333578378602,-74782.0949708289,0.4458855382545152
COF-366-Co-CN_z50_L010_incl,5.0,1.0,-74781.34145487165,1.199401495499137,-74782.07130072305,0.4695556441001827
COF-366-Co-CN_z50_L020_incl,5.0,2.0,-74781.25367668756,1.2871796795999313,-74781.98219385152,0.5586625156283844
COF-366-Co-CN_z50_L030_incl,5.0,3.0,-74781.09125577398,1.4496005931785965,-74781.84464261352,0.696213753632037
COF-366-Co-CN_z50_L040_incl,5.0,4.0,-74780.95173309905,1.5891232681085674,-74781.74540076188,0.7954556052718544
COF-366-Co-CN_z50_L050_incl,5.0,5.0,-74780.89627214562,1.644584221533721,-74781.71644485898,0.8244115081761265
COF-366-Co-CN_z50_L060_incl,5.0,6.0,-74780.87941546516,1.6614409020023475,-74781.67454411903,0.8663122481229948
COF-366-Co-CN_z50_L070_incl,5.0,7.0,-74780.8497544775,1.6911018896489767,-74781.61230555619,0.9285508109605872
COF-366-Co-CN_z50_L080_incl,5.0,8.0,-74780.75219603532,1.788660331828293,-74781.50467005397,1.0361863131838618
COF-366-Co-CN_z50_L090_incl,5.0,9.0,-74780.70758719943,1.8332691677215684,-74781.45894571078,1.0819106563722016
COF-366-Co-CN_z50_L100_incl,5.0,10.0,-74780.72781468336,1.8130416837941656,-74781.47912534105,1.0617310261004604
