structure,z,L,energy_eV,energy_rel_eV
COF-366-Co-CN_z35_L000_incl,3.5,0.0,-74777.56137903425,4.979477332904935
COF-366-Co-CN_z35_L010_incl,3.5,1.0,-74772.53438282007,10.006473547080532
COF-366-Co-CN_z35_L020_incl,3.5,2.0,-74763.60159526805,18.93926109910535
COF-366-Co-CN_z35_L030_incl,3.5,3.0,-74758.5368743068,24.003982060356066
COF-366-Co-CN_z35_L040_incl,3.5,4.0,-74762.21085340249,20.330002964663436
COF-366-Co-CN_z35_L050_incl,3.5,5.0,-74779.78281085122,2.7580455159331905
COF-366-Co-CN_z35_L060_incl,3.5,6.0,-74781.42356427098,1.117292096168967
COF-366-Co-CN_z35_L070_incl,3.5,7.0,-74778.80940415907,3.731452208085102
COF-366-Co-CN_z35_L080_incl,3.5,8.0,-74773.74406072008,8.796795647067484
COF-366-Co-CN_z35_L090_incl,3.5,9.0,-74771.63839357291,10.902462794241728
COF-366-Co-CN_z35_L100_incl,3.5,10.0,-74776.95306040595,5.587795961197116
COF-366-Co-CN_z35_L110_incl,3.5,11.0,-74780.29561160627,2.245244760881178
COF-366-Co-CN_z35_L120_incl,3.5,12.0,-74779.83399359162,2.7068627755361376
COF-366-Co-CN_z35_L130_incl,3.5,13.0,-74780.30376552492,2.2370908422308275
COF-366-Co-CN_z35_L140_incl,3.5,14.0,-74781.52736240889,1.0134939582640072
COF-366-Co-CN_z35_L150_incl,3.5,15.0,-74781.66097302477,0.8798833423788892
COF-366-Co-CN_z35_L160_incl,3.5,16.0,-74781.62250899256,0.9183473745943047
COF-366-Co-CN_z35_L170_incl,3.5,17.0,-74781.36019290685,1.180663460298092
COF-366-Co-CN_z36_L000_incl,3.6,0.0,-74779.04274138466,3.4981149824889144
COF-366-Co-CN_z36_L010_incl,3.6,1.0,-74775.19768275354,7.343173613611725
COF-366-Co-CN_z36_L020_incl,3.6,2.0,-74767.9941203569,14.546736010248424
COF-366-Co-CN_z36_L030_incl,3.6,3.0,-74764.26327239316,18.277583973991568
COF-366-Co-CN_z36_L040_incl,3.6,4.0,-74768.13963007285,14.401226294299704
COF-366-Co-CN_z36_L050_incl,3.6,5.0,-74780.52777330301,2.0130830641428474
COF-366-Co-CN_z36_L060_incl,3.6,6.0,-74781.78466349503,0.7561928721261211
COF-366-Co-CN_z36_L070_incl,3.6,7.0,-74779.66229980603,2.8785565611178754
COF-366-Co-CN_z36_L080_incl,3.6,8.0,-74775.50787072653,7.032985640616971
COF-366-Co-CN_z36_L090_incl,3.6,9.0,-74773.70134886613,8.839507501019398
COF-366-Co-CN_z36_L100_incl,3.6,10.0,-74778.05950276692,4.481353600232978
COF-366-Co-CN_z36_L110_incl,3.6,11.0,-74780.67165165643,1.869204710717895
COF-366-Co-CN_z36_L120_incl,3.6,12.0,-74780.30339818209,2.2374581850599498
COF-366-Co-CN_z36_L130_incl,3.6,13.0,-74780.61742454968,1.9234318174712826
COF-366-Co-CN_z36_L140_incl,3.6,14.0,-74781.5651496783,0.9757066888560075
COF-366-Co-CN_z36_L150_incl,3.6,15.0,-74781.69296872971,0.8478876374429092
COF-366-Co-CN_z36_L160_incl,3.6,16.0,-74781.68299883431,0.8578575328428997
COF-366-Co-CN_z36_L170_incl,3.6,17.0,-74781.51046828649,1.0303880806604866
COF-366-Co-CN_z37_L000_incl,3.7,0.0,-74780.15662984368,2.3842265234707156
COF-366-Co-CN_z37_L010_incl,3.7,1.0,-74777.25155708377,5.289299283380387
COF-366-Co-CN_z37_L020_incl,3.7,2.0,-74771.63952686584,10.90132950131374
COF-366-Co-CN_z37_L030_incl,3.7,3.0,-74768.88386448736,13.65699187979044
COF-366-Co-CN_z37_L040_incl,3.7,4.0,-74772.35247045732,10.188385909830686
COF-366-Co-CN_z37_L050_incl,3.7,5.0,-74781.07346278708,1.4673935800674371
COF-366-Co-CN_z37_L060_incl,3.7,6.0,-74782.02054241451,0.5203139526420273
COF-366-Co-CN_z37_L070_incl,3.7,7.0,-74780.31873227436,2.2221240927901817
COF-366-Co-CN_z37_L080_incl,3.7,8.0,-74776.94385127867,5.597005088478909
COF-366-Co-CN_z37_L090_incl,3.7,9.0,-74775.46072972509,7.08012664206035
COF-366-Co-CN_z37_L100_incl,3.7,10.0,-74778.94648950055,3.594366866600467
COF-366-Co-CN_z37_L110_incl,3.7,11.0,-74780.95946643462,1.5813899325294187
COF-366-Co-CN_z37_L120_incl,3.7,12.0,-74780.6572031439,1.8836532232526224
COF-366-Co-CN_z37_L130_incl,3.7,13.0,-74780.85906172046,1.6817946466908325
COF-366-Co-CN_z37_L140_incl,3.7,14.0,-74781.58302590514,0.9578304620081326
COF-366-Co-CN_z37_L150_incl,3.7,15.0,-74781.69939963736,0.8414567297877511
COF-366-Co-CN_z37_L160_incl,3.7,16.0,-74781.70967979234,0.8311765748076141
COF-366-Co-CN_z37_L170_incl,3.7,17.0,-74781.60260596362,0.9382504035311285
COF-366-Co-CN_z38_L000_incl,3.8,0.0,-74780.98101360099,1.5598427661607275
COF-366-Co-CN_z38_L010_incl,3.8,1.0,-74778.79064749034,3.750208876808756
COF-366-Co-CN_z38_L020_incl,3.8,2.0,-74774.56035368166,7.980502685488318
COF-366-Co-CN_z38_L030_incl,3.8,3.0,-74772.45332289908,10.08753346807498
COF-366-Co-CN_z38_L040_incl,3.8,4.0,-74775.26204290659,7.2788134605652886
COF-366-Co-CN_z38_L050_incl,3.8,5.0,-74781.46388809953,1.0769682676182128
COF-366-Co-CN_z38_L060_incl,3.8,6.0,-74782.1630997476,0.3777566195494728
COF-366-Co-CN_z38_L070_incl,3.8,7.0,-74780.80876589568,1.7320904714724747
COF-366-Co-CN_z38_L080_incl,3.8,8.0,-74778.09011557237,4.4507407947821775
COF-366-Co-CN_z38_L090_incl,3.8,9.0,-74776.90951876582,5.631337601327687
COF-366-Co-CN_z38_L100_incl,3.8,10.0,-74779.64862043844,2.8922359287098516
COF-366-Co-CN_z38_L110_incl,3.8,11.0,-74781.17470764775,1.3661487194040092
COF-366-Co-CN_z38_L120_incl,3.8,12.0,-74780.91930418504,1.621552182114101
COF-366-Co-CN_z38_L130_incl,3.8,13.0,-74781.04119434305,1.4996620240999619
COF-366-Co-CN_z38_L140_incl,3.8,14.0,-74781.58604125338,0.954815113771474
COF-366-Co-CN_z38_L150_incl,3.8,15.0,-74781.68807720242,0.8527791647356935
COF-366-Co-CN_z38_L160_incl,3.8,16.0,-74781.7127107077,0.8281456594559131
COF-366-Co-CN_z38_L170_incl,3.8,17.0,-74781.65195467893,0.8889016882167198
COF-366-Co-CN_z39_L000_incl,3.9,0.0,-74781.5775565293,0.963299837851082
COF-366-Co-CN_z39_L010_incl,3.9,1.0,-74779.92499250009,2.6158638670603978
COF-366-Co-CN_z39_L020_incl,3.9,2.0,-74776.79289966225,5.7479567049012985
COF-366-Co-CN_z39_L030_incl,3.9,3.0,-74775.16612030467,7.374736062483862
COF-366-Co-CN_z39_L040_incl,3.9,4.0,-74777.3189483603,5.221908006846206
COF-366-Co-CN_z39_L050_incl,3.9,5.0,-74781.73383454299,0.8070218241628027
COF-366-Co-CN_z39_L060_incl,3.9,6.0,-74782.23687710107,0.30397926608566195
COF-366-Co-CN_z39_L070_incl,3.9,7.0,-74781.16484156472,1.3760148024302907
COF-366-Co-CN_z39_L080_incl,3.9,8.0,-74778.99649644333,3.5443599238205934
COF-366-Co-CN_z39_L090_incl,3.9,9.0,-74778.0707955083,4.470060858846409
COF-366-Co-CN_z39_L100_incl,3.9,10.0,-74780.18893845165,2.3519179154973244
COF-366-Co-CN_z39_L110_incl,3.9,11.0,-74781.33088257189,1.2099737952667056
COF-366-Co-CN_z39_L120_incl,3.9,12.0,-74781.10989180476,1.4309645623870892
COF-366-Co-CN_z39_L130_incl,3.9,13.0,-74781.17503488422,1.3658214829338249
COF-366-Co-CN_z39_L140_incl,3.9,14.0,-74781.57853166925,0.962324697902659
COF-366-Co-CN_z39_L150_incl,3.9,15.0,-74781.66525717254,0.8755991946090944
COF-366-Co-CN_z39_L160_incl,3.9,16.0,-74781.69941558085,0.8414407863019733
COF-366-Co-CN_z39_L170_incl,3.9,17.0,-74781.6707489974,0.870107369744801
COF-366-Co-CN_z40_L000_incl,4.0,0.0,-74781.994550074,0.5463062931521563
COF-366-Co-CN_z40_L010_incl,4.0,1.0,-74780.7500950688,1.7907612983544823
COF-366-Co-CN_z40_L020_incl,4.0,2.0,-74778.45516582581,4.085690541338408
COF-366-Co-CN_z40_L030_incl,4.0,3.0,-74777.19258646395,5.34826990320289
COF-366-Co-CN_z40_L040_incl,4.0,4.0,-74778.76438925705,3.7764671101031126
COF-366-Co-CN_z40_L050_incl,4.0,5.0,-74781.91080926353,0.6300471036229283
COF-366-Co-CN_z40_L060_incl,4.0,6.0,-74782.26041482446,0.28044154269446153
COF-366-Co-CN_z40_L070_incl,4.0,7.0,-74781.41586231503,1.1249940521229291
COF-366-Co-CN_z40_L080_incl,4.0,8.0,-74779.70074642573,2.840109941418632
COF-366-Co-CN_z40_L090_incl,4.0,9.0,-74778.98228844063,3.5585679265204817
COF-366-Co-CN_z40_L100_incl,4.0,10.0,-74780.59574715825,1.9451092089002486
COF-366-Co-CN_z40_L110_incl,4.0,11.0,-74781.43955677486,1.101299592293799
COF-366-Co-CN_z40_L120_incl,4.0,12.0,-74781.24554033512,1.295316032032133
COF-366-Co-CN_z40_L130_incl,4.0,13.0,-74781.27046719295,1.270389174198499
COF-366-Co-CN_z40_L140_incl,4.0,14.0,-74781.56388304441,0.9769733227440156
