structure,z,L,energy_eV,energy_rel_eV
PBI-COF_z30_L000_incl,3.0,0.0,-55543.48159952358,1.7958084888523445
PBI-COF_z30_L010_incl,3.0,1.0,-55544.338483495754,0.9389245166748879
PBI-COF_z30_L020_incl,3.0,2.0,-55544.727489920886,0.549918091543077
PBI-COF_z30_L030_incl,3.0,3.0,-55544.82173243717,0.45567557525646407
PBI-COF_z30_L040_incl,3.0,4.0,-55544.93456944562,0.34283856680849567
PBI-COF_z30_L050_incl,3.0,5.0,-55544.88833470623,0.3890733061998617
PBI-COF_z30_L060_incl,3.0,6.0,-55544.761719350136,0.5156886622935417
PBI-COF_z30_L070_incl,3.0,7.0,-55544.752382786704,0.5250252257246757
PBI-COF_z30_L080_incl,3.0,8.0,-55544.75217270372,0.5252353087125812
PBI-COF_z30_L090_incl,3.0,9.0,-55544.794514745794,0.4828932666350738
PBI-COF_z30_L100_incl,3.0,10.0,-55544.79003059049,0.4873774219377083
PBI-COF_z30_L110_incl,3.0,11.0,-55544.672688213635,0.604719798793667
PBI-COF_z30_L116_incl,3.0,11.6,-55544.586056969136,0.6913510432932526
PBI-COF_z31_L000_incl,3.1,0.0,-55544.30411965056,0.9732883618708001
PBI-COF_z31_L010_incl,3.1,1.0,-55544.875207253266,0.4022007591629517
PBI-COF_z31_L020_incl,3.1,2.0,-55545.096754728664,0.1806532837654231
PBI-COF_z31_L030_incl,3.1,3.0,-55545.08098300412,0.1964250083110528
PBI-COF_z31_L040_incl,3.1,4.0,-55545.106477487905,0.17093052452401025
PBI-COF_z31_L050_incl,3.1,5.0,-55545.02628918497,0.25111882745841285
PBI-COF_z31_L060_incl,3.1,6.0,-55544.91385492574,0.3635530866886256
PBI-COF_z31_L070_incl,3.1,7.0,-55544.879637932856,0.3977700795730925
PBI-COF_z31_L080_incl,3.1,8.0,-55544.85955820768,0.4178498047476751
PBI-COF_z31_L090_incl,3.1,9.0,-55544.855049088495,0.4223589239336434
PBI-COF_z31_L100_incl,3.1,10.0,-55544.81929900113,0.4581090112988022
PBI-COF_z31_L110_incl,3.1,11.0,-55544.70914825261,0.5682597598206485
PBI-COF_z31_L116_incl,3.1,11.6,-55544.638365850646,0.6390421617834363
PBI-COF_z32_L000_incl,3.2,0.0,-55544.76344660243,0.5139614099971368
PBI-COF_z32_L010_incl,3.2,1.0,-55545.14045197201,0.1369560404200456
PBI-COF_z32_L020_incl,3.2,2.0,-55545.25655307651,0.020854935915849637
PBI-COF_z32_L030_incl,3.2,3.0,-55545.18521307829,0.09219493413547752
PBI-COF_z32_L040_incl,3.2,4.0,-55545.15791399874,0.11949401369201951
PBI-COF_z32_L050_incl,3.2,5.0,-55545.06630030346,0.21110770897212205
PBI-COF_z32_L060_incl,3.2,6.0,-55544.96750147509,0.3099065373389749
PBI-COF_z32_L070_incl,3.2,7.0,-55544.920612971684,0.3567950407450553
PBI-COF_z32_L080_incl,3.2,8.0,-55544.887805808605,0.38960220382432453
PBI-COF_z32_L090_incl,3.2,9.0,-55544.8532622229,0.4241457895259373
PBI-COF_z32_L100_incl,3.2,10.0,-55544.799441170246,0.4779668421833776
PBI-COF_z32_L110_incl,3.2,11.0,-55544.700115485866,0.5772925265628146
PBI-COF_z32_L116_incl,3.2,11.6,-55544.64204067957,0.6353673328558216
PBI-COF_z33_L000_incl,3.3,0.0,-55544.9751131394,0.30229487302858615
PBI-COF_z33_L010_incl,3.3,1.0,-55545.22273906932,0.05466894310666248
PBI-COF_z33_L020_incl,3.3,2.0,-55545.27740801243,0.0
PBI-COF_z33_L030_incl,3.3,3.0,-55545.186179460215,0.09122855221357895
PBI-COF_z33_L040_incl,3.3,4.0,-55545.13108507896,0.14632293346949155
PBI-COF_z33_L050_incl,3.3,5.0,-55545.04094941125,0.23645860118267592
PBI-COF_z33_L060_incl,3.3,6.0,-55544.95460694744,0.32280106499092653
PBI-COF_z33_L070_incl,3.3,7.0,-55544.90323761084,0.3741704015919822
PBI-COF_z33_L080_incl,3.3,8.0,-55544.86273058788,0.41467742454551626
PBI-COF_z33_L090_incl,3.3,9.0,-55544.81098081344,0.46642719898954965
PBI-COF_z33_L100_incl,3.3,10.0,-55544.74880067324,0.5286073391907848
PBI-COF_z33_L110_incl,3.3,11.0,-55544.662053920896,0.6153540915329359
PBI-COF_z33_L116_incl,3.3,11.6,-55544.614080502906,0.6633275095227873
PBI-COF_z34_L000_incl,3.4,0.0,-55545.030761063994,0.2466469484352274
PBI-COF_z34_L010_incl,3.4,1.0,-55545.193072777794,0.08433523463463644
PBI-COF_z34_L020_incl,3.4,2.0,-55545.214428466716,0.06297954571346054
PBI-COF_z34_L030_incl,3.4,3.0,-55545.12439097449,0.1530170379410265
PBI-COF_z34_L040_incl,3.4,4.0,-55545.058206744885,0.21920126754412195
PBI-COF_z34_L050_incl,3.4,5.0,-55544.976128233975,0.3012797784540453
PBI-COF_z34_L060_incl,3.4,6.0,-55544.90052709798,0.37688091444579186
PBI-COF_z34_L070_incl,3.4,7.0,-55544.84934099366,0.42806701877270825
PBI-COF_z34_L080_incl,3.4,8.0,-55544.80458454864,0.4728234637877904
PBI-COF_z34_L090_incl,3.4,9.0,-55544.74510402206,0.5323039903669269
PBI-COF_z34_L100_incl,3.4,10.0,-55544.681302987054,0.5961050253754365
PBI-COF_z34_L110_incl,3.4,11.0,-55544.607171265605,0.6702367468242301
PBI-COF_z34_L116_incl,3.4,11.6,-55544.567109531934,0.710298480495112
PBI-COF_z35_L000_incl,3.5,0.0,-55544.99776541913,0.2796425932974671
PBI-COF_z35_L010_incl,3.5,1.0,-55545.1038023136,0.17360569883021526
PBI-COF_z35_L020_incl,3.5,2.0,-55545.107932372084,0.16947564034489915
PBI-COF_z35_L030_incl,3.5,3.0,-55545.02954062384,0.2478673885925673
PBI-COF_z35_L040_incl,3.5,4.0,-55544.962520264016,0.3148877484127297
PBI-COF_z35_L050_incl,3.5,5.0,-55544.89114591884,0.3862620935906307
PBI-COF_z35_L060_incl,3.5,6.0,-55544.82434367943,0.4530643329999293
PBI-COF_z35_L070_incl,3.5,7.0,-55544.77551789876,0.5018901136718341
PBI-COF_z35_L080_incl,3.5,8.0,-55544.72887231304,0.5485356993885944
