structure,rank,two_theta_deg,relative_intensity
PBI-COF_z33_L116_incl,1,20.58624,100.0
PBI-COF_z33_L116_incl,2,12.17184,88.994
PBI-COF_z33_L116_incl,3,21.18349,82.834
PBI-COF_z33_L116_incl,4,8.58933,82.773
PBI-COF_z33_L116_incl,5,10.0752,64.916
PBI-COF_z33_L116_incl,6,9.9584,56.314
PBI-COF_z33_L116_incl,7,26.38838,44.507
PBI-COF_z33_L116_incl,8,31.76428,35.479
PBI-COF_z33_L116_incl,9,13.61528,31.254000000000005
PBI-COF_z33_L116_incl,10,13.97651,29.659999999999997
PBI-COF_z33_L116_incl,11,32.12827,29.512
PBI-COF_z33_L116_incl,12,14.65819,23.413
PBI-COF_z33_L116_incl,13,15.66507,21.343
PBI-COF_z33_L116_incl,14,15.16971,20.591
PBI-COF_z33_L116_incl,15,27.06689,15.772
PBI-COF_z33_L116_incl,16,15.88922,15.316000000000003
PBI-COF_z33_L116_incl,17,19.99302,13.109000000000002
PBI-COF_z33_L116_incl,18,20.22935,12.641
PBI-COF_z33_L116_incl,19,27.34418,12.565999999999999
PBI-COF_z33_L116_incl,20,18.01602,11.841
PBI-COF_z33_L116_incl,21,18.83366,8.825
PBI-COF_z33_L116_incl,22,30.2746,8.17
PBI-COF_z33_L116_incl,23,17.4837,7.85
PBI-COF_z33_L116_incl,24,17.63455,6.161
PBI-COF_z33_L116_incl,25,29.51149,5.744
PBI-COF_z33_L116_incl,26,19.00295,5.152
PBI-COF_z33_L116_incl,27,20.77926,4.344
PBI-COF_z33_L116_incl,28,24.48379,4.21
PBI-COF_z33_L116_incl,29,17.22741,4.168
PBI-COF_z33_L116_incl,30,25.2635,4.042
PBI-COF_z33_L116_incl,31,23.9497,4.033
PBI-COF_z33_L116_incl,32,38.55528,3.9960000000000004
PBI-COF_z33_L116_incl,33,21.50919,3.948
PBI-COF_z33_L116_incl,34,24.32135,3.457
PBI-COF_z33_L116_incl,35,52.96267,2.841
PBI-COF_z33_L116_incl,36,48.03621,2.65
PBI-COF_z33_L116_incl,37,45.99716,2.632
PBI-COF_z33_L116_incl,38,30.54717,2.406
PBI-COF_z33_L116_incl,39,41.87731,2.337
PBI-COF_z33_L116_incl,40,44.01736,2.247
PBI-COF_z33_L116_incl,41,30.18549,2.21
PBI-COF_z33_L116_incl,42,41.76178,2.071
PBI-COF_z33_L116_incl,43,34.86039,1.9
PBI-COF_z33_L116_incl,44,48.97038,1.8849999999999998
PBI-COF_z33_L116_incl,45,43.22578,1.821
PBI-COF_z33_L116_incl,46,42.26304,1.821
PBI-COF_z33_L116_incl,47,26.24354,1.8009999999999997
PBI-COF_z33_L116_incl,48,43.82692,1.771
PBI-COF_z33_L116_incl,49,36.77776,1.648
PBI-COF_z33_L116_incl,50,32.96685,1.614
PBI-COF_z33_L116_incl,51,47.59267,1.574
PBI-COF_z33_L116_incl,52,54.07845,1.5709999999999997
PBI-COF_z33_L116_incl,53,42.28421,1.524
PBI-COF_z33_L116_incl,54,40.56166,1.511
PBI-COF_z33_L116_incl,55,30.61374,1.501
PBI-COF_z33_L116_incl,56,42.01231,1.403
PBI-COF_z33_L116_incl,57,21.22513,1.391
PBI-COF_z33_L116_incl,58,25.3165,1.38
PBI-COF_z33_L116_incl,59,34.75515,1.347
PBI-COF_z33_L116_incl,60,39.2641,1.252
PBI-COF_z33_L116_incl,61,29.56335,1.2
PBI-COF_z33_L116_incl,62,59.52833,1.189
PBI-COF_z33_L116_incl,63,39.73009,1.186
PBI-COF_z33_L116_incl,64,48.26326,1.132
PBI-COF_z33_L116_incl,65,39.76822,1.104
PBI-COF_z33_L116_incl,66,43.13775,1.102
PBI-COF_z33_L116_incl,67,21.59909,1.101
PBI-COF_z33_L116_incl,68,49.01839,1.09
PBI-COF_z33_L116_incl,69,41.09716,1.072
PBI-COF_z33_L116_incl,70,40.1847,1.058
PBI-COF_z33_L116_incl,71,59.95076,1.042
PBI-COF_z33_L116_incl,72,31.7738,1.023
PBI-COF_z33_L116_incl,73,24.93372,1.015
PBI-COF_z33_L116_incl,74,38.45001,1.004
PBI-COF_z33_L116_incl,75,59.74335,1.003
PBI-COF_z33_L116_incl,76,35.31009,1.002
PBI-COF_z33_L116_incl,77,42.94108,1.001
