structure,z,L,energy_eV,energy_rel_eV
PBI-COF_z30_L000_incl,3.0,0.0,-55545.86208820924,2.0765537530751317
PBI-COF_z30_L010_incl,3.0,1.0,-55546.801097439755,1.1375445225567091
PBI-COF_z30_L020_incl,3.0,2.0,-55547.24129841497,0.6973435473410063
PBI-COF_z30_L030_incl,3.0,3.0,-55547.39630741771,0.5423345446033636
PBI-COF_z30_L040_incl,3.0,4.0,-55547.52516698227,0.41347498004324734
PBI-COF_z30_L050_incl,3.0,5.0,-55547.493746719185,0.4448952431266662
PBI-COF_z30_L060_incl,3.0,6.0,-55547.367848036934,0.5707939253770746
PBI-COF_z30_L070_incl,3.0,7.0,-55547.36497088042,0.5736710818891879
PBI-COF_z30_L080_incl,3.0,8.0,-55547.36532323053,0.5733187317819102
PBI-COF_z30_L090_incl,3.0,9.0,-55547.425827658204,0.5128143041074509
PBI-COF_z30_L100_incl,3.0,10.0,-55547.43759847055,0.5010434917639941
PBI-COF_z30_L110_incl,3.0,11.0,-55547.375536816944,0.5631051453674445
PBI-COF_z30_L120_incl,3.0,12.0,-55547.18169102313,0.756950939183298
PBI-COF_z30_L121_incl,3.0,12.1,-55547.17127326314,0.7673686991693103
PBI-COF_z31_L000_incl,3.1,0.0,-55546.792451794514,1.146190167797613
PBI-COF_z31_L010_incl,3.1,1.0,-55547.41472457026,0.523917392049043
PBI-COF_z31_L020_incl,3.1,2.0,-55547.66882814458,0.26981381772930035
PBI-COF_z31_L030_incl,3.1,3.0,-55547.69430482125,0.2443371410627151
PBI-COF_z31_L040_incl,3.1,4.0,-55547.72950660202,0.2091353602882009
PBI-COF_z31_L050_incl,3.1,5.0,-55547.65913828011,0.27950368219899246
PBI-COF_z31_L060_incl,3.1,6.0,-55547.54423654399,0.3944054183230037
PBI-COF_z31_L070_incl,3.1,7.0,-55547.51749972201,0.421142240302288
PBI-COF_z31_L080_incl,3.1,8.0,-55547.50032969056,0.4383122717481456
PBI-COF_z31_L090_incl,3.1,9.0,-55547.51600108152,0.42264088078809436
PBI-COF_z31_L100_incl,3.1,10.0,-55547.49274082036,0.4459011419530725
PBI-COF_z31_L110_incl,3.1,11.0,-55547.41551371521,0.5231282470995211
PBI-COF_z31_L120_incl,3.1,12.0,-55547.25639349623,0.6822484660806367
PBI-COF_z31_L121_incl,3.1,12.1,-55547.24714769615,0.6914942661605892
PBI-COF_z32_L000_incl,3.2,0.0,-55547.3324687781,0.6061731842128211
PBI-COF_z32_L010_incl,3.2,1.0,-55547.74179599352,0.1968459687923314
PBI-COF_z32_L020_incl,3.2,2.0,-55547.87737455751,0.06126740480249282
PBI-COF_z32_L030_incl,3.2,3.0,-55547.83205155492,0.10659040739119519
PBI-COF_z32_L040_incl,3.2,4.0,-55547.809514200955,0.12912776135635795
PBI-COF_z32_L050_incl,3.2,5.0,-55547.72376598779,0.21487597452505725
PBI-COF_z32_L060_incl,3.2,6.0,-55547.62002659767,0.31861536463839
PBI-COF_z32_L070_incl,3.2,7.0,-55547.58232603896,0.3563159233526676
PBI-COF_z32_L080_incl,3.2,8.0,-55547.55308567693,0.3855562853786978
PBI-COF_z32_L090_incl,3.2,9.0,-55547.5399116092,0.39873035311029525
PBI-COF_z32_L100_incl,3.2,10.0,-55547.49495045044,0.4436915118712932
PBI-COF_z32_L110_incl,3.2,11.0,-55547.41269311033,0.5259488519805018
PBI-COF_z32_L120_incl,3.2,12.0,-55547.28260996202,0.6560320002899971
PBI-COF_z32_L121_incl,3.2,12.1,-55547.27436347688,0.664278485433897
PBI-COF_z33_L000_incl,3.3,0.0,-55547.60460220741,0.33403975490364246
PBI-COF_z33_L010_incl,3.3,1.0,-55547.87328222675,0.06535973556310637
PBI-COF_z33_L020_incl,3.3,2.0,-55547.93864196231,0.0
PBI-COF_z33_L030_incl,3.3,3.0,-55547.86150030187,0.0771416604402475
PBI-COF_z33_L040_incl,3.3,4.0,-55547.807197697824,0.13144426448707236
PBI-COF_z33_L050_incl,3.3,5.0,-55547.71985808624,0.21878387607284822
PBI-COF_z33_L060_incl,3.3,6.0,-55547.62690073153,0.31174123078380944
PBI-COF_z33_L070_incl,3.3,7.0,-55547.586162623484,0.352479338827834
PBI-COF_z33_L080_incl,3.3,8.0,-55547.5491465152,0.38949544711067574
PBI-COF_z33_L090_incl,3.3,9.0,-55547.518747266884,0.4198946954275016
PBI-COF_z33_L100_incl,3.3,10.0,-55547.46268513651,0.4759568258014042
PBI-COF_z33_L110_incl,3.3,11.0,-55547.38133234334,0.5573096189691569
PBI-COF_z33_L120_incl,3.3,12.0,-55547.27522521455,0.6634167477604933
PBI-COF_z33_L121_incl,3.3,12.1,-55547.26781351202,0.6708284502892639
PBI-COF_z34_L000_incl,3.4,0.0,-55547.70433022134,0.2343117409691331
PBI-COF_z34_L010_incl,3.4,1.0,-55547.8809248021,0.057717160212632734
PBI-COF_z34_L020_incl,3.4,2.0,-55547.90766349679,0.03097846551827388
PBI-COF_z34_L030_incl,3.4,3.0,-55547.82278934109,0.11585262122389395
PBI-COF_z34_L040_incl,3.4,4.0,-55547.75429087297,0.18435108934500022
PBI-COF_z34_L050_incl,3.4,5.0,-55547.67261758714,0.266024375174311
PBI-COF_z34_L060_incl,3.4,6.0,-55547.589600012034,0.3490419502777513
PBI-COF_z34_L070_incl,3.4,7.0,-55547.54998625009,0.38865571222413564
PBI-COF_z34_L080_incl,3.4,8.0,-55547.50836732368,0.43027463863109006
PBI-COF_z34_L090_incl,3.4,9.0,-55547.469044171885,0.46959779042663286
PBI-COF_z34_L100_incl,3.4,10.0,-55547.40970000284,0.528941959470103
PBI-COF_z34_L110_incl,3.4,11.0,-55547.33238636337,0.6062555989410612
PBI-COF_z34_L120_incl,3.4,12.0,-55547.2457658929,0.6928760694136145
PBI-COF_z34_L121_incl,3.4,12.1,-55547.23906208338,0.699579878928489
PBI-COF_z35_L000_incl,3.5,0.0,-55547.70210144886,0.23654051345511107
PBI-COF_z35_L010_incl,3.5,1.0,-55547.818197480075,0.12044448223605286
PBI-COF_z35_L020_incl,3.5,2.0,-55547.8249569678,0.11368499451054959
PBI-COF_z35_L030_incl,3.5,3.0,-55547.74550922345,0.1931327388592763
PBI-COF_z35_L040_incl,3.5,4.0,-55547.67391604398,0.26472591832862236
PBI-COF_z35_L050_incl,3.5,5.0,-55547.60104266457,0.337599297738052
PBI-COF_z35_L060_incl,3.5,6.0,-55547.52676702139,0.41187494092446286
PBI-COF_z35_L070_incl,3.5,7.0,-55547.48999486455,0.44864709776447853
PBI-COF_z35_L080_incl,3.5,8.0,-55547.44601396201,0.49262800029828213
PBI-COF_z35_L090_incl,3.5,9.0,-55547.40349375302,0.5351482092883089
PBI-COF_z35_L100_incl,3.5,10.0,-55547.3460589058,0.5925830565101933
PBI-COF_z35_L110_incl,3.5,11.0,-55547.274002378996,0.6646395833158749
PBI-COF_z35_L120_incl,3.5,12.0,-55547.202818387545,0.7358235747669823
PBI-COF_z35_L121_incl,3.5,12.1,-55547.19673107698,0.7419108853282523
PBI-COF_z36_L000_incl,3.6,0.0,-55547.64585823202,0.2927837302922853
PBI-COF_z36_L010_incl,3.6,1.0,-55547.721472234574,0.21716972773720045
PBI-COF_z36_L020_incl,3.6,2.0,-55547.718186153725,0.22045580858684843
PBI-COF_z36_L030_incl,3.6,3.0,-55547.64998473593,0.2886572263814742
PBI-COF_z36_L040_incl,3.6,4.0,-55547.58179991545,0.35684204685821896
PBI-COF_z36_L050_incl,3.6,5.0,-55547.518408630116,0.42023333219549386
PBI-COF_z36_L060_incl,3.6,6.0,-55547.451584006994,0.487057955317141
PBI-COF_z36_L070_incl,3.6,7.0,-55547.418025087,0.5206168753138627
PBI-COF_z36_L080_incl,3.6,8.0,-55547.373253187674,0.5653887746375403
PBI-COF_z36_L090_incl,3.6,9.0,-55547.331265719375,0.6073762429368799
PBI-COF_z36_L100_incl,3.6,10.0,-55547.27870275451,0.6599392077987432
PBI-COF_z36_L110_incl,3.6,11.0,-55547.21189543453,0.7267465277836891
PBI-COF_z36_L120_incl,3.6,12.0,-55547.15253322939,0.7861087329220027
PBI-COF_z36_L121_incl,3.6,12.1,-55547.14696989938,0.7916720629291376
PBI-COF_z37_L000_incl,3.7,0.0,-55547.56518070104,0.37346126126794843
PBI-COF_z37_L010_incl,3.7,1.0,-55547.612856780834,0.3257851814778405
PBI-COF_z37_L020_incl,3.7,2.0,-55547.60447577379,0.3341661885206122
PBI-COF_z37_L030_incl,3.7,3.0,-55547.54900650824,0.3896354540702305
PBI-COF_z37_L040_incl,3.7,4.0,-55547.487636495665,0.4510054666461656
PBI-COF_z37_L050_incl,3.7,5.0,-55547.4330905758,0.5055513865081593
PBI-COF_z37_L060_incl,3.7,6.0,-55547.37261368988,0.566028272434778
PBI-COF_z37_L070_incl,3.7,7.0,-55547.34197791347,0.5966640488404664
PBI-COF_z37_L080_incl,3.7,8.0,-55547.29759255164,0.6410494106748956
PBI-COF_z37_L090_incl,3.7,9.0,-55547.25836628104,0.6802756812685402
PBI-COF_z37_L100_incl,3.7,10.0,-55547.211933961036,0.7267080012752558
PBI-COF_z37_L110_incl,3.7,11.0,-55547.14974054546,0.7889014168540598
PBI-COF_z37_L120_incl,3.7,12.0,-55547.09908553188,0.8395564304300933
PBI-COF_z37_L121_incl,3.7,12.1,-55547.09396643928,0.8446755230324925
PBI-COF_z38_L000_incl,3.8,0.0,-55547.47638065718,0.46226130513241515
PBI-COF_z38_L010_incl,3.8,1.0,-55547.50417426238,0.43446769993170165
PBI-COF_z38_L020_incl,3.8,2.0,-55547.49325037664,0.4453915856720414
PBI-COF_z38_L030_incl,3.8,3.0,-55547.44982190138,0.4888200609348132
PBI-COF_z38_L040_incl,3.8,4.0,-55547.39670135056,0.5419406117507606
PBI-COF_z38_L050_incl,3.8,5.0,-55547.34973241837,0.5889095439415541
PBI-COF_z38_L060_incl,3.8,6.0,-55547.29482884112,0.6438131211907603
PBI-COF_z38_L070_incl,3.8,7.0,-55547.26655709321,0.6720848691038555
PBI-COF_z38_L080_incl,3.8,8.0,-55547.22354742538,0.7150945369285182
PBI-COF_z38_L090_incl,3.8,9.0,-55547.18822331449,0.7504186478181509
PBI-COF_z38_L100_incl,3.8,10.0,-55547.14801813263,0.7906238296782249
PBI-COF_z38_L110_incl,3.8,11.0,-55547.08963338333,0.8490085789817385
PBI-COF_z38_L120_incl,3.8,12.0,-55547.04509860708,0.8935433552323957
PBI-COF_z38_L121_incl,3.8,12.1,-55547.04038367897,0.8982582833414199
PBI-COF_z39_L000_incl,3.9,0.0,-55547.38735290325,0.5512890590616735
PBI-COF_z39_L010_incl,3.9,1.0,-55547.40077826718,0.5378636951281806
PBI-COF_z39_L020_incl,3.9,2.0,-55547.3889270157,0.5497149466100382
PBI-COF_z39_L030_incl,3.9,3.0,-55547.355994973455,0.5826469888561405
PBI-COF_z39_L040_incl,3.9,4.0,-55547.31135420999,0.6272877523224452
PBI-COF_z39_L050_incl,3.9,5.0,-55547.270456515,0.66818544731359
PBI-COF_z39_L060_incl,3.9,6.0,-55547.22068445583,0.7179575064801611
PBI-COF_z39_L070_incl,3.9,7.0,-55547.19419074556,0.7444512167494395
PBI-COF_z39_L080_incl,3.9,8.0,-55547.15340551293,0.7852364493810455
PBI-COF_z39_L090_incl,3.9,9.0,-55547.12232494371,0.8163170186016941
PBI-COF_z39_L100_incl,3.9,10.0,-55547.08779381605,0.8508481462631607
PBI-COF_z39_L110_incl,3.9,11.0,-55547.032536341096,0.9061056212158292
PBI-COF_z39_L120_incl,3.9,12.0,-55546.992091659915,0.9465503023966448
PBI-COF_z39_L121_incl,3.9,12.1,-55546.98775773108,0.9508842312279739
PBI-COF_z40_L000_incl,4.0,0.0,-55547.30131115917,0.6373308031397755
PBI-COF_z40_L010_incl,4.0,1.0,-55547.30447180224,0.6341701600686065
PBI-COF_z40_L020_incl,4.0,2.0,-55547.29301150853,0.6456304537787219
PBI-COF_z40_L030_incl,4.0,3.0,-55547.268857685165,0.6697842771463911
PBI-COF_z40_L040_incl,4.0,4.0,-55547.23217671346,0.7064652488479624
PBI-COF_z40_L050_incl,4.0,5.0,-55547.19588385968,0.7427581026349799
PBI-COF_z40_L060_incl,4.0,6.0,-55547.151040331126,0.7876016311856802
PBI-COF_z40_L070_incl,4.0,7.0,-55547.12583244982,0.8128095124920947
PBI-COF_z40_L080_incl,4.0,8.0,-55547.08796707049,0.850674891822564
PBI-COF_z40_L090_incl,4.0,9.0,-55547.06091575972,0.8777262025905657
PBI-COF_z40_L100_incl,4.0,10.0,-55547.031216189476,0.9074257728352677
PBI-COF_z40_L110_incl,4.0,11.0,-55546.978680731314,0.9599612309975782
PBI-COF_z40_L120_incl,4.0,12.0,-55546.94087040214,0.9977715601708042
PBI-COF_z40_L121_incl,4.0,12.1,-55546.93689843033,1.0017435319823562
