structure,rank,two_theta_deg,relative_intensity
PBI-COF_z33_L121_incl,1,20.2941,100.0
PBI-COF_z33_L121_incl,2,12.14915,93.782
PBI-COF_z33_L121_incl,3,8.55179,86.735
PBI-COF_z33_L121_incl,4,21.76856,82.855
PBI-COF_z33_L121_incl,5,10.34705,58.916999999999994
PBI-COF_z33_L121_incl,6,9.9274,57.784
PBI-COF_z33_L121_incl,7,26.43904,46.065
PBI-COF_z33_L121_incl,8,31.72451,38.203
PBI-COF_z33_L121_incl,9,13.40964,33.069
PBI-COF_z33_L121_incl,10,14.20864,27.516999999999996
PBI-COF_z33_L121_incl,11,14.41355,25.167
PBI-COF_z33_L121_incl,12,32.58003,24.416
PBI-COF_z33_L121_incl,13,15.32428,20.214
PBI-COF_z33_L121_incl,14,27.19001,18.423
PBI-COF_z33_L121_incl,15,16.21666,18.373
PBI-COF_z33_L121_incl,16,15.40336,18.087
PBI-COF_z33_L121_incl,17,20.77968,13.837
PBI-COF_z33_L121_incl,18,19.9303,13.147
PBI-COF_z33_L121_incl,19,17.47862,12.848
PBI-COF_z33_L121_incl,20,27.92158,11.618
PBI-COF_z33_L121_incl,21,17.58429,8.525
PBI-COF_z33_L121_incl,22,31.19092,7.808
PBI-COF_z33_L121_incl,23,19.29261,7.6
PBI-COF_z33_L121_incl,24,17.72604,6.673
PBI-COF_z33_L121_incl,25,19.19149,5.673
PBI-COF_z33_L121_incl,26,24.60664,5.578
PBI-COF_z33_L121_incl,27,29.17129,5.006
PBI-COF_z33_L121_incl,28,17.15167,4.545
PBI-COF_z33_L121_incl,29,38.94946,4.452
PBI-COF_z33_L121_incl,30,20.41195,4.37
PBI-COF_z33_L121_incl,31,24.43762,4.244
PBI-COF_z33_L121_incl,32,21.71253,4.171
PBI-COF_z33_L121_incl,33,23.70139,4.01
PBI-COF_z33_L121_incl,34,24.45524,3.839
PBI-COF_z33_L121_incl,35,47.84771,2.861
PBI-COF_z33_L121_incl,36,31.39008,2.835
PBI-COF_z33_L121_incl,37,52.58286,2.798
PBI-COF_z33_L121_incl,38,46.16749,2.731
PBI-COF_z33_L121_incl,39,44.09833,2.272
PBI-COF_z33_L121_incl,40,30.08954,2.061
PBI-COF_z33_L121_incl,41,41.26226,1.9769999999999999
PBI-COF_z33_L121_incl,42,42.79986,1.9060000000000001
PBI-COF_z33_L121_incl,43,42.12199,1.8870000000000002
PBI-COF_z33_L121_incl,44,43.35199,1.8420000000000003
PBI-COF_z33_L121_incl,45,50.24318,1.813
PBI-COF_z33_L121_incl,46,44.25781,1.805
PBI-COF_z33_L121_incl,47,21.28481,1.804
PBI-COF_z33_L121_incl,48,34.70345,1.791
PBI-COF_z33_L121_incl,49,46.40473,1.763
PBI-COF_z33_L121_incl,50,25.97059,1.754
PBI-COF_z33_L121_incl,51,37.3833,1.7129999999999999
PBI-COF_z33_L121_incl,52,34.70376,1.6789999999999998
PBI-COF_z33_L121_incl,53,39.98691,1.667
PBI-COF_z33_L121_incl,54,47.41227,1.548
PBI-COF_z33_L121_incl,55,33.84893,1.543
PBI-COF_z33_L121_incl,56,27.00745,1.5
PBI-COF_z33_L121_incl,57,30.93154,1.478
PBI-COF_z33_L121_incl,58,27.03646,1.459
PBI-COF_z33_L121_incl,59,59.53827,1.453
PBI-COF_z33_L121_incl,60,41.51025,1.45
PBI-COF_z33_L121_incl,61,42.62124,1.358
PBI-COF_z33_L121_incl,62,59.83039,1.325
PBI-COF_z33_L121_incl,63,18.44136,1.305
PBI-COF_z33_L121_incl,64,55.25519,1.287
PBI-COF_z33_L121_incl,65,38.64131,1.254
PBI-COF_z33_L121_incl,66,41.43742,1.239
PBI-COF_z33_L121_incl,67,29.06169,1.21
PBI-COF_z33_L121_incl,68,44.37664,1.162
PBI-COF_z33_L121_incl,69,39.65681,1.138
PBI-COF_z33_L121_incl,70,40.20958,1.122
PBI-COF_z33_L121_incl,71,46.87554,1.115
PBI-COF_z33_L121_incl,72,52.15761,1.11
PBI-COF_z33_L121_incl,73,33.24896,1.097
PBI-COF_z33_L121_incl,74,48.47141,1.049
PBI-COF_z33_L121_incl,75,49.83357,1.049
PBI-COF_z33_L121_incl,76,38.88001,1.042
PBI-COF_z33_L121_incl,77,43.29396,1.032
PBI-COF_z33_L121_incl,78,30.88328,1.019
