structure,z,L,energy_eV,energy_rel_eV
COF-LZU-1_z30_L000_serr,3.0,0.0,-93385.96477716792,4.206624636412016
COF-LZU-1_z30_L010_serr,3.0,1.0,-93387.65602005013,2.5153817542013712
COF-LZU-1_z30_L020_serr,3.0,2.0,-93388.62050618112,1.5508956232079072
COF-LZU-1_z30_L030_serr,3.0,3.0,-93389.30326115484,0.8681406494870316
COF-LZU-1_z30_L040_serr,3.0,4.0,-93389.09621153744,1.075190266885329
COF-LZU-1_z30_L050_serr,3.0,5.0,-93388.67973148597,1.4916703183553182
COF-LZU-1_z30_L060_serr,3.0,6.0,-93387.91615708971,2.255244714615401
COF-LZU-1_z30_L070_serr,3.0,7.0,-93387.70671293364,2.4646888706920436
COF-LZU-1_z30_L080_serr,3.0,8.0,-93388.02663214374,2.1447696605901
COF-LZU-1_z30_L090_serr,3.0,9.0,-93388.22696766994,1.9444341343914857
COF-LZU-1_z30_L100_serr,3.0,10.0,-93388.42721752627,1.7441842780535808
COF-LZU-1_z30_L110_serr,3.0,11.0,-93388.26792913822,1.9034726661047898
COF-LZU-1_z30_L120_serr,3.0,12.0,-93388.27470252928,1.8966992750501959
COF-LZU-1_z30_L129_serr,3.0,12.9,-93388.08580142143,2.085600382895791
COF-LZU-1_z31_L000_serr,3.1,0.0,-93387.81911917232,2.352282632011338
COF-LZU-1_z31_L010_serr,3.1,1.0,-93388.93769527097,1.2337065333558712
COF-LZU-1_z31_L020_serr,3.1,2.0,-93389.50260328833,0.6687985159951495
COF-LZU-1_z31_L030_serr,3.1,3.0,-93389.80107552404,0.37032628028828185
COF-LZU-1_z31_L040_serr,3.1,4.0,-93389.51545992278,0.6559418815450044
COF-LZU-1_z31_L050_serr,3.1,5.0,-93389.09719821323,1.0742035910952836
COF-LZU-1_z31_L060_serr,3.1,6.0,-93388.46270217547,1.708699628856266
COF-LZU-1_z31_L070_serr,3.1,7.0,-93388.25440463473,1.916997169595561
COF-LZU-1_z31_L080_serr,3.1,8.0,-93388.42218588217,1.7492159221583279
COF-LZU-1_z31_L090_serr,3.1,9.0,-93388.5241172133,1.6472845910320757
COF-LZU-1_z31_L100_serr,3.1,10.0,-93388.60823181806,1.5631699862715323
COF-LZU-1_z31_L110_serr,3.1,11.0,-93388.46344926485,1.707952539480175
COF-LZU-1_z31_L120_serr,3.1,12.0,-93388.45596108378,1.7154407205525786
COF-LZU-1_z31_L129_serr,3.1,12.9,-93388.3219430577,1.849458746626624
COF-LZU-1_z32_L000_serr,3.2,0.0,-93388.96763537514,1.2037664291856345
COF-LZU-1_z32_L010_serr,3.2,1.0,-93389.68874029073,0.4826615135971224
COF-LZU-1_z32_L020_serr,3.2,2.0,-93389.97899709105,0.19240471327793784
COF-LZU-1_z32_L030_serr,3.2,3.0,-93390.03438947375,0.1370123305823654
COF-LZU-1_z32_L040_serr,3.2,4.0,-93389.70828953857,0.4631122657592641
COF-LZU-1_z32_L050_serr,3.2,5.0,-93389.30832358132,0.8630782230029581
COF-LZU-1_z32_L060_serr,3.2,6.0,-93388.77579204246,1.3956097618647618
COF-LZU-1_z32_L070_serr,3.2,7.0,-93388.57449463262,1.5969071717117913
COF-LZU-1_z32_L080_serr,3.2,8.0,-93388.64081803453,1.530583769796067
COF-LZU-1_z32_L090_serr,3.2,9.0,-93388.67104790712,1.5003538972086972
COF-LZU-1_z32_L100_serr,3.2,10.0,-93388.6809445738,1.4904572305240436
COF-LZU-1_z32_L110_serr,3.2,11.0,-93388.55090226248,1.6204995418520411
COF-LZU-1_z32_L120_serr,3.2,12.0,-93388.53675145879,1.6346503455424681
COF-LZU-1_z32_L129_serr,3.2,12.9,-93388.44221544846,1.7291863558639307
COF-LZU-1_z33_L000_serr,3.3,0.0,-93389.60626977494,0.5651320293836761
COF-LZU-1_z33_L010_serr,3.3,1.0,-93390.05873477418,0.11266703014553059
COF-LZU-1_z33_L020_serr,3.3,2.0,-93390.17093061507,0.00047118925431277603
COF-LZU-1_z33_L030_serr,3.3,3.0,-93390.08219009131,0.08921171301335562
COF-LZU-1_z33_L040_serr,3.3,4.0,-93389.74437078266,0.4270310216670623
COF-LZU-1_z33_L050_serr,3.3,5.0,-93389.37170878155,0.7996930227818666
COF-LZU-1_z33_L060_serr,3.3,6.0,-93388.92091088952,1.2504909148119623
COF-LZU-1_z33_L070_serr,3.3,7.0,-93388.7301481979,1.4412536064337473
COF-LZU-1_z33_L080_serr,3.3,8.0,-93388.73187416683,1.4395276374998502
COF-LZU-1_z33_L090_serr,3.3,9.0,-93388.71398175135,1.457420052975067
COF-LZU-1_z33_L100_serr,3.3,10.0,-93388.67902976953,1.4923720348015195
COF-LZU-1_z33_L110_serr,3.3,11.0,-93388.56422963472,1.6071721696062014
COF-LZU-1_z33_L120_serr,3.3,12.0,-93388.54705289606,1.6243489082698943
COF-LZU-1_z33_L129_serr,3.3,12.9,-93388.48090961145,1.6904921928799013
COF-LZU-1_z34_L000_serr,3.4,0.0,-93389.89165377094,0.27974803338292986
COF-LZU-1_z34_L010_serr,3.4,1.0,-93390.16659521342,0.0048065909068100154
COF-LZU-1_z34_L020_serr,3.4,2.0,-93390.17140180433,0.0
COF-LZU-1_z34_L030_serr,3.4,3.0,-93390.00643590227,0.16496590206224937
COF-LZU-1_z34_L040_serr,3.4,4.0,-93389.67715072013,0.49425108419382013
COF-LZU-1_z34_L050_serr,3.4,5.0,-93389.3346164535,0.836785350824357
COF-LZU-1_z34_L060_serr,3.4,6.0,-93388.95030549674,1.2210963075922336
COF-LZU-1_z34_L070_serr,3.4,7.0,-93388.77178965665,1.3996121476811823
COF-LZU-1_z34_L080_serr,3.4,8.0,-93388.73455718266,1.4368446216685697
COF-LZU-1_z34_L090_serr,3.4,9.0,-93388.68806893783,1.4833328664972214
COF-LZU-1_z34_L100_serr,3.4,10.0,-93388.62824378326,1.5431580210715765
COF-LZU-1_z34_L110_serr,3.4,11.0,-93388.52889897989,1.6425028244411806
COF-LZU-1_z34_L120_serr,3.4,12.0,-93388.51013887548,1.6612629288429162
COF-LZU-1_z34_L129_serr,3.4,12.9,-93388.4642371229,1.7071646814292762
COF-LZU-1_z35_L000_serr,3.5,0.0,-93389.94674888173,0.22465292259585112
COF-LZU-1_z35_L010_serr,3.5,1.0,-93390.10553330964,0.06586849468294531
COF-LZU-1_z35_L020_serr,3.5,2.0,-93390.05143169194,0.11997011238418054
COF-LZU-1_z35_L030_serr,3.5,3.0,-93389.85511201517,0.31628978915978223
COF-LZU-1_z35_L040_serr,3.5,4.0,-93389.54721340536,0.6241883989714552
COF-LZU-1_z35_L050_serr,3.5,5.0,-93389.23446842836,0.9369333759677829
COF-LZU-1_z35_L060_serr,3.5,6.0,-93388.90501680685,1.2663849974778714
COF-LZU-1_z35_L070_serr,3.5,7.0,-93388.73924571153,1.4321560927928658
COF-LZU-1_z35_L080_serr,3.5,8.0,-93388.68009680323,1.491305001094588
COF-LZU-1_z35_L090_serr,3.5,9.0,-93388.61979980594,1.5516019983915612
COF-LZU-1_z35_L100_serr,3.5,10.0,-93388.54821461962,1.623187184712151
COF-LZU-1_z35_L110_serr,3.5,11.0,-93388.46391968736,1.7074821169662755
COF-LZU-1_z35_L120_serr,3.5,12.0,-93388.4438801087,1.727521695633186
COF-LZU-1_z35_L129_serr,3.5,12.9,-93388.41221081765,1.7591909866750939
COF-LZU-1_z36_L000_serr,3.6,0.0,-93389.86272186333,0.3086799409938976
COF-LZU-1_z36_L010_serr,3.6,1.0,-93389.94520432454,0.22619747978751548
COF-LZU-1_z36_L020_serr,3.6,2.0,-93389.86351798891,0.3078838154178811
COF-LZU-1_z36_L030_serr,3.6,3.0,-93389.6636570962,0.507744708127575
COF-LZU-1_z36_L040_serr,3.6,4.0,-93389.38406912053,0.787332683801651
COF-LZU-1_z36_L050_serr,3.6,5.0,-93389.0993195877,1.0720822166331345
COF-LZU-1_z36_L060_serr,3.6,6.0,-93388.81570918216,1.3556926221644972
COF-LZU-1_z36_L070_serr,3.6,7.0,-93388.6625377784,1.5088640259345993
COF-LZU-1_z36_L080_serr,3.6,8.0,-93388.59243010727,1.5789716970612062
COF-LZU-1_z36_L090_serr,3.6,9.0,-93388.52845936909,1.6429424352390924
COF-LZU-1_z36_L100_serr,3.6,10.0,-93388.45331103155,1.7180907727743033
COF-LZU-1_z36_L110_serr,3.6,11.0,-93388.38306526082,1.7883365435118321
COF-LZU-1_z36_L120_serr,3.6,12.0,-93388.36150857648,1.8098932278517168
COF-LZU-1_z36_L129_serr,3.6,12.9,-93388.33964731307,1.8317544912570156
COF-LZU-1_z37_L000_serr,3.7,0.0,-93389.70260605706,0.46879574726335704
COF-LZU-1_z37_L010_serr,3.7,1.0,-93389.73449107776,0.43691072656656615
COF-LZU-1_z37_L020_serr,3.7,2.0,-93389.64439488402,0.5270069203106686
