region,region_min,region_max,source,two_theta,intensity,relative_intensity
1,4.0,5.5,exp,4.853669129660679,,
1,4.0,5.5,sim,4.82231,97.843,97.843
1,4.0,5.5,sim,4.8241,94.306,94.306
1,4.0,5.5,sim,4.83071,100.0,100.0
2,7.5,9.0,exp,8.315780829392859,,
2,7.5,9.0,sim,8.35463,6.721,82.74036685953466
2,7.5,9.0,sim,8.36611,8.123,100.0
2,7.5,9.0,sim,8.36922,7.395,91.03779391850301
3,9.0,10.5,exp,9.776080947551073,,
3,9.0,10.5,sim,9.65318,9.71,92.19521458412459
3,9.0,10.5,sim,9.65677,8.3,78.80744398025067
3,9.0,10.5,sim,9.67004,10.532,100.0
4,12.0,14.0,exp,12.581022066460608,,
4,12.0,14.0,sim,12.77699,1.721,43.111222444889776
4,12.0,14.0,sim,12.77903,2.561,64.15330661322645
4,12.0,14.0,sim,12.78957,3.992,100.0
4,12.0,14.0,sim,12.79501,1.764,44.188376753507015
4,12.0,14.0,sim,12.79915,2.488,62.32464929859719
4,12.0,14.0,sim,12.80255,3.556,89.07815631262525
5,15.5,17.5,exp,16.474393942788865,,
5,15.5,17.5,sim,15.61829,0.349,28.677074774034505
5,15.5,17.5,sim,15.61832,0.348,28.594905505341
5,15.5,17.5,sim,15.62618,0.169,13.886606409202958
5,15.5,17.5,sim,15.6262,0.167,13.72226787181594
5,15.5,17.5,sim,16.35615,0.284,23.336072308956446
5,15.5,17.5,sim,16.35618,0.284,23.336072308956446
5,15.5,17.5,sim,16.35829,0.691,56.778964667214446
5,15.5,17.5,sim,16.35832,0.693,56.94330320460147
5,15.5,17.5,sim,16.36621,0.202,16.598192276088746
5,15.5,17.5,sim,16.75408,0.558,45.85045193097781
5,15.5,17.5,sim,16.77724,1.217,100.0
5,15.5,17.5,sim,16.7835,0.772,63.434675431388655
5,15.5,17.5,sim,17.44825,0.124,10.18898931799507
5,15.5,17.5,sim,17.45722,0.307,25.22596548890715
5,15.5,17.5,sim,17.47959,0.285,23.418241577649958
6,24.0,27.5,exp,25.922436174958104,,
6,24.0,27.5,sim,26.52295,11.833,100.0
6,24.0,27.5,sim,26.97357,1.555,13.141215245499874
6,24.0,27.5,sim,26.97359,1.558,13.166568072340064
6,24.0,27.5,sim,26.97391,1.5,12.676413420096342
6,24.0,27.5,sim,26.97393,1.502,12.693315304656469
6,24.0,27.5,sim,26.97514,3.192,26.975407757965016
