structure,z,L,energy_Eh,energy_rel_Eh
cof-1_z30_L000_incl,3.0,0.0,-10.853143538678937,0.1197454038251955
cof-1_z30_L010_incl,3.0,1.0,-10.878858929070597,0.09403001343353523
cof-1_z30_L020_incl,3.0,2.0,-10.909481669770724,0.06340727273340896
cof-1_z30_L030_incl,3.0,3.0,-10.928394741192395,0.044494201311737314
cof-1_z30_L040_incl,3.0,4.0,-10.939430616603595,0.0334583259005381
cof-1_z30_L050_incl,3.0,5.0,-10.93885287374923,0.034036068754902615
cof-1_z30_L060_incl,3.0,6.0,-10.941005657947413,0.03188328455672007
cof-1_z30_L070_incl,3.0,7.0,-10.945031899344734,0.027857043159398742
cof-1_z30_L080_incl,3.0,8.0,-10.965571102164356,0.007317840339776893
cof-1_z30_L087_incl,3.0,8.7,-10.972888942504133,0.0
cof-1_z31_L000_incl,3.1,0.0,-10.88634899863569,0.0865399438684431
cof-1_z31_L010_incl,3.1,1.0,-10.90538019443784,0.06750874806629348
cof-1_z31_L020_incl,3.1,2.0,-10.928760320914872,0.044128621589260675
cof-1_z31_L030_incl,3.1,3.0,-10.94175455568961,0.031134386814523296
cof-1_z31_L040_incl,3.1,4.0,-10.94722728706871,0.02566165543542276
cof-1_z31_L050_incl,3.1,5.0,-10.943988842976568,0.028900099527565004
cof-1_z31_L060_incl,3.1,6.0,-10.944448347460844,0.028440595043289107
cof-1_z31_L070_incl,3.1,7.0,-10.94817390398632,0.024715038517813426
cof-1_z31_L080_incl,3.1,8.0,-10.964868795987977,0.00802014651615579
cof-1_z31_L087_incl,3.1,8.7,-10.970605199416644,0.0022837430874886877
cof-1_z32_L000_incl,3.2,0.0,-10.911303176617084,0.06158576588704889
cof-1_z32_L010_incl,3.2,1.0,-10.925059119335353,0.047829823168779484
cof-1_z32_L020_incl,3.2,2.0,-10.942271400181685,0.030617542322447733
cof-1_z32_L030_incl,3.2,3.0,-10.950598082917331,0.02229085958680166
cof-1_z32_L040_incl,3.2,4.0,-10.952042227781952,0.020846714722180693
cof-1_z32_L050_incl,3.2,5.0,-10.946896652345927,0.025992290158205478
cof-1_z32_L060_incl,3.2,6.0,-10.94595616215396,0.026932780350172436
cof-1_z32_L070_incl,3.2,7.0,-10.94919286498157,0.023696077522561865
cof-1_z32_L080_incl,3.2,8.0,-10.96268495800096,0.010203984503172947
cof-1_z32_L087_incl,3.2,8.7,-10.96718874005432,0.005700202449812508
cof-1_z33_L000_incl,3.3,0.0,-10.928944228528946,0.04394471397518629
cof-1_z33_L010_incl,3.3,1.0,-10.93868839054808,0.03420055195605265
cof-1_z33_L020_incl,3.3,2.0,-10.950988621881011,0.021900320623121416
cof-1_z33_L030_incl,3.3,3.0,-10.955835985866342,0.017052956637790828
cof-1_z33_L040_incl,3.3,4.0,-10.954263181213683,0.01862576129044946
cof-1_z33_L050_incl,3.3,5.0,-10.947932327142397,0.024956615361736212
cof-1_z33_L060_incl,3.3,6.0,-10.945964950791886,0.026923991712246576
cof-1_z33_L070_incl,3.3,7.0,-10.948659741714172,0.024229200789960714
cof-1_z33_L080_incl,3.3,8.0,-10.959446362516704,0.01344257998742826
cof-1_z33_L087_incl,3.3,8.7,-10.963101559118451,0.009787383385681636
cof-1_z34_L000_incl,3.4,0.0,-10.940801714885747,0.03208722761838523
cof-1_z34_L010_incl,3.4,1.0,-10.947515191967891,0.025373750536241246
cof-1_z34_L020_incl,3.4,2.0,-10.955944441513909,0.016944500990224043
cof-1_z34_L030_incl,3.4,3.0,-10.958256840329943,0.014632102174189754
cof-1_z34_L040_incl,3.4,4.0,-10.954270833562765,0.01861810894136795
cof-1_z34_L050_incl,3.4,5.0,-10.9472614920011,0.02562745050303228
cof-1_z34_L060_incl,3.4,6.0,-10.944768214127121,0.028120728377011517
cof-1_z34_L070_incl,3.4,7.0,-10.9469579681501,0.0259309743540328
cof-1_z34_L080_incl,3.4,8.0,-10.955399899999975,0.017489042504157837
cof-1_z34_L087_incl,3.4,8.7,-10.958602650593186,0.014286291910947213
cof-1_z35_L000_incl,3.5,0.0,-10.948433829980774,0.02445511252335919
cof-1_z35_L010_incl,3.5,1.0,-10.952846500838465,0.02004244166566771
cof-1_z35_L020_incl,3.5,2.0,-10.958030388662895,0.01485855384123802
cof-1_z35_L030_incl,3.5,3.0,-10.958449374557976,0.014439567946157084
cof-1_z35_L040_incl,3.5,4.0,-10.952468764785698,0.020420177718435184
cof-1_z35_L050_incl,3.5,5.0,-10.94499124161645,0.027897700887683285
cof-1_z35_L060_incl,3.5,6.0,-10.942548679630852,0.030340262873281176
cof-1_z35_L070_incl,3.5,7.0,-10.94432928606693,0.02855965643720282
cof-1_z35_L080_incl,3.5,8.0,-10.95065128103103,0.022237661473102577
cof-1_z35_L087_incl,3.5,8.7,-10.953712960719875,0.019175981784258056
cof-1_z36_L000_incl,3.6,0.0,-10.952965703570008,0.0199232389341244
cof-1_z36_L010_incl,3.6,1.0,-10.955711031205087,0.017177911299045334
cof-1_z36_L020_incl,3.6,2.0,-10.957890807943798,0.01499813456033472
cof-1_z36_L030_incl,3.6,3.0,-10.95679358743561,0.01609535506852211
cof-1_z36_L040_incl,3.6,4.0,-10.949258151845417,0.023630790658716094
cof-1_z36_L050_incl,3.6,5.0,-10.941329231561996,0.03155971094213683
cof-1_z36_L060_incl,3.6,6.0,-10.939412802180666,0.03347614032346691
cof-1_z36_L070_incl,3.6,7.0,-10.940940724766763,0.03194821773736933
cof-1_z36_L080_incl,3.6,8.0,-10.945276370604926,0.027612571899206628
cof-1_z36_L087_incl,3.6,8.7,-10.948273164153415,0.024615778350717932
cof-1_z37_L000_incl,3.7,0.0,-10.955066549450104,0.017822393054029106
cof-1_z37_L010_incl,3.7,1.0,-10.956697639329951,0.016191303174181826
cof-1_z37_L020_incl,3.7,2.0,-10.955942912315882,0.016946030188250916
