structure,z,L,energy_Eh,energy_rel_Eh
cof-1_z30_L000_serr,3.0,0.0,-21.70628707763851,0.20620236962771443
cof-1_z30_L010_serr,3.0,1.0,-21.76052251484729,0.15196693241893655
cof-1_z30_L020_serr,3.0,2.0,-21.81258119513702,0.09990825212920385
cof-1_z30_L030_serr,3.0,3.0,-21.853313514930363,0.0591759323358616
cof-1_z30_L040_serr,3.0,4.0,-21.875052375311334,0.037437071954890655
cof-1_z30_L050_serr,3.0,5.0,-21.86508822141991,0.04740122584631479
cof-1_z30_L060_serr,3.0,6.0,-21.863617611927154,0.04887183533907091
cof-1_z30_L070_serr,3.0,7.0,-21.864275771513498,0.04821367575272717
cof-1_z30_L080_serr,3.0,8.0,-21.90010995665777,0.012379490608456223
cof-1_z30_L087_serr,3.0,8.7,-21.912489447266225,0.0
cof-1_z31_L000_serr,3.1,0.0,-21.772697997068406,0.13979145019781924
cof-1_z31_L010_serr,3.1,1.0,-21.81114571457058,0.10134373269564634
cof-1_z31_L020_serr,3.1,2.0,-21.8495839661642,0.06290548110202465
cof-1_z31_L030_serr,3.1,3.0,-21.878533089769224,0.033956357497000766
cof-1_z31_L040_serr,3.1,4.0,-21.891914128294797,0.020575318971427947
cof-1_z31_L050_serr,3.1,5.0,-21.8774598698645,0.035029577401726186
cof-1_z31_L060_serr,3.1,6.0,-21.87221053014174,0.0402789171244855
cof-1_z31_L070_serr,3.1,7.0,-21.871679336064684,0.04081011120154088
cof-1_z31_L080_serr,3.1,8.0,-21.899782261946548,0.01270718531967674
cof-1_z31_L087_serr,3.1,8.7,-21.909617590712912,0.0028718565533125684
cof-1_z32_L000_serr,3.2,0.0,-21.82260635325729,0.08988309400893613
cof-1_z32_L010_serr,3.2,1.0,-21.84804350473034,0.0644459425358832
cof-1_z32_L020_serr,3.2,2.0,-21.875137147325596,0.03735229994062905
cof-1_z32_L030_serr,3.2,3.0,-21.89486390417883,0.01762554308739439
cof-1_z32_L040_serr,3.2,4.0,-21.90231609185696,0.010173355409264673
cof-1_z32_L050_serr,3.2,5.0,-21.8849158548579,0.027573592408323577
cof-1_z32_L060_serr,3.2,6.0,-21.876348337630464,0.03614110963576067
