structure,z,L,energy_Eh,energy_rel_Eh
cof-1_z30_L000_serr,3.0,0.0,-21.976759214391535,0.1508485547361822
cof-1_z30_L010_serr,3.0,1.0,-22.02819329606449,0.09941447306322715
cof-1_z30_L020_serr,3.0,2.0,-22.072367389927987,0.05524037919973068
cof-1_z30_L030_serr,3.0,3.0,-22.102718181479702,0.02488958764801552
cof-1_z30_L040_serr,3.0,4.0,-22.114201137211623,0.01340663191609437
cof-1_z30_L050_serr,3.0,5.0,-22.095539778071725,0.03206799105599245
cof-1_z30_L060_serr,3.0,6.0,-22.087156128101437,0.04045164102628007
cof-1_z30_L070_serr,3.0,7.0,-22.082597826081145,0.04500994304657269
cof-1_z30_L080_serr,3.0,8.0,-22.11538378903164,0.012223980096077725
cof-1_z30_L087_serr,3.0,8.7,-22.127101871673982,0.0005058974537348604
cof-1_z31_L000_serr,3.1,0.0,-22.03267589454674,0.09493187458097907
cof-1_z31_L010_serr,3.1,1.0,-22.068463413705167,0.05914435542254992
cof-1_z31_L020_serr,3.1,2.0,-22.09948852604007,0.028119243087648016
cof-1_z31_L030_serr,3.1,3.0,-22.11875719316901,0.008850575958707196
cof-1_z31_L040_serr,3.1,4.0,-22.122617464368197,0.004990304759520114
cof-1_z31_L050_serr,3.1,5.0,-22.100132847336816,0.027474921790901163
cof-1_z31_L060_serr,3.1,6.0,-22.0885150030311,0.039092766096615605
cof-1_z31_L070_serr,3.1,7.0,-22.083149244852358,0.04445852427535968
cof-1_z31_L080_serr,3.1,8.0,-22.108369014574095,0.019238754553622783
cof-1_z31_L087_serr,3.1,8.7,-22.117575316041464,0.010032453086253668
cof-1_z32_L000_serr,3.2,0.0,-22.072513724142212,0.05509404498550552
cof-1_z32_L010_serr,3.2,1.0,-22.095448505984624,0.03215926314309314
cof-1_z32_L020_serr,3.2,2.0,-22.115625835385202,0.011981933742514883
cof-1_z32_L030_serr,3.2,3.0,-22.1263839325443,0.0012238365834171816
cof-1_z32_L040_serr,3.2,4.0,-22.125050292064945,0.0025574770627727617
cof-1_z32_L050_serr,3.2,5.0,-22.100269635187363,0.027338133940354226
cof-1_z32_L060_serr,3.2,6.0,-22.08585476884285,0.04175300028486717
cof-1_z32_L070_serr,3.2,7.0,-22.07966203263812,0.047945736489598545
cof-1_z32_L080_serr,3.2,8.0,-22.098889316370183,0.028718452757534152
cof-1_z32_L087_serr,3.2,8.7,-22.105966541040726,0.02164122808699176
cof-1_z33_L000_serr,3.3,0.0,-22.098198670435146,0.02940909869257169
cof-1_z33_L010_serr,3.3,1.0,-22.111177684701573,0.01643008442614402
cof-1_z33_L020_serr,3.3,2.0,-22.12275008301181,0.004857686115908422
cof-1_z33_L030_serr,3.3,3.0,-22.127607769127717,0.0
cof-1_z33_L040_serr,3.3,4.0,-22.122288919092437,0.00531885003528032
cof-1_z33_L050_serr,3.3,5.0,-22.096628125191774,0.030979643935943102
cof-1_z33_L060_serr,3.3,6.0,-22.0800331898681,0.04757457925961717
cof-1_z33_L070_serr,3.3,7.0,-22.073376642312866,0.05423112681485165
cof-1_z33_L080_serr,3.3,8.0,-22.087715631818718,0.039892137308999764
cof-1_z33_L087_serr,3.3,8.7,-22.09315772405999,0.03445004506772875
cof-1_z34_L000_serr,3.4,0.0,-22.112823643059475,0.014784126068242642
cof-1_z34_L010_serr,3.4,1.0,-22.11839724062311,0.009210528504606685
cof-1_z34_L020_serr,3.4,2.0,-22.123069979311555,0.004537789816161819
cof-1_z34_L030_serr,3.4,3.0,-22.12419667581518,0.0034110933125361953
cof-1_z34_L040_serr,3.4,4.0,-22.11524460310797,0.012363166019746075
cof-1_z34_L050_serr,3.4,5.0,-22.089660994300942,0.037946774826775
cof-1_z34_L060_serr,3.4,6.0,-22.071824858856537,0.055782910271179986
cof-1_z34_L070_serr,3.4,7.0,-22.065152569541933,0.06245519958578427
