structure,z,L,energy_Eh,energy_rel_Eh
cof-1_z30_L000_incl,3.0,0.0,-1289.0023111899,0.08183269350001865
cof-1_z30_L010_incl,3.0,1.0,-1289.0527477012,0.031396182200069234
cof-1_z30_L020_incl,3.0,2.0,-1289.0734471153,0.010696768099933252
cof-1_z30_L030_incl,3.0,3.0,-1289.0740977857,0.010046097700069367
cof-1_z30_L040_incl,3.0,4.0,-1289.0777047444,0.006439138999894567
cof-1_z30_L050_incl,3.0,5.0,-1289.0778998471,0.00624403629990411
cof-1_z30_L060_incl,3.0,6.0,-1289.0755142898,0.008629593600062435
cof-1_z30_L070_incl,3.0,7.0,-1289.0678139024,0.016329980999898908
cof-1_z30_L080_incl,3.0,8.0,-1289.0734310376,0.010712845800071591
cof-1_z30_L087_incl,3.0,8.7,-1289.0767299438,0.007413939599928199
cof-1_z31_L000_incl,3.1,0.0,-1289.0275443563,0.056599527099933766
cof-1_z31_L010_incl,3.1,1.0,-1289.0644295286,0.01971435480004402
cof-1_z31_L020_incl,3.1,2.0,-1289.0800849509,0.004058932499901857
cof-1_z31_L030_incl,3.1,3.0,-1289.0796299731,0.004513910299920099
cof-1_z31_L040_incl,3.1,4.0,-1289.0816341924,0.0025096909998865158
cof-1_z31_L050_incl,3.1,5.0,-1289.0803182905,0.0038255929000570177
cof-1_z31_L060_incl,3.1,6.0,-1289.0769920308,0.007151852599918129
cof-1_z31_L070_incl,3.1,7.0,-1289.0705110474,0.013632835999942472
cof-1_z31_L080_incl,3.1,8.0,-1289.0743725786,0.00977130479986954
cof-1_z31_L087_incl,3.1,8.7,-1289.0766500822,0.007493801199871086
cof-1_z32_L000_incl,3.2,0.0,-1289.0447286079,0.03941527550000501
cof-1_z32_L010_incl,3.2,1.0,-1289.0716630753,0.01248080810000829
cof-1_z32_L020_incl,3.2,2.0,-1289.0833444744,0.0007994089999101561
cof-1_z32_L030_incl,3.2,3.0,-1289.0824627349,0.0016811484999834647
cof-1_z32_L040_incl,3.2,4.0,-1289.0831345594,0.0010093240000514925
cof-1_z32_L050_incl,3.2,5.0,-1289.0811437623,0.003000121100058095
cof-1_z32_L060_incl,3.2,6.0,-1289.0770946605,0.007049222899922825
cof-1_z32_L070_incl,3.2,7.0,-1289.0714688569,0.012675026499891828
cof-1_z32_L080_incl,3.2,8.0,-1289.0740542244,0.010089658999959283
cof-1_z32_L087_incl,3.2,8.7,-1289.0755975539,0.008546329499949934
cof-1_z33_L000_incl,3.3,0.0,-1289.0558659593,0.0282779240999389
cof-1_z33_L010_incl,3.3,1.0,-1289.0754517363,0.008692147099964131
cof-1_z33_L020_incl,3.3,2.0,-1289.0841438834,0.0
cof-1_z33_L030_incl,3.3,3.0,-1289.0832988457,0.0008450376999462605
cof-1_z33_L040_incl,3.3,4.0,-1289.0831155932,0.001028290199883486
cof-1_z33_L050_incl,3.3,5.0,-1289.0804739887,0.0036698946998967585
cof-1_z33_L060_incl,3.3,6.0,-1289.0762796214,0.007864261999884548
cof-1_z33_L070_incl,3.3,7.0,-1289.0714086947,0.012735188699934952
cof-1_z33_L080_incl,3.3,8.0,-1289.0729409914,0.011202892000028442
cof-1_z33_L087_incl,3.3,8.7,-1289.0739074132,0.010236470199970427
cof-1_z34_L000_incl,3.4,0.0,-1289.0628152489,0.021328634499923282
cof-1_z34_L010_incl,3.4,1.0,-1289.0769401386,0.007203744799880951
cof-1_z34_L020_incl,3.4,2.0,-1289.0835090748,0.0006348085998979514
cof-1_z34_L030_incl,3.4,3.0,-1289.0826274531,0.0015164302999437496
cof-1_z34_L040_incl,3.4,4.0,-1289.081886962,0.0022569213999759086
cof-1_z34_L050_incl,3.4,5.0,-1289.0787537811,0.005390102299998034
cof-1_z34_L060_incl,3.4,6.0,-1289.0747892496,0.009354633800057854
cof-1_z34_L070_incl,3.4,7.0,-1289.0706330361,0.01351084730004004
cof-1_z34_L080_incl,3.4,8.0,-1289.0712184437,0.012925439699984054
cof-1_z34_L087_incl,3.4,8.7,-1289.0719525038,0.012191379599926222
cof-1_z35_L000_incl,3.5,0.0,-1289.0668566583,0.017287225100062642
cof-1_z35_L010_incl,3.5,1.0,-1289.0767380575,0.007405825899923002
cof-1_z35_L020_incl,3.5,2.0,-1289.0819591689,0.002184714499890106
cof-1_z35_L030_incl,3.5,3.0,-1289.0809832295,0.0031606539000677003
cof-1_z35_L040_incl,3.5,4.0,-1289.0798892796,0.004254603800063705
cof-1_z35_L050_incl,3.5,5.0,-1289.0767347489,0.007409134499994252
cof-1_z35_L060_incl,3.5,6.0,-1289.0729361041,0.01120777929986616
cof-1_z35_L070_incl,3.5,7.0,-1289.0693320441,0.01481183929990948
cof-1_z35_L080_incl,3.5,8.0,-1289.0693714907,0.014772392700024284
cof-1_z35_L087_incl,3.5,8.7,-1289.0699193651,0.014224518299897682
cof-1_z36_L000_incl,3.6,0.0,-1289.0682398636,0.015904019800018432
cof-1_z36_L010_incl,3.6,1.0,-1289.0756154981,0.008528385299996444
cof-1_z36_L020_incl,3.6,2.0,-1289.0797989053,0.0043449780998798815
cof-1_z36_L030_incl,3.6,3.0,-1289.0788600837,0.005283799700009695
cof-1_z36_L040_incl,3.6,4.0,-1289.0776295069,0.0065143765000357234
cof-1_z36_L050_incl,3.6,5.0,-1289.0744552186,0.009688664800023616
cof-1_z36_L060_incl,3.6,6.0,-1289.070878042,0.013265841399970668
cof-1_z36_L070_incl,3.6,7.0,-1289.0677409599,0.016402923499981625
cof-1_z36_L080_incl,3.6,8.0,-1289.0674472783,0.016696605099923545
cof-1_z36_L087_incl,3.6,8.7,-1289.0678031399,0.01634074349999537
cof-1_z37_L000_incl,3.7,0.0,-1289.0682946128,0.01584927060002883
