structure,z,L,energy_Eh,energy_rel_Eh
cof-1_z30_L000_serr,3.0,0.0,-2578.0046074761,0.1629604137001479
cof-1_z30_L010_serr,3.0,1.0,-2578.1102765814,0.05729130840018115
cof-1_z30_L020_serr,3.0,2.0,-2578.1443929436,0.023174946200015256
cof-1_z30_L030_serr,3.0,3.0,-2578.1497604394,0.017807450400141533
cof-1_z30_L040_serr,3.0,4.0,-2578.155615357,0.011952532800023619
cof-1_z30_L050_serr,3.0,5.0,-2578.1566944692,0.010873420600091777
cof-1_z30_L060_serr,3.0,6.0,-2578.1530539363,0.014513953500227217
cof-1_z30_L070_serr,3.0,7.0,-2578.1370466365,0.030521253299866657
cof-1_z30_L080_serr,3.0,8.0,-2578.1483063177,0.019261572099821933
cof-1_z30_L087_serr,3.0,8.7,-2578.1548397453,0.012728144500215421
cof-1_z31_L000_serr,3.1,0.0,-2578.055077613,0.11249027680014478
cof-1_z31_L010_serr,3.1,1.0,-2578.131552424,0.03601546580011927
cof-1_z31_L020_serr,3.1,2.0,-2578.158483904,0.009083985799861694
cof-1_z31_L030_serr,3.1,3.0,-2578.1604279128,0.007139976999951614
cof-1_z31_L040_serr,3.1,4.0,-2578.1633536925,0.004214197299916123
cof-1_z31_L050_serr,3.1,5.0,-2578.1614754226,0.006092467200232932
cof-1_z31_L060_serr,3.1,6.0,-2578.1556846253,0.011883264499829238
cof-1_z31_L070_serr,3.1,7.0,-2578.1422639092,0.025303980599801434
cof-1_z31_L080_serr,3.1,8.0,-2578.1498292705,0.01773861929996201
cof-1_z31_L087_serr,3.1,8.7,-2578.1544468249,0.013121064900133206
cof-1_z32_L000_serr,3.2,0.0,-2578.0894499612,0.07811792860002242
cof-1_z32_L010_serr,3.2,1.0,-2578.1448480932,0.02271979660008583
cof-1_z32_L020_serr,3.2,2.0,-2578.1655566324,0.0020112574002268957
cof-1_z32_L030_serr,3.2,3.0,-2578.165625467,0.0019424227998570132
cof-1_z32_L040_serr,3.2,4.0,-2578.1662962547,0.0012716351002381998
cof-1_z32_L050_serr,3.2,5.0,-2578.1630075131,0.004560376699828339
cof-1_z32_L060_serr,3.2,6.0,-2578.1556272462,0.011940643600155454
cof-1_z32_L070_serr,3.2,7.0,-2578.144017453,0.02355043680017843
cof-1_z32_L080_serr,3.2,8.0,-2578.1489655594,0.018602330399971834
