structure,z,L,energy_Eh
cof-1_z30_L000_serr,3.0,0.0,-21.70628707763851
cof-1_z30_L010_serr,3.0,1.0,-21.76052251484729
cof-1_z30_L020_serr,3.0,2.0,-21.81258119513702
cof-1_z30_L030_serr,3.0,3.0,-21.853313514930363
cof-1_z30_L040_serr,3.0,4.0,-21.875052375311334
cof-1_z30_L050_serr,3.0,5.0,-21.86508822141991
cof-1_z30_L060_serr,3.0,6.0,-21.863617611927154
cof-1_z30_L070_serr,3.0,7.0,-21.864275771513498
cof-1_z30_L080_serr,3.0,8.0,-21.90010995665777
cof-1_z30_L087_serr,3.0,8.7,-21.912489447266225
cof-1_z31_L000_serr,3.1,0.0,-21.772697997068406
cof-1_z31_L010_serr,3.1,1.0,-21.81114571457058
cof-1_z31_L020_serr,3.1,2.0,-21.8495839661642
cof-1_z31_L030_serr,3.1,3.0,-21.878533089769224
cof-1_z31_L040_serr,3.1,4.0,-21.891914128294797
cof-1_z31_L050_serr,3.1,5.0,-21.8774598698645
cof-1_z31_L060_serr,3.1,6.0,-21.87221053014174
cof-1_z31_L070_serr,3.1,7.0,-21.871679336064684
cof-1_z31_L080_serr,3.1,8.0,-21.899782261946548
cof-1_z31_L087_serr,3.1,8.7,-21.909617590712912
cof-1_z32_L000_serr,3.2,0.0,-21.82260635325729
cof-1_z32_L010_serr,3.2,1.0,-21.84804350473034
cof-1_z32_L020_serr,3.2,2.0,-21.875137147325596
cof-1_z32_L030_serr,3.2,3.0,-21.89486390417883
cof-1_z32_L040_serr,3.2,4.0,-21.90231609185696
cof-1_z32_L050_serr,3.2,5.0,-21.8849158548579
cof-1_z32_L060_serr,3.2,6.0,-21.876348337630464
cof-1_z32_L070_serr,3.2,7.0,-21.874613322704963
cof-1_z32_L080_serr,3.2,8.0,-21.896543114188287
cof-1_z32_L087_serr,3.2,8.7,-21.904212833908037
cof-1_z33_L000_serr,3.3,0.0,-21.857888457052727
cof-1_z33_L010_serr,3.3,1.0,-21.87320564904183
cof-1_z33_L020_serr,3.3,2.0,-21.891185633534928
cof-1_z33_L030_serr,3.3,3.0,-21.90430139968382
cof-1_z33_L040_serr,3.3,4.0,-21.907044713144334
cof-1_z33_L050_serr,3.3,5.0,-21.888140268156228
cof-1_z33_L060_serr,3.3,6.0,-21.87689444025487
cof-1_z33_L070_serr,3.3,7.0,-21.87433002444536
cof-1_z33_L080_serr,3.3,8.0,-21.891182860573416
