structure,z,L,energy_Eh
boronate_ester_2-Benzene_z30_inc_L000,3.0,0.0,-10.988448424325503
boronate_ester_2-Benzene_z30_inc_L010,3.0,1.0,-11.012692287068274
boronate_ester_2-Benzene_z30_inc_L020,3.0,2.0,-11.039013566077886
boronate_ester_2-Benzene_z30_inc_L030,3.0,3.0,-11.052566312823068
boronate_ester_2-Benzene_z30_inc_L040,3.0,4.0,-11.05800363953245
boronate_ester_2-Benzene_z30_inc_L050,3.0,5.0,-11.052860044824115
boronate_ester_2-Benzene_z30_inc_L060,3.0,6.0,-11.05163180626577
boronate_ester_2-Benzene_z30_inc_L070,3.0,7.0,-11.05312881960875
boronate_ester_2-Benzene_z30_inc_L080,3.0,8.0,-11.07220371761873
boronate_ester_2-Benzene_z30_inc_L087,3.0,8.7,-11.079170411634939
boronate_ester_2-Benzene_z31_inc_L000,3.1,0.0,-11.016401730927289
boronate_ester_2-Benzene_z31_inc_L010,3.1,1.0,-11.034107329882806
boronate_ester_2-Benzene_z31_inc_L020,3.1,2.0,-11.053537094200964
boronate_ester_2-Benzene_z31_inc_L030,3.1,3.0,-11.06150488055461
boronate_ester_2-Benzene_z31_inc_L040,3.1,4.0,-11.061823555420911
boronate_ester_2-Benzene_z31_inc_L050,3.1,5.0,-11.054358547427444
boronate_ester_2-Benzene_z31_inc_L060,3.1,6.0,-11.051720021582632
boronate_ester_2-Benzene_z31_inc_L070,3.1,7.0,-11.053098955747748
boronate_ester_2-Benzene_z31_inc_L080,3.1,8.0,-11.068339018711004
boronate_ester_2-Benzene_z31_inc_L087,3.1,8.7,-11.0737375225757
boronate_ester_2-Benzene_z32_inc_L000,3.2,0.0,-11.036314354435476
boronate_ester_2-Benzene_z32_inc_L010,3.2,1.0,-11.048870162152939
boronate_ester_2-Benzene_z32_inc_L020,3.2,2.0,-11.062467567377977
boronate_ester_2-Benzene_z32_inc_L030,3.2,3.0,-11.066128824394648
boronate_ester_2-Benzene_z32_inc_L040,3.2,4.0,-11.062853629717443
boronate_ester_2-Benzene_z32_inc_L050,3.2,5.0,-11.053801462535796
boronate_ester_2-Benzene_z32_inc_L060,3.2,6.0,-11.050017981860703
