structure,z,L,energy_Eh
boronate_ester_2-Benzene_z30_ser_L000,3.0,0.0,-21.9768968485927
boronate_ester_2-Benzene_z30_ser_L010,3.0,1.0,-22.028326923942302
boronate_ester_2-Benzene_z30_ser_L020,3.0,2.0,-22.07254433027146
boronate_ester_2-Benzene_z30_ser_L030,3.0,3.0,-22.10292819608952
boronate_ester_2-Benzene_z30_ser_L040,3.0,4.0,-22.114358948961797
boronate_ester_2-Benzene_z30_ser_L050,3.0,5.0,-22.09567696738642
boronate_ester_2-Benzene_z30_ser_L060,3.0,6.0,-22.0873253560505
boronate_ester_2-Benzene_z30_ser_L070,3.0,7.0,-22.082791424955502
boronate_ester_2-Benzene_z30_ser_L080,3.0,8.0,-22.115557348254217
boronate_ester_2-Benzene_z30_ser_L087,3.0,8.7,-22.12726055971559
boronate_ester_2-Benzene_z31_ser_L000,3.1,0.0,-22.03280346183795
boronate_ester_2-Benzene_z31_ser_L010,3.1,1.0,-22.0685919762181
boronate_ester_2-Benzene_z31_ser_L020,3.1,2.0,-22.099648309888813
boronate_ester_2-Benzene_z31_ser_L030,3.1,3.0,-22.118947064076043
boronate_ester_2-Benzene_z31_ser_L040,3.1,4.0,-22.12276147976176
boronate_ester_2-Benzene_z31_ser_L050,3.1,5.0,-22.10025824298241
boronate_ester_2-Benzene_z31_ser_L060,3.1,6.0,-22.088660321425806
boronate_ester_2-Benzene_z31_ser_L070,3.1,7.0,-22.083307588710497
boronate_ester_2-Benzene_z31_ser_L080,3.1,8.0,-22.108509265150975
boronate_ester_2-Benzene_z31_ser_L087,3.1,8.7,-22.117704899313438
boronate_ester_2-Benzene_z32_ser_L000,3.2,0.0,-22.072628708846107
boronate_ester_2-Benzene_z32_ser_L010,3.2,1.0,-22.095572005262433
boronate_ester_2-Benzene_z32_ser_L020,3.2,2.0,-22.115768272281308
boronate_ester_2-Benzene_z32_ser_L030,3.2,3.0,-22.12655426788484
boronate_ester_2-Benzene_z32_ser_L040,3.2,4.0,-22.125185788658133
boronate_ester_2-Benzene_z32_ser_L050,3.2,5.0,-22.100386708700828
boronate_ester_2-Benzene_z32_ser_L060,3.2,6.0,-22.085977865417473
boronate_ester_2-Benzene_z32_ser_L070,3.2,7.0,-22.0797920459282
boronate_ester_2-Benzene_z32_ser_L080,3.2,8.0,-22.099005086101435
boronate_ester_2-Benzene_z32_ser_L087,3.2,8.7,-22.106072116116792
boronate_ester_2-Benzene_z33_ser_L000,3.3,0.0,-22.098302283856338
boronate_ester_2-Benzene_z33_ser_L010,3.3,1.0,-22.111294986654066
boronate_ester_2-Benzene_z33_ser_L020,3.3,2.0,-22.12287498178366
boronate_ester_2-Benzene_z33_ser_L030,3.3,3.0,-22.127762608173278
boronate_ester_2-Benzene_z33_ser_L040,3.3,4.0,-22.122419877495
boronate_ester_2-Benzene_z33_ser_L050,3.3,5.0,-22.09674056450482
boronate_ester_2-Benzene_z33_ser_L060,3.3,6.0,-22.08013857223006
boronate_ester_2-Benzene_z33_ser_L070,3.3,7.0,-22.073486885911002
boronate_ester_2-Benzene_z33_ser_L080,3.3,8.0,-22.087817036025633
boronate_ester_2-Benzene_z33_ser_L087,3.3,8.7,-22.093246863943058
boronate_ester_2-Benzene_z34_ser_L000,3.4,0.0,-22.112921553063295
boronate_ester_2-Benzene_z34_ser_L010,3.4,1.0,-22.118507988650425
boronate_ester_2-Benzene_z34_ser_L020,3.4,2.0,-22.12318010975587
boronate_ester_2-Benzene_z34_ser_L030,3.4,3.0,-22.124341253813395
boronate_ester_2-Benzene_z34_ser_L040,3.4,4.0,-22.115369022274663
boronate_ester_2-Benzene_z34_ser_L050,3.4,5.0,-22.089769604266497
boronate_ester_2-Benzene_z34_ser_L060,3.4,6.0,-22.071918098074267
boronate_ester_2-Benzene_z34_ser_L070,3.4,7.0,-22.06525002728715
