structure,z,L,energy_Eh
boronate_ester_2-Benzene_z30_inc_L000,3.0,0.0,-10.988304599093361
boronate_ester_2-Benzene_z30_inc_L010,3.0,1.0,-11.012311519068666
boronate_ester_2-Benzene_z30_inc_L020,3.0,2.0,-11.038505771842607
boronate_ester_2-Benzene_z30_inc_L030,3.0,3.0,-11.051896070274646
boronate_ester_2-Benzene_z30_inc_L040,3.0,4.0,-11.057629459777369
boronate_ester_2-Benzene_z30_inc_L050,3.0,5.0,-11.052742419260618
boronate_ester_2-Benzene_z30_inc_L060,3.0,6.0,-11.051594470495488
boronate_ester_2-Benzene_z30_inc_L070,3.0,7.0,-11.053022925566966
boronate_ester_2-Benzene_z30_inc_L080,3.0,8.0,-11.071854292866247
boronate_ester_2-Benzene_z30_inc_L087,3.0,8.7,-11.078855818693372
boronate_ester_2-Benzene_z31_inc_L000,3.1,0.0,-11.016235640215845
boronate_ester_2-Benzene_z31_inc_L010,3.1,1.0,-11.033682667925612
boronate_ester_2-Benzene_z31_inc_L020,3.1,2.0,-11.052955190010396
boronate_ester_2-Benzene_z31_inc_L030,3.1,3.0,-11.060847556923942
boronate_ester_2-Benzene_z31_inc_L040,3.1,4.0,-11.06141930108356
boronate_ester_2-Benzene_z31_inc_L050,3.1,5.0,-11.054199135927883
boronate_ester_2-Benzene_z31_inc_L060,3.1,6.0,-11.05160492024719
boronate_ester_2-Benzene_z31_inc_L070,3.1,7.0,-11.05291368405597
boronate_ester_2-Benzene_z31_inc_L080,3.1,8.0,-11.06801102095859
boronate_ester_2-Benzene_z31_inc_L087,3.1,8.7,-11.073441644786845
boronate_ester_2-Benzene_z32_inc_L000,3.2,0.0,-11.036128387310773
boronate_ester_2-Benzene_z32_inc_L010,3.2,1.0,-11.048426709636493
boronate_ester_2-Benzene_z32_inc_L020,3.2,2.0,-11.061846579962708
boronate_ester_2-Benzene_z32_inc_L030,3.2,3.0,-11.065484299889617
boronate_ester_2-Benzene_z32_inc_L040,3.2,4.0,-11.062423261029949
boronate_ester_2-Benzene_z32_inc_L050,3.2,5.0,-11.053616630123472
boronate_ester_2-Benzene_z32_inc_L060,3.2,6.0,-11.04986384014506
boronate_ester_2-Benzene_z32_inc_L070,3.2,7.0,-11.050866702112945
boronate_ester_2-Benzene_z32_inc_L080,3.2,8.0,-11.062873135451143
boronate_ester_2-Benzene_z32_inc_L087,3.2,8.7,-11.067086542522729
boronate_ester_2-Benzene_z33_inc_L000,3.3,0.0,-11.048948370765332
boronate_ester_2-Benzene_z33_inc_L010,3.3,1.0,-11.057356353078825
boronate_ester_2-Benzene_z33_inc_L020,3.3,2.0,-11.066175501605423
