structure,z,L,energy_Eh,energy_rel_Eh
cof-1_z30_L000_incl,3.0,0.0,-10.98837960705617,0.09066448656708026
cof-1_z30_L010_incl,3.0,1.0,-11.012447480134503,0.06659661348874835
cof-1_z30_L020_incl,3.0,2.0,-11.038648548330539,0.0403955452927125
cof-1_z30_L030_incl,3.0,3.0,-11.051990999267602,0.027053094355649066
cof-1_z30_L040_incl,3.0,4.0,-11.057729495913808,0.021314597709443106
cof-1_z30_L050_incl,3.0,5.0,-11.05285298198792,0.026191111635331055
cof-1_z30_L060_incl,3.0,6.0,-11.051700349300205,0.027343744323045982
cof-1_z30_L070_incl,3.0,7.0,-11.05315847761648,0.025885616006771528
cof-1_z30_L080_incl,3.0,8.0,-11.072089106666496,0.006954986956754894
cof-1_z30_L087_incl,3.0,8.7,-11.079044093623251,0.0
cof-1_z31_L000_incl,3.1,0.0,-11.016337947374387,0.06270614624886406
cof-1_z31_L010_incl,3.1,1.0,-11.03383696762807,0.04520712599518184
cof-1_z31_L020_incl,3.1,2.0,-11.05311957238927,0.025924521233980258
cof-1_z31_L030_incl,3.1,3.0,-11.060960235852292,0.018083857770959
cof-1_z31_L040_incl,3.1,4.0,-11.061534503977205,0.01750958964604621
cof-1_z31_L050_incl,3.1,5.0,-11.05432132775373,0.024722765869521268
cof-1_z31_L060_incl,3.1,6.0,-11.051717900122181,0.027326193501069795
cof-1_z31_L070_incl,3.1,7.0,-11.053059022532445,0.0259850710908065
cof-1_z31_L080_incl,3.1,8.0,-11.068245449233823,0.010798644389428347
cof-1_z31_L087_incl,3.1,8.7,-11.07364246318211,0.0054016304411401705
cof-1_z32_L000_incl,3.2,0.0,-11.036256862059497,0.042787231563753636
cof-1_z32_L010_incl,3.2,1.0,-11.048595813839809,0.030448279783442445
cof-1_z32_L020_incl,3.2,2.0,-11.062028173556774,0.01701592006647701
cof-1_z32_L030_incl,3.2,3.0,-11.065612784473062,0.013431309150188753
cof-1_z32_L040_incl,3.2,4.0,-11.062551447491524,0.016492646131727184
cof-1_z32_L050_incl,3.2,5.0,-11.05374706317228,0.025297030450971647
cof-1_z32_L060_incl,3.2,6.0,-11.049981291266763,0.029062802356488504
cof-1_z32_L070_incl,3.2,7.0,-11.05101637644743,0.028027717175820754
cof-1_z32_L080_incl,3.2,8.0,-11.063103951780029,0.015940141843222122
cof-1_z32_L087_incl,3.2,8.7,-11.067292988872913,0.01175110475033847
cof-1_z33_L000_incl,3.3,0.0,-11.049099335220557,0.02994475840269395
cof-1_z33_L010_incl,3.3,1.0,-11.057536461969459,0.021507631653792103
cof-1_z33_L020_incl,3.3,2.0,-11.066368652356124,0.012675441267127496
cof-1_z33_L030_incl,3.3,3.0,-11.066873890679984,0.012170202943266872
cof-1_z33_L040_incl,3.3,4.0,-11.061177164124048,0.017866929499202655
cof-1_z33_L050_incl,3.3,5.0,-11.051494079833116,0.027550013790134997
cof-1_z33_L060_incl,3.3,6.0,-11.046930444490256,0.03211364913299519
cof-1_z33_L070_incl,3.3,7.0,-11.0476017005287,0.03144239309455088
cof-1_z33_L080_incl,3.3,8.0,-11.05709052027882,0.021953573344431376
cof-1_z33_L087_incl,3.3,8.7,-11.06045648077393,0.018587612849321644
cof-1_z34_L000_incl,3.4,0.0,-11.056411821506924,0.022632272116327457
cof-1_z34_L010_incl,3.4,1.0,-11.061926528716258,0.01711756490699301
cof-1_z34_L020_incl,3.4,2.0,-11.067189732810627,0.01185436081262381
cof-1_z34_L030_incl,3.4,3.0,-11.065544829942295,0.013499263680955664
cof-1_z34_L040_incl,3.4,4.0,-11.05780229847594,0.021241795147311393
cof-1_z34_L050_incl,3.4,5.0,-11.047732782547348,0.03131131107590335
cof-1_z34_L060_incl,3.4,6.0,-11.042864000753678,0.036180092869573244
cof-1_z34_L070_incl,3.4,7.0,-11.043202001226499,0.03584209239675218
cof-1_z34_L080_incl,3.4,8.0,-11.050451813716162,0.028592279907089235
cof-1_z34_L087_incl,3.4,8.7,-11.053391366995646,0.025652726627605205
cof-1_z35_L000_incl,3.5,0.0,-11.059770379451926,0.01927371417132484
cof-1_z35_L010_incl,3.5,1.0,-11.06308740805279,0.015956685570461815
cof-1_z35_L020_incl,3.5,2.0,-11.06539558204875,0.013648511574501754
cof-1_z35_L030_incl,3.5,3.0,-11.06222370452707,0.01682038909618022
cof-1_z35_L040_incl,3.5,4.0,-11.052834032810576,0.02621006081267474
cof-1_z35_L050_incl,3.5,5.0,-11.042573984830135,0.036470108793116296
cof-1_z35_L060_incl,3.5,6.0,-11.037965834323302,0.04107825929994924
cof-1_z35_L070_incl,3.5,7.0,-11.038058246763134,0.04098584686011719
cof-1_z35_L080_incl,3.5,8.0,-11.04329056459298,0.035753529030271736
cof-1_z35_L087_incl,3.5,8.7,-11.04611480679729,0.03292928682596141
cof-1_z36_L000_incl,3.6,0.0,-11.060309845220244,0.01873424840300686
cof-1_z36_L010_incl,3.6,1.0,-11.062059793442767,0.016984300180483913
cof-1_z36_L020_incl,3.6,2.0,-11.061638225070013,0.017405868553238335
cof-1_z36_L030_incl,3.6,3.0,-11.057296875880464,0.021747217742786873
cof-1_z36_L040_incl,3.6,4.0,-11.046679122111195,0.03236497151205597
cof-1_z36_L050_incl,3.6,5.0,-11.036228071611653,0.042816022011598065
cof-1_z36_L060_incl,3.6,6.0,-11.032341853877243,0.046702239746007734
cof-1_z36_L070_incl,3.6,7.0,-11.032335820334739,0.04670827328851246
cof-1_z36_L080_incl,3.6,8.0,-11.035682502290662,0.0433615913325891
cof-1_z36_L087_incl,3.6,8.7,-11.03846487123806,0.040579222385190405
cof-1_z37_L000_incl,3.7,0.0,-11.058703503428493,0.02034059019475798
cof-1_z37_L010_incl,3.7,1.0,-11.059433888529359,0.01961020509389222
cof-1_z37_L020_incl,3.7,2.0,-11.056337779589485,0.02270631403376555
cof-1_z37_L030_incl,3.7,3.0,-11.050953709914657,0.028090383708594402
cof-1_z37_L040_incl,3.7,4.0,-11.039661996324444,0.03938209729880704
cof-1_z37_L050_incl,3.7,5.0,-11.02904824705358,0.04999584656967038
cof-1_z37_L060_incl,3.7,6.0,-11.026073883917668,0.05297020970558286
cof-1_z37_L070_incl,3.7,7.0,-11.026137859198965,0.052906234424286325
cof-1_z37_L080_incl,3.7,8.0,-11.027787705096117,0.05125638852713443
cof-1_z37_L087_incl,3.7,8.7,-11.030210931015244,0.048833162608007186
cof-1_z38_L000_incl,3.8,0.0,-11.055522345672623,0.023521747950628225
cof-1_z38_L010_incl,3.8,1.0,-11.055417324674748,0.02362676894850324
cof-1_z38_L020_incl,3.8,2.0,-11.049737435030028,0.02930665859322268
cof-1_z38_L030_incl,3.8,3.0,-11.043287997141018,0.03575609648223299
cof-1_z38_L040_incl,3.8,4.0,-11.031978268349114,0.04706582527413694
cof-1_z38_L050_incl,3.8,5.0,-11.021408680057297,0.05763541356595425
cof-1_z38_L060_incl,3.8,6.0,-11.019223690655393,0.0598204029678584
cof-1_z38_L070_incl,3.8,7.0,-11.019489346429122,0.05955474719412912
cof-1_z38_L080_incl,3.8,8.0,-11.019829993250712,0.05921410037253949
cof-1_z38_L087_incl,3.8,8.7,-11.021413325109625,0.057630768513625696
cof-1_z39_L000_incl,3.9,0.0,-11.051251618189557,0.02779247543369401
cof-1_z39_L010_incl,3.9,1.0,-11.05003793299824,0.029006160625010935
cof-1_z39_L020_incl,3.9,2.0,-11.0420361109534,0.03700798266985039
cof-1_z39_L030_incl,3.9,3.0,-11.034479162848502,0.0445649307747491
cof-1_z39_L040_incl,3.9,4.0,-11.02369719480352,0.05534689881973165
cof-1_z39_L050_incl,3.9,5.0,-11.013531724861696,0.06551236876155464
cof-1_z39_L060_incl,3.9,6.0,-11.011899756595618,0.06714433702763323
cof-1_z39_L070_incl,3.9,7.0,-11.012398405336134,0.06664568828711737
cof-1_z39_L080_incl,3.9,8.0,-11.011969177914029,0.06707491570922208
cof-1_z39_L087_incl,3.9,8.7,-11.012535785691577,0.06650830793167373
cof-1_z40_L000_incl,4.0,0.0,-11.045940299448088,0.033103794175163515
cof-1_z40_L010_incl,4.0,1.0,-11.043321227425384,0.03572286619786702
cof-1_z40_L020_incl,4.0,2.0,-11.033542082098,0.04550201152525091
cof-1_z40_L030_incl,4.0,3.0,-11.024859826216447,0.0541842674068036
cof-1_z40_L040_incl,4.0,4.0,-11.014850129115658,0.06419396450759329
cof-1_z40_L050_incl,4.0,5.0,-11.005430062339943,0.07361403128330757
cof-1_z40_L060_incl,4.0,6.0,-11.004279505887059,0.07476458773619221
cof-1_z40_L070_incl,4.0,7.0,-11.004922079930408,0.07412201369284332
cof-1_z40_L080_incl,4.0,8.0,-11.0041306789596,0.07491341466365142
