structure,z,L,energy_eV,energy_rel_eV
cof-1_z30_L000_incl,3.0,0.0,-35221.69334132652,1.665319631472812
cof-1_z30_L010_incl,3.0,1.0,-35222.474365175,0.8842957829911029
cof-1_z30_L020_incl,3.0,2.0,-35222.95275938573,0.4059015722668846
cof-1_z30_L030_incl,3.0,3.0,-35223.11501228496,0.2436486730366596
cof-1_z30_L040_incl,3.0,4.0,-35223.177820839795,0.18084011819883017
cof-1_z30_L050_incl,3.0,5.0,-35223.18120836065,0.1774525973451091
cof-1_z30_L060_incl,3.0,6.0,-35223.165883416266,0.19277754172799177
cof-1_z30_L070_incl,3.0,7.0,-35222.97992569064,0.37873526735347696
cof-1_z30_L080_incl,3.0,8.0,-35223.037180290485,0.32148066750960425
cof-1_z30_L087_incl,3.0,8.7,-35223.08928761876,0.2693733392370632
cof-1_z31_L000_incl,3.1,0.0,-35222.317911392034,1.040749565960141
cof-1_z31_L010_incl,3.1,1.0,-35222.85418591462,0.5044750433735317
cof-1_z31_L020_incl,3.1,2.0,-35223.17767085756,0.18099010043079033
cof-1_z31_L030_incl,3.1,3.0,-35223.26095076365,0.09771019434265327
cof-1_z31_L040_incl,3.1,4.0,-35223.28139253834,0.07726841965632048
cof-1_z31_L050_incl,3.1,5.0,-35223.25444895718,0.10421200081327697
cof-1_z31_L060_incl,3.1,6.0,-35223.21862364068,0.1400373173164553
cof-1_z31_L070_incl,3.1,7.0,-35223.05237771631,0.306283241683559
cof-1_z31_L080_incl,3.1,8.0,-35223.063770786495,0.29489017149899155
cof-1_z31_L087_incl,3.1,8.7,-35223.09347315057,0.26518780742480885
cof-1_z32_L000_incl,3.2,0.0,-35222.72488718887,0.633773769121035
cof-1_z32_L010_incl,3.2,1.0,-35223.08671713731,0.2719438206841005
cof-1_z32_L020_incl,3.2,2.0,-35223.30132769553,0.05733326246263459
cof-1_z32_L030_incl,3.2,3.0,-35223.33146570247,0.02719525552674895
cof-1_z32_L040_incl,3.2,4.0,-35223.3211466762,0.03751428179384675
cof-1_z32_L050_incl,3.2,5.0,-35223.27638053985,0.08228041814436438
cof-1_z32_L060_incl,3.2,6.0,-35223.22867787915,0.1299830788411782
cof-1_z32_L070_incl,3.2,7.0,-35223.07955833952,0.2791026184713701
cof-1_z32_L080_incl,3.2,8.0,-35223.06133479621,0.29732616178080207
cof-1_z32_L087_incl,3.2,8.7,-35223.075576171555,0.2830847864388488
cof-1_z33_L000_incl,3.3,0.0,-35222.97494667206,0.38371428593382007
cof-1_z33_L010_incl,3.3,1.0,-35223.21587642412,0.14278453387669288
cof-1_z33_L020_incl,3.3,2.0,-35223.354233905055,0.0044270529397181235
cof-1_z33_L030_incl,3.3,3.0,-35223.34952033154,0.009140626454609446
cof-1_z33_L040_incl,3.3,4.0,-35223.31814431829,0.04051663970312802
cof-1_z33_L050_incl,3.3,5.0,-35223.26455343879,0.09410751920222538
cof-1_z33_L060_incl,3.3,6.0,-35223.20950066141,0.14916029658343177
cof-1_z33_L070_incl,3.3,7.0,-35223.07638181467,0.2822791433209204
cof-1_z33_L080_incl,3.3,8.0,-35223.041252305185,0.31740865280880826
cof-1_z33_L087_incl,3.3,8.7,-35223.04558536163,0.3130755963647971
cof-1_z34_L000_incl,3.4,0.0,-35223.114235008696,0.24442594929860206
cof-1_z34_L010_incl,3.4,1.0,-35223.273199419906,0.08546153808856616
cof-1_z34_L020_incl,3.4,2.0,-35223.358660957994,0.0
cof-1_z34_L030_incl,3.4,3.0,-35223.33213065457,0.026530303424806334
cof-1_z34_L040_incl,3.4,4.0,-35223.28773479159,0.07092616640147753
cof-1_z34_L050_incl,3.4,5.0,-35223.231233827464,0.12742713053012267
cof-1_z34_L060_incl,3.4,6.0,-35223.17130334179,0.18735761620337144
