structure,z,L,energy_eV,energy_rel_eV
cof-1_z30_L000_serr,3.0,0.0,-70443.38668266275,3.3550816254282836
cof-1_z30_L010_serr,3.0,1.0,-70444.87768739735,1.8640768908226164
cof-1_z30_L020_serr,3.0,2.0,-70445.78878642672,0.9529778614523821
cof-1_z30_L030_serr,3.0,3.0,-70446.24111586431,0.5006484238692792
cof-1_z30_L040_serr,3.0,4.0,-70446.28023391418,0.4615303739992669
cof-1_z30_L050_serr,3.0,5.0,-70446.25918472673,0.48257956144516356
cof-1_z30_L060_serr,3.0,6.0,-70446.23265420264,0.5091100855352124
cof-1_z30_L070_serr,3.0,7.0,-70445.90887744063,0.8328868475509807
cof-1_z30_L080_serr,3.0,8.0,-70446.03457688233,0.707187405845616
cof-1_z30_L087_serr,3.0,8.7,-70446.12285867785,0.6189056103321491
cof-1_z31_L000_serr,3.1,0.0,-70444.63582277833,2.1059415098425234
cof-1_z31_L010_serr,3.1,1.0,-70445.67229396905,1.069470319125685
cof-1_z31_L020_serr,3.1,2.0,-70446.31464134435,0.4271229438309092
cof-1_z31_L030_serr,3.1,3.0,-70446.55517570875,0.18658857942500617
cof-1_z31_L040_serr,3.1,4.0,-70446.52903596136,0.21272832682006992
cof-1_z31_L050_serr,3.1,5.0,-70446.44746590026,0.29429838791838847
cof-1_z31_L060_serr,3.1,6.0,-70446.37046950927,0.3712947789026657
cof-1_z31_L070_serr,3.1,7.0,-70446.0713285405,0.6704357476701261
cof-1_z31_L080_serr,3.1,8.0,-70446.11106342697,0.6307008612056961
cof-1_z31_L087_serr,3.1,8.7,-70446.1635503755,0.5782139126822585
cof-1_z32_L000_serr,3.2,0.0,-70445.4497743851,1.2919899030821398
cof-1_z32_L010_serr,3.2,1.0,-70446.15800191669,0.5837623714905931
cof-1_z32_L020_serr,3.2,2.0,-70446.60343637466,0.13832791351887863
cof-1_z32_L030_serr,3.2,3.0,-70446.70533497796,0.03642931021749973
cof-1_z32_L040_serr,3.2,4.0,-70446.63225943218,0.1095048559946008
cof-1_z32_L050_serr,3.2,5.0,-70446.51555818376,0.22620610441663302
cof-1_z32_L060_serr,3.2,6.0,-70446.41057603736,0.33118825081328396
cof-1_z32_L070_serr,3.2,7.0,-70446.13811806323,0.6036462249467149
cof-1_z32_L080_serr,3.2,8.0,-70446.12150764055,0.6202566476276843
cof-1_z32_L087_serr,3.2,8.7,-70446.14794978587,0.5938145023101242
cof-1_z33_L000_serr,3.3,0.0,-70445.94989333548,0.7918709527002648
cof-1_z33_L010_serr,3.3,1.0,-70446.42642199753,0.31534229064709507
cof-1_z33_L020_serr,3.3,2.0,-70446.72778261374,0.013981674434035085
cof-1_z33_L030_serr,3.3,3.0,-70446.74176428818,0.0
cof-1_z33_L040_serr,3.3,4.0,-70446.63774284474,0.1040214434324298
cof-1_z33_L050_serr,3.3,5.0,-70446.50396403334,0.23780025483574718
cof-1_z33_L060_serr,3.3,6.0,-70446.383344429,0.35841985917068087
cof-1_z33_L070_serr,3.3,7.0,-70446.14030736742,0.6014569207618479
cof-1_z33_L080_serr,3.3,8.0,-70446.09049366777,0.651270620408468
cof-1_z33_L087_serr,3.3,8.7,-70446.09929793167,0.6424663565121591
cof-1_z34_L000_serr,3.4,0.0,-70446.22847001493,0.5132942732452648
cof-1_z34_L010_serr,3.4,1.0,-70446.54446898634,0.19729530184122268
cof-1_z34_L020_serr,3.4,2.0,-70446.7411209938,0.0006432943773688748
cof-1_z34_L030_serr,3.4,3.0,-70446.70194077742,0.03982351075683255
cof-1_z34_L040_serr,3.4,4.0,-70446.5805885411,0.1611757470818702
cof-1_z34_L050_serr,3.4,5.0,-70446.44199985855,0.2997644296265207
cof-1_z34_L060_serr,3.4,6.0,-70446.31276089101,0.42900339716288727
cof-1_z34_L070_serr,3.4,7.0,-70446.10026667363,0.6414976145460969
cof-1_z34_L080_serr,3.4,8.0,-70446.03479037162,0.7069739165599458
cof-1_z34_L087_serr,3.4,8.7,-70446.03301270845,0.708751579732052
cof-1_z35_L000_serr,3.5,0.0,-70446.35471778738,0.3870465007930761
cof-1_z35_L010_serr,3.5,1.0,-70446.56093740184,0.18082688633876387
cof-1_z35_L020_serr,3.5,2.0,-70446.68238334634,0.059380941835115664
cof-1_z35_L030_serr,3.5,3.0,-70446.6133960368,0.1283682513749227
cof-1_z35_L040_serr,3.5,4.0,-70446.4858050622,0.2559592259785859
cof-1_z35_L050_serr,3.5,5.0,-70446.35012526158,0.39163902659493033
cof-1_z35_L060_serr,3.5,6.0,-70446.21674217471,0.5250221134629101
cof-1_z35_L070_serr,3.5,7.0,-70446.03402065161,0.7077436365652829
cof-1_z35_L080_serr,3.5,8.0,-70445.96555933305,0.7762049551238306
cof-1_z35_L087_serr,3.5,8.7,-70445.95871770567,0.7830465825099964
cof-1_z36_L000_serr,3.6,0.0,-70446.3792987684,0.36246551977819763
cof-1_z36_L010_serr,3.6,1.0,-70446.51142952047,0.2303347677079728
cof-1_z36_L020_serr,3.6,2.0,-70446.57979760625,0.1619666819315171
cof-1_z36_L030_serr,3.6,3.0,-70446.49600576177,0.2457585264055524
cof-1_z36_L040_serr,3.6,4.0,-70446.3706809794,0.3710833087825449
cof-1_z36_L050_serr,3.6,5.0,-70446.24218094497,0.49958334320399445
cof-1_z36_L060_serr,3.6,6.0,-70446.10800756687,0.6337567213049624
cof-1_z36_L070_serr,3.6,7.0,-70445.9528997445,0.7888645436760271
cof-1_z36_L080_serr,3.6,8.0,-70445.8899621026,0.8518021855707048
cof-1_z36_L087_serr,3.6,8.7,-70445.88202793754,0.8597363506414695
cof-1_z37_L000_serr,3.7,0.0,-70446.33866802444,0.40309626373345964
cof-1_z37_L010_serr,3.7,1.0,-70446.42173422375,0.3200300644239178
cof-1_z37_L020_serr,3.7,2.0,-70446.4535434267,0.28822086147556547
cof-1_z37_L030_serr,3.7,3.0,-70446.36393887535,0.3778254128264962
cof-1_z37_L040_serr,3.7,4.0,-70446.24679524022,0.49496904795523733
cof-1_z37_L050_serr,3.7,5.0,-70446.12732740022,0.6144368879613467
cof-1_z37_L060_serr,3.7,6.0,-70445.99520508226,0.7465592059161281
cof-1_z37_L070_serr,3.7,7.0,-70445.86479105806,0.8769732301152544
cof-1_z37_L080_serr,3.7,8.0,-70445.81235224578,0.9294120424019638
cof-1_z37_L087_serr,3.7,8.7,-70445.80586264298,0.9359016451926436
cof-1_z38_L000_serr,3.8,0.0,-70446.25873580406,0.4830284841154935
cof-1_z38_L010_serr,3.8,1.0,-70446.31019407113,0.4315702170424629
cof-1_z38_L020_serr,3.8,2.0,-70446.31758952406,0.4241747641208349
cof-1_z38_L030_serr,3.8,3.0,-70446.22718840977,0.5145758784055943
cof-1_z38_L040_serr,3.8,4.0,-70446.1215980315,0.6201662566745654
cof-1_z38_L050_serr,3.8,5.0,-70446.01156041543,0.7302038727502804
cof-1_z38_L060_serr,3.8,6.0,-70445.88398665751,0.8577776306628948
cof-1_z38_L070_serr,3.8,7.0,-70445.77504268533,0.9667216028465191
cof-1_z38_L080_serr,3.8,8.0,-70445.73513915742,1.0066251307580387
cof-1_z38_L087_serr,3.8,8.7,-70445.7314747211,1.0102895670715952
cof-1_z39_L000_serr,3.9,0.0,-70446.1576527818,0.5841115063813049
