structure,z,L,energy_Eh
Porphrin_Linker-CN_centered_z30_inc_L000,3.0,0.0,-28.94505937141743
Porphrin_Linker-CN_centered_z30_inc_L010,3.0,1.0,-28.994354091293097
Porphrin_Linker-CN_centered_z30_inc_L020,3.0,2.0,-29.046108568405586
Porphrin_Linker-CN_centered_z30_inc_L030,3.0,3.0,-29.073537321487574
Porphrin_Linker-CN_centered_z30_inc_L040,3.0,4.0,-29.08768543416508
Porphrin_Linker-CN_centered_z30_inc_L050,3.0,5.0,-29.074842429755613
Porphrin_Linker-CN_centered_z30_inc_L060,3.0,6.0,-29.049000992336282
Porphrin_Linker-CN_centered_z30_inc_L070,3.0,7.0,-29.02974038976822
Porphrin_Linker-CN_centered_z30_inc_L080,3.0,8.0,-29.01292189166116
Porphrin_Linker-CN_centered_z30_inc_L090,3.0,9.0,-28.98801721439844
Porphrin_Linker-CN_centered_z30_inc_L100,3.0,10.0,-28.971246108987124
Porphrin_Linker-CN_centered_z30_inc_L110,3.0,11.0,-28.970789755489278
Porphrin_Linker-CN_centered_z30_inc_L120,3.0,12.0,-28.97949473946709
Porphrin_Linker-CN_centered_z30_inc_L130,3.0,13.0,-28.984376328962536
Porphrin_Linker-CN_centered_z30_inc_L140,3.0,14.0,-28.974846281289963
Porphrin_Linker-CN_centered_z30_inc_L150,3.0,15.0,-28.952409838409647
Porphrin_Linker-CN_centered_z30_inc_L160,3.0,16.0,-28.930618926679163
Porphrin_Linker-CN_centered_z30_inc_L170,3.0,17.0,-28.922435068580747
Porphrin_Linker-CN_centered_z30_inc_L180,3.0,18.0,-28.910374228057915
Porphrin_Linker-CN_centered_z30_inc_L187,3.0,18.7,-28.905253217412852
Porphrin_Linker-CN_centered_z31_inc_L000,3.1,0.0,-29.011531849549602
Porphrin_Linker-CN_centered_z31_inc_L010,3.1,1.0,-29.047998842056547
Porphrin_Linker-CN_centered_z31_inc_L020,3.1,2.0,-29.08559300022826
Porphrin_Linker-CN_centered_z31_inc_L030,3.1,3.0,-29.101797862046556
Porphrin_Linker-CN_centered_z31_inc_L040,3.1,4.0,-29.1084355581362
Porphrin_Linker-CN_centered_z31_inc_L050,3.1,5.0,-29.092462665413134
Porphrin_Linker-CN_centered_z31_inc_L060,3.1,6.0,-29.065748028026185
Porphrin_Linker-CN_centered_z31_inc_L070,3.1,7.0,-29.043760069855562
Porphrin_Linker-CN_centered_z31_inc_L080,3.1,8.0,-29.023431847730233
Porphrin_Linker-CN_centered_z31_inc_L090,3.1,9.0,-28.997599458163712
Porphrin_Linker-CN_centered_z31_inc_L100,3.1,10.0,-28.978256263220903
Porphrin_Linker-CN_centered_z31_inc_L110,3.1,11.0,-28.973216588225355
Porphrin_Linker-CN_centered_z31_inc_L120,3.1,12.0,-28.977271988956925
Porphrin_Linker-CN_centered_z31_inc_L130,3.1,13.0,-28.980802225023876
Porphrin_Linker-CN_centered_z31_inc_L140,3.1,14.0,-28.97315483784211
Porphrin_Linker-CN_centered_z31_inc_L150,3.1,15.0,-28.95453732642926
Porphrin_Linker-CN_centered_z31_inc_L160,3.1,16.0,-28.93751151753434
Porphrin_Linker-CN_centered_z31_inc_L170,3.1,17.0,-28.933098577237157
Porphrin_Linker-CN_centered_z31_inc_L180,3.1,18.0,-28.925322905570212
Porphrin_Linker-CN_centered_z31_inc_L187,3.1,18.7,-28.921280327886713
Porphrin_Linker-CN_centered_z32_inc_L000,3.2,0.0,-29.053027377587366
Porphrin_Linker-CN_centered_z32_inc_L010,3.2,1.0,-29.081238675641906
Porphrin_Linker-CN_centered_z32_inc_L020,3.2,2.0,-29.10888876378266
Porphrin_Linker-CN_centered_z32_inc_L030,3.2,3.0,-29.116813517947755
Porphrin_Linker-CN_centered_z32_inc_L040,3.2,4.0,-29.118923008322888
Porphrin_Linker-CN_centered_z32_inc_L050,3.2,5.0,-29.1004865383065
Porphrin_Linker-CN_centered_z32_inc_L060,3.2,6.0,-29.07385592705571
Porphrin_Linker-CN_centered_z32_inc_L070,3.2,7.0,-29.050142157614616
Porphrin_Linker-CN_centered_z32_inc_L080,3.2,8.0,-29.02730109185721
Porphrin_Linker-CN_centered_z32_inc_L090,3.2,9.0,-29.001597434358036
Porphrin_Linker-CN_centered_z32_inc_L100,3.2,10.0,-28.980579431915892
Porphrin_Linker-CN_centered_z32_inc_L110,3.2,11.0,-28.97187441482528
Porphrin_Linker-CN_centered_z32_inc_L120,3.2,12.0,-28.972542298340656
Porphrin_Linker-CN_centered_z32_inc_L130,3.2,13.0,-28.97508341670597
Porphrin_Linker-CN_centered_z32_inc_L140,3.2,14.0,-28.96928310080677
Porphrin_Linker-CN_centered_z32_inc_L150,3.2,15.0,-28.95398170669695
Porphrin_Linker-CN_centered_z32_inc_L160,3.2,16.0,-28.94065624383726
Porphrin_Linker-CN_centered_z32_inc_L170,3.2,17.0,-28.938747594114474
Porphrin_Linker-CN_centered_z32_inc_L180,3.2,18.0,-28.934306700403592
Porphrin_Linker-CN_centered_z32_inc_L187,3.2,18.7,-28.931398486070613
Porphrin_Linker-CN_centered_z33_inc_L000,3.3,0.0,-29.075195077977543
Porphrin_Linker-CN_centered_z33_inc_L010,3.3,1.0,-29.098499766265963
Porphrin_Linker-CN_centered_z33_inc_L020,3.3,2.0,-29.11958166436539
Porphrin_Linker-CN_centered_z33_inc_L030,3.3,3.0,-29.121886557833378
Porphrin_Linker-CN_centered_z33_inc_L040,3.3,4.0,-29.121224764716754
Porphrin_Linker-CN_centered_z33_inc_L050,3.3,5.0,-29.101013889680768
Porphrin_Linker-CN_centered_z33_inc_L060,3.3,6.0,-29.075227822500757
Porphrin_Linker-CN_centered_z33_inc_L070,3.3,7.0,-29.05054051870287
Porphrin_Linker-CN_centered_z33_inc_L080,3.3,8.0,-29.02582074633753
Porphrin_Linker-CN_centered_z33_inc_L090,3.3,9.0,-29.000943022254607
Porphrin_Linker-CN_centered_z33_inc_L100,3.3,10.0,-28.978881450325794
Porphrin_Linker-CN_centered_z33_inc_L110,3.3,11.0,-28.96758201059497
Porphrin_Linker-CN_centered_z33_inc_L120,3.3,12.0,-28.965963604353593
Porphrin_Linker-CN_centered_z33_inc_L130,3.3,13.0,-28.967867071227648
Porphrin_Linker-CN_centered_z33_inc_L140,3.3,14.0,-28.963812578022207
Porphrin_Linker-CN_centered_z33_inc_L150,3.3,15.0,-28.95145357389321
Porphrin_Linker-CN_centered_z33_inc_L160,3.3,16.0,-28.940904903078454
Porphrin_Linker-CN_centered_z33_inc_L170,3.3,17.0,-28.940424247304545
