structure,z,L,energy_eV,energy_rel_eV
PDI-BT-COF-diff_z36_L000_incl,3.6,0.0,-155801.62400947988,1.0633394998440053
PDI-BT-COF-diff_z36_L010_incl,3.6,1.0,-155800.66599081256,2.021358167170547
PDI-BT-COF-diff_z36_L020_incl,3.6,2.0,-155800.72176698525,1.9655819944746327
PDI-BT-COF-diff_z36_L030_incl,3.6,3.0,-155800.36173553497,2.3256134447583463
PDI-BT-COF-diff_z36_L040_incl,3.6,4.0,-155801.28868753754,1.3986614421883132
PDI-BT-COF-diff_z36_L050_incl,3.6,5.0,-155802.07401988655,0.6133290931757074
PDI-BT-COF-diff_z36_L060_incl,3.6,6.0,-155801.77499177313,0.9123572066018824
PDI-BT-COF-diff_z36_L070_incl,3.6,7.0,-155800.83708077384,1.8502682058897335
PDI-BT-COF-diff_z36_L080_incl,3.6,8.0,-155800.49976363435,2.1875853453821037
PDI-BT-COF-diff_z36_L090_incl,3.6,9.0,-155800.60565514388,2.0816938358475454
PDI-BT-COF-diff_z36_L100_incl,3.6,10.0,-155800.86272811383,1.824620865896577
PDI-BT-COF-diff_z36_L110_incl,3.6,11.0,-155800.7153757714,1.9719732083322015
PDI-BT-COF-diff_z36_L120_incl,3.6,12.0,-155800.3337452192,2.3536037605372258
PDI-BT-COF-diff_z36_L130_incl,3.6,13.0,-155800.45342010504,2.23392887468799
PDI-BT-COF-diff_z36_L140_incl,3.6,14.0,-155800.49612223802,2.191226741706487
PDI-BT-COF-diff_z36_L150_incl,3.6,15.0,-155800.15857346993,2.5287755097961053
PDI-BT-COF-diff_z36_L160_incl,3.6,16.0,-155795.68723561696,7.0001133627665695
PDI-BT-COF-diff_z36_L162_incl,3.6,16.2,-155794.32379302426,8.363555955467746
PDI-BT-COF-diff_z37_L000_incl,3.7,0.0,-155802.1811216217,0.5062273580406327
PDI-BT-COF-diff_z37_L010_incl,3.7,1.0,-155801.4267264812,1.2606224985211156
PDI-BT-COF-diff_z37_L020_incl,3.7,2.0,-155801.49373954852,1.193609431211371
PDI-BT-COF-diff_z37_L030_incl,3.7,3.0,-155801.20100302907,1.4863459506595973
PDI-BT-COF-diff_z37_L040_incl,3.7,4.0,-155801.80169362394,0.8856553557852749
PDI-BT-COF-diff_z37_L050_incl,3.7,5.0,-155802.30891040328,0.37843857644475065
PDI-BT-COF-diff_z37_L060_incl,3.7,6.0,-155801.98535750312,0.7019914766133297
PDI-BT-COF-diff_z37_L070_incl,3.7,7.0,-155801.21428647602,1.4730625037045684
PDI-BT-COF-diff_z37_L080_incl,3.7,8.0,-155800.91037489256,1.7769740871735848
PDI-BT-COF-diff_z37_L090_incl,3.7,9.0,-155800.9671361387,1.7202128410281148
PDI-BT-COF-diff_z37_L100_incl,3.7,10.0,-155801.1296629318,1.5576860479195602
PDI-BT-COF-diff_z37_L110_incl,3.7,11.0,-155801.02596089442,1.6613880853110459
PDI-BT-COF-diff_z37_L120_incl,3.7,12.0,-155800.74550150702,1.9418474727135617
PDI-BT-COF-diff_z37_L130_incl,3.7,13.0,-155800.81943520854,1.8679137711878866
PDI-BT-COF-diff_z37_L140_incl,3.7,14.0,-155800.83319061785,1.8541583618789446
PDI-BT-COF-diff_z37_L150_incl,3.7,15.0,-155800.5521263646,2.1352226151211653
PDI-BT-COF-diff_z37_L160_incl,3.7,16.0,-155797.42865238638,5.258696593344212
PDI-BT-COF-diff_z37_L162_incl,3.7,16.2,-155796.66777330427,6.019575675454689
PDI-BT-COF-diff_z38_L000_incl,3.8,0.0,-155802.50282064895,0.18452833077753894
PDI-BT-COF-diff_z38_L010_incl,3.8,1.0,-155801.90838356185,0.778965417877771
PDI-BT-COF-diff_z38_L020_incl,3.8,2.0,-155801.97847365282,0.7088753269053996
PDI-BT-COF-diff_z38_L030_incl,3.8,3.0,-155801.73370507,0.9536439097428229
PDI-BT-COF-diff_z38_L040_incl,3.8,4.0,-155802.10019654804,0.5871524316899013
PDI-BT-COF-diff_z38_L050_incl,3.8,5.0,-155802.40234575197,0.28500322776380926
PDI-BT-COF-diff_z38_L060_incl,3.8,6.0,-155802.0752412919,0.6121076878334861
PDI-BT-COF-diff_z38_L070_incl,3.8,7.0,-155801.43929810304,1.2480508766893763
PDI-BT-COF-diff_z38_L080_incl,3.8,8.0,-155801.16504398023,1.522304999496555
PDI-BT-COF-diff_z38_L090_incl,3.8,9.0,-155801.18061557075,1.506733408983564
PDI-BT-COF-diff_z38_L100_incl,3.8,10.0,-155801.27228989048,1.415059089253191
PDI-BT-COF-diff_z38_L110_incl,3.8,11.0,-155801.1986912067,1.4886577730358113
PDI-BT-COF-diff_z38_L120_incl,3.8,12.0,-155800.99351207164,1.693836908088997
PDI-BT-COF-diff_z38_L130_incl,3.8,13.0,-155801.03105173787,1.6562972418614663
PDI-BT-COF-diff_z38_L140_incl,3.8,14.0,-155801.02571327615,1.661635703581851
PDI-BT-COF-diff_z38_L150_incl,3.8,15.0,-155800.79540623687,1.8919427428627387
PDI-BT-COF-diff_z38_L160_incl,3.8,16.0,-155798.59510626717,4.092242712562438
PDI-BT-COF-diff_z38_L162_incl,3.8,16.2,-155798.1484756725,4.538873307232279
PDI-BT-COF-diff_z39_L000_incl,3.9,0.0,-155802.65570664874,0.03164233098505065
PDI-BT-COF-diff_z39_L010_incl,3.9,1.0,-155802.18519782467,0.5021511550585274
