structure,z,L,energy_eV,energy_rel_eV
PDI-BT-COF-diff_z36_L000_serr,3.6,0.0,-311603.2480184346,2.1266794538823888
PDI-BT-COF-diff_z36_L010_serr,3.6,1.0,-311601.4344617852,3.9402361033135094
PDI-BT-COF-diff_z36_L020_serr,3.6,2.0,-311597.418134563,7.956563325482421
PDI-BT-COF-diff_z36_L030_serr,3.6,3.0,-311596.77577871346,8.598919175041374
PDI-BT-COF-diff_z36_L040_serr,3.6,4.0,-311600.731798803,4.642899085476529
PDI-BT-COF-diff_z36_L050_serr,3.6,5.0,-311601.8449250811,3.529772807378322
PDI-BT-COF-diff_z36_L060_serr,3.6,6.0,-311596.63476576016,8.739932128344662
PDI-BT-COF-diff_z36_L070_serr,3.6,7.0,-311589.92239006684,15.452307821658906
PDI-BT-COF-diff_z36_L080_serr,3.6,8.0,-311592.4189980759,12.955699812620878
PDI-BT-COF-diff_z36_L090_serr,3.6,9.0,-311597.40448197874,7.970215909765102
PDI-BT-COF-diff_z36_L100_serr,3.6,10.0,-311601.42612915253,3.948568735970184
PDI-BT-COF-diff_z36_L110_serr,3.6,11.0,-311601.55758985673,3.8171080317697488
PDI-BT-COF-diff_z36_L120_serr,3.6,12.0,-311601.1907491683,4.18394872022327
PDI-BT-COF-diff_z36_L130_serr,3.6,13.0,-311601.4276511848,3.9470467037172057
PDI-BT-COF-diff_z36_L140_serr,3.6,14.0,-311600.9084670038,4.466230884718243
PDI-BT-COF-diff_z36_L150_serr,3.6,15.0,-311598.865945343,6.508752545516472
PDI-BT-COF-diff_z36_L160_serr,3.6,16.0,-311589.36316939903,16.011528489470948
PDI-BT-COF-diff_z36_L162_serr,3.6,16.2,-311588.51380157744,16.86089631106006
PDI-BT-COF-diff_z37_L000_serr,3.7,0.0,-311604.3622430947,1.0124547937884927
PDI-BT-COF-diff_z37_L010_serr,3.7,1.0,-311602.9409930579,2.433704830589704
PDI-BT-COF-diff_z37_L020_serr,3.7,2.0,-311599.96765243844,5.40704545006156
PDI-BT-COF-diff_z37_L030_serr,3.7,3.0,-311599.3773080691,5.9973898194148205
PDI-BT-COF-diff_z37_L040_serr,3.7,4.0,-311602.2025270731,3.1721708154072985
PDI-BT-COF-diff_z37_L050_serr,3.7,5.0,-311602.8280442575,2.5466536310268566
PDI-BT-COF-diff_z37_L060_serr,3.7,6.0,-311598.3052217806,7.069476107892115
PDI-BT-COF-diff_z37_L070_serr,3.7,7.0,-311592.9418729486,12.432824939896818
PDI-BT-COF-diff_z37_L080_serr,3.7,8.0,-311595.0208833874,10.353814501082525
PDI-BT-COF-diff_z37_L090_serr,3.7,9.0,-311598.8677028076,6.50699508091202
PDI-BT-COF-diff_z37_L100_serr,3.7,10.0,-311601.95655751333,3.418140375171788
PDI-BT-COF-diff_z37_L110_serr,3.7,11.0,-311602.09040672076,3.284291167743504
PDI-BT-COF-diff_z37_L120_serr,3.7,12.0,-311601.78714268,3.5875552084762603
PDI-BT-COF-diff_z37_L130_serr,3.7,13.0,-311601.91681497474,3.457882913760841
PDI-BT-COF-diff_z37_L140_serr,3.7,14.0,-311601.5080795714,3.8666183170862496
PDI-BT-COF-diff_z37_L150_serr,3.7,15.0,-311599.9689361499,5.405761738598812
PDI-BT-COF-diff_z37_L160_serr,3.7,16.0,-311593.7179363544,11.65676153410459
PDI-BT-COF-diff_z37_L162_serr,3.7,16.2,-311593.2496875699,12.125010318588465
PDI-BT-COF-diff_z38_L000_serr,3.8,0.0,-311605.00564135646,0.36905653204303235
PDI-BT-COF-diff_z38_L010_serr,3.8,1.0,-311603.89202147484,1.4826764136669226
PDI-BT-COF-diff_z38_L020_serr,3.8,2.0,-311601.6839818114,3.690716077107936
PDI-BT-COF-diff_z38_L030_serr,3.8,3.0,-311601.1719060941,4.202791794377845
PDI-BT-COF-diff_z38_L040_serr,3.8,4.0,-311603.15278407064,2.2219138178625144
PDI-BT-COF-diff_z38_L050_serr,3.8,5.0,-311603.4190968864,1.9556010020896792
PDI-BT-COF-diff_z38_L060_serr,3.8,6.0,-311599.6403753015,5.734322587028146
PDI-BT-COF-diff_z38_L070_serr,3.8,7.0,-311595.43135288346,9.94334500504192
PDI-BT-COF-diff_z38_L080_serr,3.8,8.0,-311597.06670765794,8.3079902305617
PDI-BT-COF-diff_z38_L090_serr,3.8,9.0,-311599.9430177636,5.431680124893319
PDI-BT-COF-diff_z38_L100_serr,3.8,10.0,-311602.2646111982,3.110086690285243
PDI-BT-COF-diff_z38_L110_serr,3.8,11.0,-311602.38151788677,2.9931800017366186
PDI-BT-COF-diff_z38_L120_serr,3.8,12.0,-311602.1278323766,3.246865511930082
PDI-BT-COF-diff_z38_L130_serr,3.8,13.0,-311602.1787962617,3.195901626779232
PDI-BT-COF-diff_z38_L140_serr,3.8,14.0,-311601.85686136485,3.5178365236497484
PDI-BT-COF-diff_z38_L150_serr,3.8,15.0,-311600.7088896649,4.665808223595377
PDI-BT-COF-diff_z38_L160_serr,3.8,16.0,-311596.515686886,8.859011002525222
PDI-BT-COF-diff_z38_L162_serr,3.8,16.2,-311596.2429078404,9.131790048093535
PDI-BT-COF-diff_z39_L000_serr,3.9,0.0,-311605.3114133128,0.06328457570634782
PDI-BT-COF-diff_z39_L010_serr,3.9,1.0,-311604.4406342658,0.9340636227279902
PDI-BT-COF-diff_z39_L020_serr,3.9,2.0,-311602.7986117538,2.576086134708021
PDI-BT-COF-diff_z39_L030_serr,3.9,3.0,-311602.3641294972,3.010568391298875
PDI-BT-COF-diff_z39_L040_serr,3.9,4.0,-311603.716451244,1.658246644481551
PDI-BT-COF-diff_z39_L050_serr,3.9,5.0,-311603.72533799656,1.6493598919478245
PDI-BT-COF-diff_z39_L060_serr,3.9,6.0,-311600.64278631075,4.731911577749997
PDI-BT-COF-diff_z39_L070_serr,3.9,7.0,-311597.43828209373,7.936415794771165
PDI-BT-COF-diff_z39_L080_serr,3.9,8.0,-311598.6016324107,6.773065477784257
PDI-BT-COF-diff_z39_L090_serr,3.9,9.0,-311600.7034320231,4.671265865385067
PDI-BT-COF-diff_z39_L100_serr,3.9,10.0,-311602.40954501904,2.965152869466692
PDI-BT-COF-diff_z39_L110_serr,3.9,11.0,-311602.49773818644,2.8769597020582296
PDI-BT-COF-diff_z39_L120_serr,3.9,12.0,-311602.28073178604,3.0939661024603993
PDI-BT-COF-diff_z39_L130_serr,3.9,13.0,-311602.27669259376,3.098005294741597
PDI-BT-COF-diff_z39_L140_serr,3.9,14.0,-311602.0260193621,3.3486785264103673
PDI-BT-COF-diff_z39_L150_serr,3.9,15.0,-311601.17848028167,4.19621760683367
PDI-BT-COF-diff_z39_L160_serr,3.9,16.0,-311598.32364119816,7.051056690339465
PDI-BT-COF-diff_z39_L162_serr,3.9,16.2,-311598.1602728857,7.21442500280682
PDI-BT-COF-diff_z40_L000_serr,4.0,0.0,-311605.3746978885,0.0
PDI-BT-COF-diff_z40_L010_serr,4.0,1.0,-311604.6972088393,0.6774890492088161
PDI-BT-COF-diff_z40_L020_serr,4.0,2.0,-311603.4750991969,1.899598691612482
PDI-BT-COF-diff_z40_L030_serr,4.0,3.0,-311603.1067554568,2.267942431673873
PDI-BT-COF-diff_z40_L040_serr,4.0,4.0,-311603.9925931153,1.3821047731908038
PDI-BT-COF-diff_z40_L050_serr,4.0,5.0,-311603.8280461424,1.5466517460881732
PDI-BT-COF-diff_z40_L060_serr,4.0,6.0,-311601.3519797795,4.022718109015841
PDI-BT-COF-diff_z40_L070_serr,4.0,7.0,-311598.9434551552,6.431242733320687
PDI-BT-COF-diff_z40_L080_serr,4.0,8.0,-311599.7082896029,5.666408285615034
PDI-BT-COF-diff_z40_L090_serr,4.0,9.0,-311601.2147951793,4.159902709187008
PDI-BT-COF-diff_z40_L100_serr,4.0,10.0,-311602.4373725599,2.9373253285884857
PDI-BT-COF-diff_z40_L110_serr,4.0,11.0,-311602.49131248693,2.8833854015683755
PDI-BT-COF-diff_z40_L120_serr,4.0,12.0,-311602.3001510783,3.074546810181346
PDI-BT-COF-diff_z40_L130_serr,4.0,13.0,-311602.2591471539,3.115550734626595
PDI-BT-COF-diff_z40_L140_serr,4.0,14.0,-311602.0684937514,3.306204137101304
PDI-BT-COF-diff_z40_L150_serr,4.0,15.0,-311601.4497589965,3.9249388920143247
PDI-BT-COF-diff_z40_L160_serr,4.0,16.0,-311599.47538742877,5.899310459732078
PDI-BT-COF-diff_z40_L162_serr,4.0,16.2,-311599.37372958846,6.000968300038949
PDI-BT-COF-diff_z41_L000_serr,4.1,0.0,-311605.26365552255,0.11104236595565453
PDI-BT-COF-diff_z41_L010_serr,4.1,1.0,-311604.74234233197,0.6323555565322749
PDI-BT-COF-diff_z41_L020_serr,4.1,2.0,-311603.8314900189,1.543207869573962
PDI-BT-COF-diff_z41_L030_serr,4.1,3.0,-311603.51377594325,1.8609219452482648
PDI-BT-COF-diff_z41_L040_serr,4.1,4.0,-311604.05759916134,1.3170987271587364
PDI-BT-COF-diff_z41_L050_serr,4.1,5.0,-311603.78656869446,1.588129194045905
PDI-BT-COF-diff_z41_L060_serr,4.1,6.0,-311601.81560683396,3.559091054543387
PDI-BT-COF-diff_z41_L070_serr,4.1,7.0,-311599.990207865,5.384490023483522
PDI-BT-COF-diff_z41_L080_serr,4.1,8.0,-311600.4772099713,4.897487917216495
PDI-BT-COF-diff_z41_L090_serr,4.1,9.0,-311601.53280595364,3.8418919348623604
