structure,rank,two_theta_deg,relative_intensity
PDI-BT-COF-diff_z40_L000_incl,1,3.42091,100.0
PDI-BT-COF-diff_z40_L000_incl,2,3.38824,97.006
PDI-BT-COF-diff_z40_L000_incl,3,6.84487,10.754
PDI-BT-COF-diff_z40_L000_incl,4,6.77945,9.921
PDI-BT-COF-diff_z40_L000_incl,5,5.82145,7.5
PDI-BT-COF-diff_z40_L000_incl,6,2.90978,7.217
PDI-BT-COF-diff_z40_L000_incl,7,8.42529,2.406
PDI-BT-COF-diff_z40_L000_incl,8,8.53057,1.733
PDI-BT-COF-diff_z40_L000_incl,9,11.70299,1.297
PDI-BT-COF-diff_z40_L000_incl,10,5.31081,1.114
