structure,z,L,energy_eV,energy_rel_eV
PDI-BT-COF-same_z39_L000_incl,3.9,0.0,-155800.85776217427,0.0
PDI-BT-COF-same_z39_L010_incl,3.9,1.0,-155800.5958112903,0.2619508839852642
PDI-BT-COF-same_z39_L020_incl,3.9,2.0,-155800.18614999784,0.6716121764329728
PDI-BT-COF-same_z39_L030_incl,3.9,3.0,-155799.85693054117,1.0008316331077367
PDI-BT-COF-same_z39_L040_incl,3.9,4.0,-155799.45090683666,1.4068553376127966
PDI-BT-COF-same_z39_L050_incl,3.9,5.0,-155798.9332355579,1.9245266163779888
PDI-BT-COF-same_z39_L060_incl,3.9,6.0,-155798.61093635813,2.2468258161388803
PDI-BT-COF-same_z39_L070_incl,3.9,7.0,-155798.40597920673,2.4517829675460234
PDI-BT-COF-same_z39_L080_incl,3.9,8.0,-155798.25184006296,2.605922111310065
PDI-BT-COF-same_z39_L090_incl,3.9,9.0,-155798.16173088492,2.6960312893497758
PDI-BT-COF-same_z39_L100_incl,3.9,10.0,-155798.1073915396,2.7503706346615218
PDI-BT-COF-same_z39_L110_incl,3.9,11.0,-155798.07915507597,2.77860709829838
PDI-BT-COF-same_z39_L120_incl,3.9,12.0,-155798.08028444884,2.777477725438075
PDI-BT-COF-same_z39_L130_incl,3.9,13.0,-155798.14711878687,2.710643387399614
PDI-BT-COF-same_z39_L140_incl,3.9,14.0,-155798.2333706126,2.6243915616651066
PDI-BT-COF-same_z39_L150_incl,3.9,15.0,-155797.89691849702,2.960843677254161
PDI-BT-COF-same_z39_L160_incl,3.9,16.0,-155796.16074142256,4.697020751715172
PDI-BT-COF-same_z39_L170_incl,3.9,17.0,-155791.14312904503,9.714633129246067
PDI-BT-COF-same_z39_L180_incl,3.9,18.0,-155791.1122505063,9.745511667977553
PDI-BT-COF-same_z39_L181_incl,3.9,18.1,-155791.06163419434,9.796127979934681
PDI-BT-COF-same_z40_L000_incl,4.0,0.0,-155800.5998429907,0.2579191835829988
PDI-BT-COF-same_z40_L010_incl,4.0,1.0,-155800.3489352319,0.5088269423868041
PDI-BT-COF-same_z40_L020_incl,4.0,2.0,-155799.9668274585,0.8909347157750744
PDI-BT-COF-same_z40_L030_incl,4.0,3.0,-155799.65289980668,1.2048623675946146
PDI-BT-COF-same_z40_L040_incl,4.0,4.0,-155799.2781826609,1.5795795133744832
PDI-BT-COF-same_z40_L050_incl,4.0,5.0,-155798.8097566898,2.0480054844811093
PDI-BT-COF-same_z40_L060_incl,4.0,6.0,-155798.49892446346,2.358837710809894
PDI-BT-COF-same_z40_L070_incl,4.0,7.0,-155798.30176215232,2.556000021955697
PDI-BT-COF-same_z40_L080_incl,4.0,8.0,-155798.16420559795,2.693556576326955
PDI-BT-COF-same_z40_L090_incl,4.0,9.0,-155798.08134381086,2.7764183634135406
PDI-BT-COF-same_z40_L100_incl,4.0,10.0,-155798.02776029173,2.8300018825393636
PDI-BT-COF-same_z40_L110_incl,4.0,11.0,-155798.0007290891,2.8570330851653125
PDI-BT-COF-same_z40_L120_incl,4.0,12.0,-155798.0043429247,2.8534192495862953
PDI-BT-COF-same_z40_L130_incl,4.0,13.0,-155798.07583433852,2.7819278357492294
PDI-BT-COF-same_z40_L140_incl,4.0,14.0,-155798.17494162536,2.6828205489146058
PDI-BT-COF-same_z40_L150_incl,4.0,15.0,-155797.97656366185,2.8811985124193598
PDI-BT-COF-same_z40_L160_incl,4.0,16.0,-155796.66075210067,4.197010073607089
PDI-BT-COF-same_z40_L170_incl,4.0,17.0,-155793.03876146194,7.819000712333946
PDI-BT-COF-same_z40_L180_incl,4.0,18.0,-155792.7795296987,8.078232475585537
PDI-BT-COF-same_z40_L181_incl,4.0,18.1,-155792.72598978938,8.13177238489152
PDI-BT-COF-same_z41_L000_incl,4.1,0.0,-155800.335166617,0.5225955572677776
PDI-BT-COF-same_z41_L010_incl,4.1,1.0,-155800.09685123942,0.7609109348559286
PDI-BT-COF-same_z41_L020_incl,4.1,2.0,-155799.7419646218,1.1157975524838548
PDI-BT-COF-same_z41_L030_incl,4.1,3.0,-155799.44114663143,1.4166155428392813
PDI-BT-COF-same_z41_L040_incl,4.1,4.0,-155799.09468314645,1.7630790278199129
PDI-BT-COF-same_z41_L050_incl,4.1,5.0,-155798.67430301086,2.183459163410589
PDI-BT-COF-same_z41_L060_incl,4.1,6.0,-155798.3859522301,2.4718099441670347
PDI-BT-COF-same_z41_L070_incl,4.1,7.0,-155798.20287371526,2.6548884590156376
PDI-BT-COF-same_z41_L080_incl,4.1,8.0,-155798.08284904098,2.77491313329665
PDI-BT-COF-same_z41_L090_incl,4.1,9.0,-155798.00693756144,2.850824612833094
PDI-BT-COF-same_z41_L100_incl,4.1,10.0,-155797.95397851797,2.903783656307496
PDI-BT-COF-same_z41_L110_incl,4.1,11.0,-155797.92768523796,2.9300769363180734
PDI-BT-COF-same_z41_L120_incl,4.1,12.0,-155797.93432418574,2.9234379885310773
PDI-BT-COF-same_z41_L130_incl,4.1,13.0,-155798.00704510478,2.8507170694938395
PDI-BT-COF-same_z41_L140_incl,4.1,14.0,-155798.1131282384,2.744633935886668
PDI-BT-COF-same_z41_L150_incl,4.1,15.0,-155798.0163540246,2.841408149659401
PDI-BT-COF-same_z41_L160_incl,4.1,16.0,-155797.03930854297,3.8184536313056014
PDI-BT-COF-same_z41_L170_incl,4.1,17.0,-155794.4426309178,6.4151312564790715
PDI-BT-COF-same_z41_L180_incl,4.1,18.0,-155794.0876825915,6.770079582784092
PDI-BT-COF-same_z41_L181_incl,4.1,18.1,-155794.03906538585,6.818696788424859
PDI-BT-COF-same_z42_L000_incl,4.2,0.0,-155800.07201483965,0.7857473346230108
PDI-BT-COF-same_z42_L010_incl,4.2,1.0,-155799.8475681251,1.010194049187703
PDI-BT-COF-same_z42_L020_incl,4.2,2.0,-155799.51895752322,1.3388046510517597
PDI-BT-COF-same_z42_L030_incl,4.2,3.0,-155799.2302953641,1.6274668101686984
PDI-BT-COF-same_z42_L040_incl,4.2,4.0,-155798.91002614965,1.9477360246237367
PDI-BT-COF-same_z42_L050_incl,4.2,5.0,-155798.53680027716,2.3209618971159216
PDI-BT-COF-same_z42_L060_incl,4.2,6.0,-155798.27720888788,2.5805532863887493
PDI-BT-COF-same_z42_L070_incl,4.2,7.0,-155798.11110257613,2.746659598138649
PDI-BT-COF-same_z42_L080_incl,4.2,8.0,-155798.00775870038,2.8500034738972317
PDI-BT-COF-same_z42_L090_incl,4.2,9.0,-155797.9380434521,2.919718722172547
PDI-BT-COF-same_z42_L100_incl,4.2,10.0,-155797.8865523944,2.971209779876517
PDI-BT-COF-same_z42_L110_incl,4.2,11.0,-155797.86126030455,2.996501869725762
PDI-BT-COF-same_z42_L120_incl,4.2,12.0,-155797.87043991179,2.9873222624883056
PDI-BT-COF-same_z42_L130_incl,4.2,13.0,-155797.9419419108,2.915820263471687
PDI-BT-COF-same_z42_L140_incl,4.2,14.0,-155798.05074180762,2.8070203666575253
PDI-BT-COF-same_z42_L150_incl,4.2,15.0,-155798.02656186887,2.8312003054015804
PDI-BT-COF-same_z42_L160_incl,4.2,16.0,-155797.32055107353,3.5372111007454805
PDI-BT-COF-same_z42_L170_incl,4.2,17.0,-155795.47236376457,5.385398409707705
PDI-BT-COF-same_z42_L180_incl,4.2,18.0,-155795.11517765722,5.742584517051
PDI-BT-COF-same_z42_L181_incl,4.2,18.1,-155795.07295044453,5.784811729739886
PDI-BT-COF-same_z43_L000_incl,4.3,0.0,-155799.81466581245,1.0430963618273381
PDI-BT-COF-same_z43_L010_incl,4.3,1.0,-155799.6049961417,1.2527660325868055
PDI-BT-COF-same_z43_L020_incl,4.3,2.0,-155799.30178629915,1.5559758751187474
PDI-BT-COF-same_z43_L030_incl,4.3,3.0,-155799.0257883628,1.831973811466014
PDI-BT-COF-same_z43_L040_incl,4.3,4.0,-155798.73104491766,2.1267172566149384
PDI-BT-COF-same_z43_L050_incl,4.3,5.0,-155798.40390526803,2.453856906242436
PDI-BT-COF-same_z43_L060_incl,4.3,6.0,-155798.1755748908,2.6821872834698297
PDI-BT-COF-same_z43_L070_incl,4.3,7.0,-155798.02710251545,2.8306596588226967
PDI-BT-COF-same_z43_L080_incl,4.3,8.0,-155797.93850341404,2.91925876023015
PDI-BT-COF-same_z43_L090_incl,4.3,9.0,-155797.8743916583,2.9833705159835517
PDI-BT-COF-same_z43_L100_incl,4.3,10.0,-155797.82563410627,3.032128068007296
PDI-BT-COF-same_z43_L110_incl,4.3,11.0,-155797.80158077937,3.0561813949025236
PDI-BT-COF-same_z43_L120_incl,4.3,12.0,-155797.81257007286,3.045192101417342
PDI-BT-COF-same_z43_L130_incl,4.3,13.0,-155797.8811817391,2.9765804351773113
PDI-BT-COF-same_z43_L140_incl,4.3,14.0,-155797.98981806054,2.8679441137355752
PDI-BT-COF-same_z43_L150_incl,4.3,15.0,-155798.01536897244,2.8423932018340565
