structure,z,L,energy_eV,energy_rel_eV
PDI-BT-COF-same_z39_L000_serr,3.9,0.0,-311601.71552432084,0.0
PDI-BT-COF-same_z39_L010_serr,3.9,1.0,-311601.6226587698,0.0928655510651879
PDI-BT-COF-same_z39_L020_serr,3.9,2.0,-311601.05180271645,0.6637216043891385
PDI-BT-COF-same_z39_L030_serr,3.9,3.0,-311600.22025619197,1.4952681288705207
PDI-BT-COF-same_z39_L040_serr,3.9,4.0,-311598.8290650939,2.8864592269528657
PDI-BT-COF-same_z39_L050_serr,3.9,5.0,-311597.18631224055,4.529212080291472
PDI-BT-COF-same_z39_L060_serr,3.9,6.0,-311594.03193619894,7.683588121901266
PDI-BT-COF-same_z39_L070_serr,3.9,7.0,-311589.75635644025,11.959167880588211
PDI-BT-COF-same_z39_L080_serr,3.9,8.0,-311584.04047348094,17.675050839898176
PDI-BT-COF-same_z39_L090_serr,3.9,9.0,-311577.3031101658,24.412414155027363
PDI-BT-COF-same_z39_L100_serr,3.9,10.0,-311570.4750366195,31.24048770131776
PDI-BT-COF-same_z39_L110_serr,3.9,11.0,-311558.6125102947,43.10301402612822
PDI-BT-COF-same_z39_L120_serr,3.9,12.0,-311570.18125398277,31.53427033807384
PDI-BT-COF-same_z39_L130_serr,3.9,13.0,-311572.906360031,28.80916428985074
PDI-BT-COF-same_z39_L140_serr,3.9,14.0,-311557.0258599294,44.689664391451515
PDI-BT-COF-same_z39_L150_serr,3.9,15.0,-311574.97625089926,26.739273421582766
PDI-BT-COF-same_z39_L160_serr,3.9,16.0,-311581.4773053876,20.238218933227472
PDI-BT-COF-same_z39_L170_serr,3.9,17.0,-311578.91389040864,22.80163391219685
PDI-BT-COF-same_z39_L180_serr,3.9,18.0,-311580.73280941724,20.982714903599117
PDI-BT-COF-same_z39_L181_serr,3.9,18.1,-311580.7429001988,20.972624122048728
PDI-BT-COF-same_z40_L000_serr,4.0,0.0,-311601.1996854095,0.5158389113494195
PDI-BT-COF-same_z40_L010_serr,4.0,1.0,-311601.08277989464,0.6327444261987694
PDI-BT-COF-same_z40_L020_serr,4.0,2.0,-311600.5959603342,1.1195639866637066
PDI-BT-COF-same_z40_L030_serr,4.0,3.0,-311599.9674257709,1.7480985499569215
PDI-BT-COF-same_z40_L040_serr,4.0,4.0,-311598.9331718051,2.782352515729144
PDI-BT-COF-same_z40_L050_serr,4.0,5.0,-311597.65602450626,4.059499814582523
PDI-BT-COF-same_z40_L060_serr,4.0,6.0,-311595.2595361172,6.455988203641027
PDI-BT-COF-same_z40_L070_serr,4.0,7.0,-311591.91884910146,9.796675219375174
PDI-BT-COF-same_z40_L080_serr,4.0,8.0,-311587.4681421356,14.247382185247261
PDI-BT-COF-same_z40_L090_serr,4.0,9.0,-311582.48425999243,19.231264328409452
PDI-BT-COF-same_z40_L100_serr,4.0,10.0,-311576.16575999587,25.549764324969146
PDI-BT-COF-same_z40_L110_serr,4.0,11.0,-311565.86869100126,35.846833319577854
PDI-BT-COF-same_z40_L120_serr,4.0,12.0,-311576.2973282436,25.41819607722573
PDI-BT-COF-same_z40_L130_serr,4.0,13.0,-311578.16537334415,23.55015097669093
PDI-BT-COF-same_z40_L140_serr,4.0,14.0,-311566.4272997824,35.28822453843895
PDI-BT-COF-same_z40_L150_serr,4.0,15.0,-311580.2619922974,21.453532023413572
PDI-BT-COF-same_z40_L160_serr,4.0,16.0,-311585.25713063416,16.45839368668385
