structure,rank,two_theta_deg,relative_intensity
PDI-BT-COF-same_z39_L000_incl,1,2.93515,100.0
PDI-BT-COF-same_z39_L000_incl,2,2.94619,98.212
PDI-BT-COF-same_z39_L000_incl,3,5.87223,9.972
PDI-BT-COF-same_z39_L000_incl,4,5.89433,9.429
PDI-BT-COF-same_z39_L000_incl,5,3.0222,4.371
PDI-BT-COF-same_z39_L000_incl,6,6.04651,4.344
PDI-BT-COF-same_z39_L000_incl,7,5.04654,2.975
PDI-BT-COF-same_z39_L000_incl,8,7.86224,2.289
PDI-BT-COF-same_z39_L000_incl,9,7.8953,1.967
PDI-BT-COF-same_z39_L000_incl,10,8.84639,1.181
