structure,rank,two_theta_deg,relative_intensity
PDI-BT-COF-same_z39_L000_serr,1,2.92138,100.0
PDI-BT-COF-same_z39_L000_serr,2,2.92892,98.482
PDI-BT-COF-same_z39_L000_serr,3,5.84467,10.01
PDI-BT-COF-same_z39_L000_serr,4,5.85976,9.529
PDI-BT-COF-same_z39_L000_serr,5,6.06496,4.183
PDI-BT-COF-same_z39_L000_serr,6,3.03142,4.107
PDI-BT-COF-same_z39_L000_serr,7,5.00472,2.806
PDI-BT-COF-same_z39_L000_serr,8,7.855,2.27
PDI-BT-COF-same_z39_L000_serr,9,7.87748,2.003
PDI-BT-COF-same_z39_L000_serr,10,8.79443,1.12
