structure,z,L,energy_eV,energy_rel_eV
PDI-BT-COF-same_z37_L000_incl,3.7,0.0,-155800.45892760172,0.0
PDI-BT-COF-same_z37_L005_incl,3.7,0.5,-155791.04550491713,9.41342268459266
PDI-BT-COF-same_z37_L010_incl,3.7,1.0,-155775.11981429593,25.339113305788487
PDI-BT-COF-same_z37_L015_incl,3.7,1.5,-155762.0461140777,38.41281352401711
PDI-BT-COF-same_z37_L020_incl,3.7,2.0,-155756.75508294866,43.70384465306415
PDI-BT-COF-same_z37_L025_incl,3.7,2.5,-155754.68976777955,45.76915982217179
PDI-BT-COF-same_z37_L030_incl,3.7,3.0,-155753.22633753164,47.23259007008164
PDI-BT-COF-same_z37_L035_incl,3.7,3.5,-155751.51285542618,48.94607217554585
PDI-BT-COF-same_z37_L040_incl,3.7,4.0,-155749.88405743372,50.5748701679986
PDI-BT-COF-same_z37_L045_incl,3.7,4.5,-155748.69254061967,51.76638698205352
PDI-BT-COF-same_z37_L050_incl,3.7,5.0,-155747.73468763314,52.72423996857833
PDI-BT-COF-same_z37_L055_incl,3.7,5.5,-155745.60892471444,54.850002887280425
PDI-BT-COF-same_z37_L060_incl,3.7,6.0,-155741.50631680276,58.95261079896591
PDI-BT-COF-same_z38_L000_incl,3.8,0.0,-155800.3242029489,0.13472465283120982
PDI-BT-COF-same_z38_L005_incl,3.8,0.5,-155790.90338187007,9.555545731651364
PDI-BT-COF-same_z38_L010_incl,3.8,1.0,-155774.9853504026,25.47357719912543
PDI-BT-COF-same_z38_L015_incl,3.8,1.5,-155761.83703266951,38.62189493220649
PDI-BT-COF-same_z38_L020_incl,3.8,2.0,-155756.6033276196,43.855599982111016
PDI-BT-COF-same_z38_L025_incl,3.8,2.5,-155754.6610535307,45.797874071024125
PDI-BT-COF-same_z38_L030_incl,3.8,3.0,-155753.43642265507,47.0225049466535
PDI-BT-COF-same_z38_L035_incl,3.8,3.5,-155752.07999431406,48.37893328766222
PDI-BT-COF-same_z38_L040_incl,3.8,4.0,-155750.84748583267,49.61144176905509
PDI-BT-COF-same_z38_L045_incl,3.8,4.5,-155749.9543201897,50.50460741203278
PDI-BT-COF-same_z38_L050_incl,3.8,5.0,-155749.1817739786,51.27715362311574
PDI-BT-COF-same_z38_L055_incl,3.8,5.5,-155747.55304702246,52.90588057925925
PDI-BT-COF-same_z38_L060_incl,3.8,6.0,-155744.4874290646,55.971498537110165
PDI-BT-COF-same_z39_L000_incl,3.9,0.0,-155800.12874679806,0.3301808036630973
PDI-BT-COF-same_z39_L005_incl,3.9,0.5,-155792.1084100722,8.350517529528588
PDI-BT-COF-same_z39_L010_incl,3.9,1.0,-155777.78914438369,22.669783218036173
PDI-BT-COF-same_z39_L015_incl,3.9,1.5,-155764.61679376257,35.84213383914903
PDI-BT-COF-same_z39_L020_incl,3.9,2.0,-155758.95378316383,41.50514443789143
PDI-BT-COF-same_z39_L025_incl,3.9,2.5,-155757.50597141992,42.95295618180535
PDI-BT-COF-same_z39_L030_incl,3.9,3.0,-155756.6812083558,43.77771924593253
PDI-BT-COF-same_z39_L035_incl,3.9,3.5,-155755.67833673747,44.78059086424764
PDI-BT-COF-same_z39_L040_incl,3.9,4.0,-155754.81712666285,45.64180093887262
PDI-BT-COF-same_z39_L045_incl,3.9,4.5,-155754.1578300169,46.30109758483013
PDI-BT-COF-same_z39_L050_incl,3.9,5.0,-155753.54111981604,46.917807785677724
PDI-BT-COF-same_z39_L055_incl,3.9,5.5,-155752.34405503236,48.1148725693638
PDI-BT-COF-same_z39_L060_incl,3.9,6.0,-155750.14501079774,50.31391680397792
PDI-BT-COF-same_z40_L000_incl,4.0,0.0,-155799.89989009054,0.559037511178758
PDI-BT-COF-same_z40_L005_incl,4.0,0.5,-155791.86611988102,8.592807720706332
PDI-BT-COF-same_z40_L010_incl,4.0,1.0,-155777.56324773672,22.89567986500333
PDI-BT-COF-same_z40_L015_incl,4.0,1.5,-155764.33611964056,36.122807961161016
PDI-BT-COF-same_z40_L020_incl,4.0,2.0,-155758.6841386872,41.77478891451028
PDI-BT-COF-same_z40_L025_incl,4.0,2.5,-155757.28084124767,43.17808635404799
PDI-BT-COF-same_z40_L030_incl,4.0,3.0,-155756.57073106585,43.88819653587416
PDI-BT-COF-same_z40_L035_incl,4.0,3.5,-155755.76641816032,44.69250944140367
PDI-BT-COF-same_z40_L040_incl,4.0,4.0,-155755.14714942084,45.311778180883266
PDI-BT-COF-same_z40_L045_incl,4.0,4.5,-155754.66708944418,45.79183815754368
PDI-BT-COF-same_z40_L050_incl,4.0,5.0,-155754.18474725806,46.27418034366565
PDI-BT-COF-same_z40_L055_incl,4.0,5.5,-155753.30601363,47.15291397171677
PDI-BT-COF-same_z40_L060_incl,4.0,6.0,-155751.7397795875,48.71914801423554
PDI-BT-COF-same_z41_L000_incl,4.1,0.0,-155799.65355211525,0.8053754864668008
PDI-BT-COF-same_z41_L005_incl,4.1,0.5,-155791.60821088243,8.850716719287448
PDI-BT-COF-same_z41_L010_incl,4.1,1.0,-155777.3246125695,23.13431503222091
PDI-BT-COF-same_z41_L015_incl,4.1,1.5,-155764.053763811,36.4051637907105
PDI-BT-COF-same_z41_L020_incl,4.1,2.0,-155758.39744362887,42.06148397285142
PDI-BT-COF-same_z41_L025_incl,4.1,2.5,-155757.0078250952,43.45110250651487
PDI-BT-COF-same_z41_L030_incl,4.1,3.0,-155756.3732575505,44.08567005122313
PDI-BT-COF-same_z41_L035_incl,4.1,3.5,-155755.71147427027,44.74745333145256
PDI-BT-COF-same_z41_L040_incl,4.1,4.0,-155755.2739456597,45.1849819420313
PDI-BT-COF-same_z41_L045_incl,4.1,4.5,-155754.93541302308,45.52351457864279
PDI-BT-COF-same_z41_L050_incl,4.1,5.0,-155754.56933735052,45.8895902512013
PDI-BT-COF-same_z41_L055_incl,4.1,5.5,-155753.9384207655,46.52050683621201
PDI-BT-COF-same_z41_L060_incl,4.1,6.0,-155752.85269580857,47.60623179315007
PDI-BT-COF-same_z42_L000_incl,4.2,0.0,-155799.39904405957,1.0598835421551485
PDI-BT-COF-same_z42_L005_incl,4.2,0.5,-155791.34406180485,9.114865796873346
PDI-BT-COF-same_z42_L010_incl,4.2,1.0,-155777.0823849915,23.37654261023272
PDI-BT-COF-same_z42_L015_incl,4.2,1.5,-155763.77935522862,36.67957237310475
PDI-BT-COF-same_z42_L020_incl,4.2,2.0,-155758.10943527555,42.349492326175096
PDI-BT-COF-same_z42_L025_incl,4.2,2.5,-155756.71261083378,43.74631676793797
PDI-BT-COF-same_z42_L030_incl,4.2,3.0,-155756.1255320534,44.333395548310364
PDI-BT-COF-same_z42_L035_incl,4.2,3.5,-155755.5626106002,44.89631700151949
PDI-BT-COF-same_z42_L040_incl,4.2,4.0,-155755.2551169512,45.20381065053516
PDI-BT-COF-same_z42_L045_incl,4.2,4.5,-155755.0255373266,45.43339027510956
