structure,z,L,energy_eV,energy_rel_eV
PDI-BT-COF-same_z37_L000_serr,3.7,0.0,-311600.91785495216,0.0
PDI-BT-COF-same_z37_L005_serr,3.7,0.5,-311576.470557779,24.44729717314476
PDI-BT-COF-same_z37_L010_serr,3.7,1.0,-311535.58675388986,65.33110106230015
PDI-BT-COF-same_z37_L015_serr,3.7,1.5,-311515.4853217507,85.4325332014705
PDI-BT-COF-same_z37_L020_serr,3.7,2.0,-311508.3293002465,92.58855470566778
PDI-BT-COF-same_z37_L025_serr,3.7,2.5,-311503.0317022169,97.88615273527103
PDI-BT-COF-same_z37_L030_serr,3.7,3.0,-311497.2909398936,103.62691505858675
PDI-BT-COF-same_z37_L035_serr,3.7,3.5,-311494.7972037931,106.12065115908626
PDI-BT-COF-same_z37_L040_serr,3.7,4.0,-311495.26658806583,105.65126688632881
PDI-BT-COF-same_z37_L045_serr,3.7,4.5,-311499.1160667786,101.80178817355772
PDI-BT-COF-same_z37_L050_serr,3.7,5.0,-311499.6848270255,101.23302792664617
PDI-BT-COF-same_z37_L055_serr,3.7,5.5,-311496.3373782512,104.58047670096857
PDI-BT-COF-same_z37_L060_serr,3.7,6.0,-311490.56548905093,110.35236590122804
PDI-BT-COF-same_z38_L000_serr,3.8,0.0,-311600.6484056397,0.269449312472716
PDI-BT-COF-same_z38_L005_serr,3.8,0.5,-311576.22782425256,24.69003069959581
PDI-BT-COF-same_z38_L010_serr,3.8,1.0,-311535.37506909954,65.54278585262364
PDI-BT-COF-same_z38_L015_serr,3.8,1.5,-311515.10527297424,85.8125819779234
PDI-BT-COF-same_z38_L020_serr,3.8,2.0,-311507.9553269462,92.96252800594084
PDI-BT-COF-same_z38_L025_serr,3.8,2.5,-311502.76888900186,98.14896595029859
PDI-BT-COF-same_z38_L030_serr,3.8,3.0,-311497.2300200346,103.68783491756767
PDI-BT-COF-same_z38_L035_serr,3.8,3.5,-311495.06085531943,105.85699963272782
PDI-BT-COF-same_z38_L040_serr,3.8,4.0,-311495.90912194253,105.00873300962849
PDI-BT-COF-same_z38_L045_serr,3.8,4.5,-311500.08213755395,100.83571739820763
PDI-BT-COF-same_z38_L050_serr,3.8,5.0,-311500.9114196085,100.00643534364644
PDI-BT-COF-same_z38_L055_serr,3.8,5.5,-311498.09902656416,102.81882838800084
PDI-BT-COF-same_z38_L060_serr,3.8,6.0,-311493.35077366163,107.56708129053004
PDI-BT-COF-same_z39_L000_serr,3.9,0.0,-311600.25749363605,0.6603613161132671
PDI-BT-COF-same_z39_L005_serr,3.9,0.5,-311580.50757128507,20.41028366709361
PDI-BT-COF-same_z39_L010_serr,3.9,1.0,-311545.5696275924,55.34822735976195
PDI-BT-COF-same_z39_L015_serr,3.9,1.5,-311523.54837532586,77.36947962630074
PDI-BT-COF-same_z39_L020_serr,3.9,2.0,-311515.3092660593,85.6085888928501
PDI-BT-COF-same_z39_L025_serr,3.9,2.5,-311511.0816119581,89.83624299406074
PDI-BT-COF-same_z39_L030_serr,3.9,3.0,-311507.6271831786,93.29067177354591
PDI-BT-COF-same_z39_L035_serr,3.9,3.5,-311506.83540302445,94.08245192770846
PDI-BT-COF-same_z39_L040_serr,3.9,4.0,-311508.31782673916,92.60002821299713
PDI-BT-COF-same_z39_L045_serr,3.9,4.5,-311509.63522100897,91.2826339431922
PDI-BT-COF-same_z39_L050_serr,3.9,5.0,-311509.22858198226,91.68927296990296
PDI-BT-COF-same_z39_L055_serr,3.9,5.5,-311506.90220713476,94.01564781740308
PDI-BT-COF-same_z39_L060_serr,3.9,6.0,-311503.46496873297,97.45288621919462
PDI-BT-COF-same_z40_L000_serr,4.0,0.0,-311599.79977992544,1.1180750267230906
PDI-BT-COF-same_z40_L005_serr,4.0,0.5,-311580.06596783764,20.85188711452065
PDI-BT-COF-same_z40_L010_serr,4.0,1.0,-311545.19115121034,55.72670374182053
PDI-BT-COF-same_z40_L015_serr,4.0,1.5,-311523.0241702756,77.89368467655731
PDI-BT-COF-same_z40_L020_serr,4.0,2.0,-311514.73029989697,86.1875550551922
PDI-BT-COF-same_z40_L025_serr,4.0,2.5,-311510.5425706343,90.37528431788087
PDI-BT-COF-same_z40_L030_serr,4.0,3.0,-311507.2394551502,93.67839980195276
PDI-BT-COF-same_z40_L035_serr,4.0,3.5,-311506.67848834954,94.23936660261825
