structure,rank,two_theta_deg,relative_intensity
PDI-BT-COF-same_z37_L000_incl,1,2.95651,100.0
PDI-BT-COF-same_z37_L000_incl,2,2.96582,97.217
PDI-BT-COF-same_z37_L000_incl,3,5.91499,11.579
PDI-BT-COF-same_z37_L000_incl,4,5.93363,10.134
PDI-BT-COF-same_z37_L000_incl,5,3.12057,4.835
PDI-BT-COF-same_z37_L000_incl,6,6.24347,3.482
PDI-BT-COF-same_z37_L000_incl,7,5.32361,2.578
PDI-BT-COF-same_z37_L000_incl,8,8.0098,2.107
PDI-BT-COF-same_z37_L000_incl,9,10.85264,1.643
PDI-BT-COF-same_z37_L000_incl,10,8.03737,1.25
