structure,rank,two_theta_deg,relative_intensity
PDI-BT-COF-same_z37_L000_serr,1,3.29018,100.0
PDI-BT-COF-same_z37_L000_serr,2,3.62226,70.076
PDI-BT-COF-same_z37_L000_serr,3,6.58309,9.4
PDI-BT-COF-same_z37_L000_serr,4,3.12983,4.466
PDI-BT-COF-same_z37_L000_serr,5,7.24815,4.288
PDI-BT-COF-same_z37_L000_serr,6,6.26201,3.688
PDI-BT-COF-same_z37_L000_serr,7,6.17421,2.25
PDI-BT-COF-same_z37_L000_serr,8,8.2583,1.9530000000000003
PDI-BT-COF-same_z37_L000_serr,9,5.30426,1.7760000000000002
PDI-BT-COF-same_z37_L000_serr,10,9.30722,1.4
