structure,z,L,energy_eV,energy_rel_eV
ILCOF-1_z30_L000_incl,3.0,0.0,-702.9533392252777,2.9870075395239155
ILCOF-1_z30_L010_incl,3.0,1.0,-704.2334855934473,1.7068611713542623
ILCOF-1_z30_L020_incl,3.0,2.0,-703.9261197333238,2.0142270314777306
ILCOF-1_z30_L030_incl,3.0,3.0,-702.7977318631265,3.142614901675074
ILCOF-1_z30_L040_incl,3.0,4.0,-701.2891179737093,4.651228791092308
ILCOF-1_z30_L050_incl,3.0,5.0,-699.8567339671006,6.083612797700994
ILCOF-1_z30_L060_incl,3.0,6.0,-700.5498230419807,5.390523722820831
ILCOF-1_z30_L070_incl,3.0,7.0,-701.8907537599417,4.049593004859844
ILCOF-1_z30_L080_incl,3.0,8.0,-702.858305637418,3.0820411273836044
ILCOF-1_z30_L090_incl,3.0,9.0,-703.199816677457,2.7405300873446095
ILCOF-1_z30_L100_incl,3.0,10.0,-703.4793815329215,2.4609652318800954
ILCOF-1_z30_L110_incl,3.0,11.0,-703.6154970505394,2.3248497142622
ILCOF-1_z30_L120_incl,3.0,12.0,-703.5806364171781,2.3597103476234906
ILCOF-1_z30_L130_incl,3.0,13.0,-703.7561107093268,2.1842360554747984
ILCOF-1_z30_L140_incl,3.0,14.0,-703.878537506949,2.0618092578525875
ILCOF-1_z30_L150_incl,3.0,15.0,-703.7243236739486,2.216023090853014
ILCOF-1_z30_L160_incl,3.0,16.0,-703.6184600895921,2.321886675209498
ILCOF-1_z30_L170_incl,3.0,17.0,-703.4400110739167,2.5003356908848673
ILCOF-1_z30_L171_incl,3.0,17.1,-703.4372587380954,2.503088026706223
ILCOF-1_z31_L000_incl,3.1,0.0,-704.3527269635274,1.5876198012741725
ILCOF-1_z31_L010_incl,3.1,1.0,-705.1664697556783,0.7738770091232254
ILCOF-1_z31_L020_incl,3.1,2.0,-704.7922437048259,1.1481030599757105
ILCOF-1_z31_L030_incl,3.1,3.0,-703.8094800955855,2.1308666692160614
ILCOF-1_z31_L040_incl,3.1,4.0,-702.4592714701633,3.481075294638231
ILCOF-1_z31_L050_incl,3.1,5.0,-701.2332801013423,4.707066663459273
ILCOF-1_z31_L060_incl,3.1,6.0,-701.6971265460357,4.243220218765828
ILCOF-1_z31_L070_incl,3.1,7.0,-702.6254249295555,3.314921835246082
ILCOF-1_z31_L080_incl,3.1,8.0,-703.3126532929034,2.6276934718981693
ILCOF-1_z31_L090_incl,3.1,9.0,-703.5265897944914,2.4137569703101462
ILCOF-1_z31_L100_incl,3.1,10.0,-703.7086400968807,2.2317066679208892
ILCOF-1_z31_L110_incl,3.1,11.0,-703.7650843931735,2.175262371628037
ILCOF-1_z31_L120_incl,3.1,12.0,-703.7198026800298,2.2205440847717455
ILCOF-1_z31_L130_incl,3.1,13.0,-703.8455504054228,2.0947963593787335
ILCOF-1_z31_L140_incl,3.1,14.0,-703.9287598633083,2.011586901493274
ILCOF-1_z31_L150_incl,3.1,15.0,-703.8102805719202,2.1300661928813724
ILCOF-1_z31_L160_incl,3.1,16.0,-703.742278998541,2.1980677662605785
ILCOF-1_z31_L170_incl,3.1,17.0,-703.6288605198307,2.3114862449708653
ILCOF-1_z31_L171_incl,3.1,17.1,-703.6269339713419,2.3134127934596336
ILCOF-1_z32_L000_incl,3.2,0.0,-705.1875541988259,0.7527925659757102
ILCOF-1_z32_L010_incl,3.2,1.0,-705.6848977418188,0.25544902298281613
ILCOF-1_z32_L020_incl,3.2,2.0,-705.3086969275209,0.6316498372806336
ILCOF-1_z32_L030_incl,3.2,3.0,-704.4636341677161,1.4767125970854522
ILCOF-1_z32_L040_incl,3.2,4.0,-703.2651976684306,2.675149096371001
ILCOF-1_z32_L050_incl,3.2,5.0,-702.2265911356233,3.7137556291783085
ILCOF-1_z32_L060_incl,3.2,6.0,-702.5216772496798,3.418669515121792
ILCOF-1_z32_L070_incl,3.2,7.0,-703.1484156596085,2.7919311051930435
ILCOF-1_z32_L080_incl,3.2,8.0,-703.6201209820438,2.3202257827578023
ILCOF-1_z32_L090_incl,3.2,9.0,-703.7361012815073,2.204245483294244
ILCOF-1_z32_L100_incl,3.2,10.0,-703.838661904047,2.101684860754631
ILCOF-1_z32_L110_incl,3.2,11.0,-703.8409829236798,2.0993638411217717
ILCOF-1_z32_L120_incl,3.2,12.0,-703.7886671134839,2.151679651317636
