structure,z,L,energy_eV,energy_rel_eV
cof-1_z30_L000_incl,3.0,0.0,-31215.417125054806,1.7485482723350287
cof-1_z30_L010_incl,3.0,1.0,-31216.204012818776,0.96166050836473
cof-1_z30_L020_incl,3.0,2.0,-31216.70934552445,0.45632780269079376
cof-1_z30_L030_incl,3.0,3.0,-31216.906505968822,0.259167358319246
cof-1_z30_L040_incl,3.0,4.0,-31216.99989870462,0.16577462252098485
cof-1_z30_L050_incl,3.0,5.0,-31217.02224292806,0.14343039908271749
cof-1_z30_L060_incl,3.0,6.0,-31217.015396813473,0.15027651366835926
cof-1_z30_L070_incl,3.0,7.0,-31216.818061290975,0.347612036166538
cof-1_z30_L080_incl,3.0,8.0,-31216.876612790827,0.2890605363136274
cof-1_z30_L087_incl,3.0,8.7,-31216.9362783936,0.22939493353987928
cof-1_z31_L000_incl,3.1,0.0,-31216.0578332621,1.1078400650403637
cof-1_z31_L010_incl,3.1,1.0,-31216.597682755946,0.5679905711949687
cof-1_z31_L020_incl,3.1,2.0,-31216.94603333668,0.21963999046056415
cof-1_z31_L030_incl,3.1,3.0,-31217.062053649417,0.10361967772405478
cof-1_z31_L040_incl,3.1,4.0,-31217.10971811858,0.0559552085614996
cof-1_z31_L050_incl,3.1,5.0,-31217.099832393244,0.06584093389756163
cof-1_z31_L060_incl,3.1,6.0,-31217.071393421462,0.09427990567928646
cof-1_z31_L070_incl,3.1,7.0,-31216.897867835272,0.2678054918687849
cof-1_z31_L080_incl,3.1,8.0,-31216.907968699205,0.25770462793661864
cof-1_z31_L087_incl,3.1,8.7,-31216.94143550385,0.22423782329133246
cof-1_z32_L000_incl,3.2,0.0,-31216.477913171133,0.687760156008153
cof-1_z32_L010_incl,3.2,1.0,-31216.84203135447,0.32364197267088457
cof-1_z32_L020_incl,3.2,2.0,-31217.079486649203,0.08618667793780332
cof-1_z32_L030_incl,3.2,3.0,-31217.14069074323,0.02498258391278796
cof-1_z32_L040_incl,3.2,4.0,-31217.155235977043,0.010437350098072784
cof-1_z32_L050_incl,3.2,5.0,-31217.125908081638,0.039765245503076585
cof-1_z32_L060_incl,3.2,6.0,-31217.085119509895,0.08055381724625477
cof-1_z32_L070_incl,3.2,7.0,-31216.9316543425,0.23401898463998805
cof-1_z32_L080_incl,3.2,8.0,-31216.91066470156,0.25500862557964865
cof-1_z32_L087_incl,3.2,8.7,-31216.926135263602,0.23953806353893015
cof-1_z33_L000_incl,3.3,0.0,-31216.739184962007,0.42648836513399146
cof-1_z33_L010_incl,3.3,1.0,-31216.98161185631,0.18406147083078395
cof-1_z33_L020_incl,3.3,2.0,-31217.14077211659,0.0249012105523434
cof-1_z33_L030_incl,3.3,3.0,-31217.16567332714,0.0
cof-1_z33_L040_incl,3.3,4.0,-31217.157685865306,0.007987461835000431
cof-1_z33_L050_incl,3.3,5.0,-31217.118103960944,0.047569366197421914
cof-1_z33_L060_incl,3.3,6.0,-31217.06986960831,0.09580371883203043
cof-1_z33_L070_incl,3.3,7.0,-31216.93433504285,0.2313382842912688
cof-1_z33_L080_incl,3.3,8.0,-31216.8957321019,0.2699412252404727
cof-1_z33_L087_incl,3.3,8.7,-31216.899705966847,0.265967360293871
cof-1_z34_L000_incl,3.4,0.0,-31216.888211184858,0.2774621422831842
cof-1_z34_L010_incl,3.4,1.0,-31217.048253239314,0.11742008782675839
cof-1_z34_L020_incl,3.4,2.0,-31217.152689801747,0.012983525393792661
cof-1_z34_L030_incl,3.4,3.0,-31217.15437235226,0.011300974882033188
cof-1_z34_L040_incl,3.4,4.0,-31217.13252699722,0.03314632992260158
cof-1_z34_L050_incl,3.4,5.0,-31217.088749112263,0.07692421487809042
cof-1_z34_L060_incl,3.4,6.0,-31217.035714307043,0.1299590200978855
cof-1_z34_L070_incl,3.4,7.0,-31216.916763073972,0.24891025316901505
cof-1_z34_L080_incl,3.4,8.0,-31216.87056085494,0.2951124722021632
cof-1_z34_L087_incl,3.4,8.7,-31216.868002301966,0.2976710251750774
cof-1_z35_L000_incl,3.5,0.0,-31216.959859774037,0.20581355310423533
cof-1_z35_L010_incl,3.5,1.0,-31217.06506730252,0.10060602462181123
cof-1_z35_L020_incl,3.5,2.0,-31217.131936382084,0.0337369450571714
cof-1_z35_L030_incl,3.5,3.0,-31217.119573225882,0.04610010125907138
cof-1_z35_L040_incl,3.5,4.0,-31217.09073713452,0.07493619262095308
cof-1_z35_L050_incl,3.5,5.0,-31217.046339918375,0.11933340876566945
cof-1_z35_L060_incl,3.5,6.0,-31216.990163640345,0.1755096867964312
cof-1_z35_L070_incl,3.5,7.0,-31216.88677194949,0.2789013776528009
cof-1_z35_L080_incl,3.5,8.0,-31216.84005856273,0.3256147644096927
cof-1_z35_L087_incl,3.5,8.7,-31216.834562389187,0.3311109379537811
cof-1_z36_L000_incl,3.6,0.0,-31216.97983612532,0.18583720182141406
cof-1_z36_L010_incl,3.6,1.0,-31217.049129980885,0.11654334625563934
cof-1_z36_L020_incl,3.6,2.0,-31217.09080816883,0.07486515831260476
cof-1_z36_L030_incl,3.6,3.0,-31217.07060588414,0.0950674430023355
cof-1_z36_L040_incl,3.6,4.0,-31217.03989828903,0.12577503811189672
cof-1_z36_L050_incl,3.6,5.0,-31216.996707033377,0.16896629376424244
cof-1_z36_L060_incl,3.6,6.0,-31216.938730111146,0.22694321599556133
cof-1_z36_L070_incl,3.6,7.0,-31216.849955460573,0.3157178665678657
cof-1_z36_L080_incl,3.6,8.0,-31216.80742099897,0.3582523281693284
cof-1_z36_L087_incl,3.6,8.7,-31216.80142805765,0.3642452694912208
cof-1_z37_L000_incl,3.7,0.0,-31216.96687246301,0.19880086413104436
cof-1_z37_L010_incl,3.7,1.0,-31217.01310259479,0.15257073235261487
cof-1_z37_L020_incl,3.7,2.0,-31217.038331972406,0.12734135473510833
cof-1_z37_L030_incl,3.7,3.0,-31217.014261367265,0.1514119598759862
cof-1_z37_L040_incl,3.7,4.0,-31216.985111642756,0.18056168438488385
cof-1_z37_L050_incl,3.7,5.0,-31216.94387382516,0.22179950198187726
cof-1_z37_L060_incl,3.7,6.0,-31216.885396214893,0.2802771122478589
cof-1_z37_L070_incl,3.7,7.0,-31216.8102390112,0.3554343159412383
cof-1_z37_L080_incl,3.7,8.0,-31216.77461530741,0.3910580197298259
cof-1_z37_L087_incl,3.7,8.7,-31216.769623845772,0.39604948136911844
cof-1_z38_L000_incl,3.8,0.0,-31216.934441215355,0.23123211178608472
cof-1_z38_L010_incl,3.8,1.0,-31216.966228254696,0.19944507244508713
cof-1_z38_L020_incl,3.8,2.0,-31216.980990006523,0.18468332061820547
cof-1_z38_L030_incl,3.8,3.0,-31216.9554579012,0.2102154259409872
cof-1_z38_L040_incl,3.8,4.0,-31216.92971689031,0.2359564368307474
cof-1_z38_L050_incl,3.8,5.0,-31216.890640686393,0.27503264074766776
cof-1_z38_L060_incl,3.8,6.0,-31216.832965778543,0.33270754859768203
cof-1_z38_L070_incl,3.8,7.0,-31216.770268359043,0.3954049680978642
cof-1_z38_L080_incl,3.8,8.0,-31216.742678225863,0.42299510127850226
cof-1_z38_L087_incl,3.8,8.7,-31216.739471401215,0.42620192592585227
cof-1_z39_L000_incl,3.9,0.0,-31216.89203149433,0.2736418328095169
cof-1_z39_L010_incl,3.9,1.0,-31216.914982961305,0.25069036583590787
cof-1_z39_L020_incl,3.9,2.0,-31216.923223784353,0.24244954278765363
cof-1_z39_L030_incl,3.9,3.0,-31216.897668620237,0.2680047069043212
