structure,z,L,energy_eV,energy_rel_eV
cof-1_z30_L000_incl,3.0,0.0,-35075.53976175959,2.2267810303746955
cof-1_z30_L010_incl,3.0,1.0,-35076.91220914947,0.8543336404909496
cof-1_z30_L020_incl,3.0,2.0,-35077.47546890161,0.29107388835109305
cof-1_z30_L030_incl,3.0,3.0,-35077.49317454518,0.2733682447797037
cof-1_z30_L040_incl,3.0,4.0,-35077.591324891546,0.1752178984170314
cof-1_z30_L050_incl,3.0,5.0,-35077.596633906476,0.16990888348664157
cof-1_z30_L060_incl,3.0,6.0,-35077.531719585364,0.23482320459879702
cof-1_z30_L070_incl,3.0,7.0,-35077.322181369585,0.44436142037739046
cof-1_z30_L080_incl,3.0,8.0,-35077.475031405105,0.29151138485758565
cof-1_z30_L087_incl,3.0,8.7,-35077.56479921591,0.20174357405630872
cof-1_z31_L000_incl,3.1,0.0,-35076.22639119671,1.5401515932535403
cof-1_z31_L010_incl,3.1,1.0,-35077.23008786691,0.5364549230507691
cof-1_z31_L020_incl,3.1,2.0,-35077.65609360996,0.11044917999970494
cof-1_z31_L030_incl,3.1,3.0,-35077.643713033314,0.12282975664857076
cof-1_z31_L040_incl,3.1,4.0,-35077.69825061881,0.06829217115591746
cof-1_z31_L050_incl,3.1,5.0,-35077.66244310394,0.10409968602471054
cof-1_z31_L060_incl,3.1,6.0,-35077.57193096649,0.1946118234700407
cof-1_z31_L070_incl,3.1,7.0,-35077.39557442394,0.37096836601995165
cof-1_z31_L080_incl,3.1,8.0,-35077.50065204093,0.26589074903313303
cof-1_z31_L087_incl,3.1,8.7,-35077.56262607106,0.20391671889956342
cof-1_z32_L000_incl,3.2,0.0,-35076.69399850434,1.072544285620097
cof-1_z32_L010_incl,3.2,1.0,-35077.42692270009,0.33962008987145964
cof-1_z32_L020_incl,3.2,2.0,-35077.7447897629,0.02175302706018556
cof-1_z32_L030_incl,3.2,3.0,-35077.720796408794,0.04574638116901042
cof-1_z32_L040_incl,3.2,4.0,-35077.73907768475,0.027465105209557805
cof-1_z32_L050_incl,3.2,5.0,-35077.684905335926,0.08163745403726352
cof-1_z32_L060_incl,3.2,6.0,-35077.5747236629,0.19181912705971627
cof-1_z32_L070_incl,3.2,7.0,-35077.4216377482,0.3449050417621038
cof-1_z32_L080_incl,3.2,8.0,-35077.49198918183,0.27455360813473817
cof-1_z32_L087_incl,3.2,8.7,-35077.53398531696,0.23255747300572693
cof-1_z33_L000_incl,3.3,0.0,-35076.99706127505,0.7694815149152419
cof-1_z33_L010_incl,3.3,1.0,-35077.53001741792,0.2365253720417968
cof-1_z33_L020_incl,3.3,2.0,-35077.76654278996,0.0
cof-1_z33_L030_incl,3.3,3.0,-35077.74354814272,0.02299464724637801
cof-1_z33_L040_incl,3.3,4.0,-35077.738561588165,0.0279812017979566
