structure,z,L,energy_eV,energy_rel_eV
cof-1_z30_L000_serr,3.0,0.0,-62430.83425010883,3.550558977331093
cof-1_z30_L010_serr,3.0,1.0,-62432.35627070306,2.028538383099658
cof-1_z30_L020_serr,3.0,2.0,-62433.32345620782,1.061352878336038
cof-1_z30_L030_serr,3.0,3.0,-62433.84049442042,0.5443146657344187
cof-1_z30_L040_serr,3.0,4.0,-62433.914753287354,0.47005579880351434
cof-1_z30_L050_serr,3.0,5.0,-62433.92584087054,0.4589682156147319
cof-1_z30_L060_serr,3.0,6.0,-62433.920862870706,0.46394621545186965
cof-1_z30_L070_serr,3.0,7.0,-62433.59214130076,0.7926677853974979
cof-1_z30_L080_serr,3.0,8.0,-62433.711069114026,0.6737399721314432
cof-1_z30_L087_serr,3.0,8.7,-62433.802249784974,0.5825593011832098
cof-1_z31_L000_serr,3.1,0.0,-62432.11566652312,2.269142563040077
cof-1_z31_L010_serr,3.1,1.0,-62433.173923083035,1.2108860031221411
cof-1_z31_L020_serr,3.1,2.0,-62433.86940681773,0.5154022684291704
cof-1_z31_L030_serr,3.1,3.0,-62434.17199438731,0.21281469884706894
cof-1_z31_L040_serr,3.1,4.0,-62434.17990142763,0.20490765852446202
cof-1_z31_L050_serr,3.1,5.0,-62434.12868992637,0.25611915978515754
cof-1_z31_L060_serr,3.1,6.0,-62434.06974201874,0.3150670674149296
cof-1_z31_L070_serr,3.1,7.0,-62433.767963947335,0.6168451388221001
cof-1_z31_L080_serr,3.1,8.0,-62433.79869108046,0.5861180056963349
cof-1_z31_L087_serr,3.1,8.7,-62433.85005347538,0.5347556107808487
cof-1_z32_L000_serr,3.2,0.0,-62432.955826344754,1.4289827414031606
cof-1_z32_L010_serr,3.2,1.0,-62433.67970315973,0.7051059264267678
cof-1_z32_L020_serr,3.2,2.0,-62434.17483810861,0.20997097755025607
cof-1_z32_L030_serr,3.2,3.0,-62434.336520693796,0.04828839236142812
cof-1_z32_L040_serr,3.2,4.0,-62434.29782626502,0.08698282113618916
cof-1_z32_L050_serr,3.2,5.0,-62434.209665006674,0.1751440794832888
cof-1_z32_L060_serr,3.2,6.0,-62434.12067739886,0.2641316872977768
cof-1_z32_L070_serr,3.2,7.0,-62433.84683717662,0.5379719095362816
cof-1_z32_L080_serr,3.2,8.0,-62433.820459632756,0.564349453401519
cof-1_z32_L087_serr,3.2,8.7,-62433.84349771424,0.5413113719187095
cof-1_z33_L000_serr,3.3,0.0,-62433.478369922945,0.9064391632127808
cof-1_z33_L010_serr,3.3,1.0,-62433.96621881617,0.41859026999009075
cof-1_z33_L020_serr,3.3,2.0,-62434.31340684325,0.0714022429092438
cof-1_z33_L030_serr,3.3,3.0,-62434.38480908616,0.0
cof-1_z33_L040_serr,3.3,4.0,-62434.316494100065,0.0683149860924459
cof-1_z33_L050_serr,3.3,5.0,-62434.209211539375,0.17559754678222816
cof-1_z33_L060_serr,3.3,6.0,-62434.10351368141,0.28129540474765236
cof-1_z33_L070_serr,3.3,7.0,-62433.85983660657,0.5249724795867223
cof-1_z33_L080_serr,3.3,8.0,-62433.800459133265,0.5843499528928078
cof-1_z33_L087_serr,3.3,8.7,-62433.80481880225,0.579990283906227
cof-1_z34_L000_serr,3.4,0.0,-62433.776422377596,0.6083867085617385
cof-1_z34_L010_serr,3.4,1.0,-62434.100822876586,0.2839862095715944
cof-1_z34_L020_serr,3.4,2.0,-62434.33946614698,0.045342939178226516
cof-1_z34_L030_serr,3.4,3.0,-62434.355143526394,0.029665559763088822
cof-1_z34_L040_serr,3.4,4.0,-62434.27120854756,0.11360053859971231
cof-1_z34_L050_serr,3.4,5.0,-62434.156905853844,0.2279032323131105
cof-1_z34_L060_serr,3.4,6.0,-62434.042081579115,0.34272750704258215
cof-1_z34_L070_serr,3.4,7.0,-62433.82959084635,0.5552182398096193
cof-1_z34_L080_serr,3.4,8.0,-62433.75532070515,0.6294883810041938
cof-1_z34_L087_serr,3.4,8.7,-62433.74888927612,0.6359198100399226
cof-1_z35_L000_serr,3.5,0.0,-62433.919719550584,0.4650895355734974
cof-1_z35_L010_serr,3.5,1.0,-62434.13280728005,0.25200180610409006
cof-1_z35_L020_serr,3.5,2.0,-62434.29290188675,0.09190719940670533
cof-1_z35_L030_serr,3.5,3.0,-62434.27602334571,0.10878574044909328
cof-1_z35_L040_serr,3.5,4.0,-62434.187332236485,0.19747684967296664
cof-1_z35_L050_serr,3.5,5.0,-62434.073694684324,0.31111440183303785
cof-1_z35_L060_serr,3.5,6.0,-62433.954479547116,0.4303295390418498
cof-1_z35_L070_serr,3.5,7.0,-62433.77253262605,0.6122764601095696
cof-1_z35_L080_serr,3.5,8.0,-62433.696339881404,0.6884692047533463
cof-1_z35_L087_serr,3.5,8.7,-62433.68515684712,0.699652239040006
cof-1_z36_L000_serr,3.6,0.0,-62433.959672259814,0.4251368263430777
cof-1_z36_L010_serr,3.6,1.0,-62434.09847369868,0.2863353874781751
cof-1_z36_L020_serr,3.6,2.0,-62434.20285825453,0.181950831625727
cof-1_z36_L030_serr,3.6,3.0,-62434.16827763833,0.216531447826128
cof-1_z36_L040_serr,3.6,4.0,-62434.08263701802,0.3021720681354054
cof-1_z36_L050_serr,3.6,5.0,-62433.97402892952,0.41078015663515544
cof-1_z36_L060_serr,3.6,6.0,-62433.85382136502,0.5309877211402636
cof-1_z36_L070_serr,3.6,7.0,-62433.700425427465,0.6843836586922407
cof-1_z36_L080_serr,3.6,8.0,-62433.630935741225,0.7538733449327992
cof-1_z36_L087_serr,3.6,8.7,-62433.61925776788,0.7655513182762661
cof-1_z37_L000_serr,3.7,0.0,-62433.93374494385,0.45106414230394876
cof-1_z37_L010_serr,3.7,1.0,-62434.02437133297,0.3604377531883074
cof-1_z37_L020_serr,3.7,2.0,-62434.09023246126,0.29457662489585346
cof-1_z37_L030_serr,3.7,3.0,-62434.04683969286,0.33796939329477027
cof-1_z37_L040_serr,3.7,4.0,-62433.96920327958,0.41560580657824175
cof-1_z37_L050_serr,3.7,5.0,-62433.867675417125,0.5171336690327735
cof-1_z37_L060_serr,3.7,6.0,-62433.749204885135,0.635604201022943
cof-1_z37_L070_serr,3.7,7.0,-62433.62151812274,0.763290963419422
cof-1_z37_L080_serr,3.7,8.0,-62433.563712706266,0.8210963798919693
cof-1_z37_L087_serr,3.7,8.7,-62433.554197240635,0.8306118455220712
cof-1_z38_L000_serr,3.8,0.0,-62433.8688824254,0.5159266607588506
cof-1_z38_L010_serr,3.8,1.0,-62433.92947334352,0.4553357426339062
cof-1_z38_L020_serr,3.8,2.0,-62433.96941287932,0.41539620683761314
