structure,z,L,energy_eV,energy_rel_eV
ILCOF-1_z30_L000_serr,3.0,0.0,-1405.9066784706743,5.6626994120451855
ILCOF-1_z30_L010_serr,3.0,1.0,-1406.940406297821,4.628971584898409
ILCOF-1_z30_L020_serr,3.0,2.0,-1405.4028141823428,6.166563700376628
ILCOF-1_z30_L030_serr,3.0,3.0,-1404.307666590938,7.261711291781467
ILCOF-1_z30_L040_serr,3.0,4.0,-1404.6824325902137,6.886945292505743
ILCOF-1_z30_L050_serr,3.0,5.0,-1404.1435727316214,7.425805151098075
ILCOF-1_z30_L060_serr,3.0,6.0,-1405.1371646804735,6.4322132022459755
ILCOF-1_z30_L070_serr,3.0,7.0,-1405.9805741701978,5.588803712521667
ILCOF-1_z30_L080_serr,3.0,8.0,-1406.4388241418985,5.130553740820915
ILCOF-1_z30_L090_serr,3.0,9.0,-1406.5364866557866,5.032891226932861
ILCOF-1_z30_L100_serr,3.0,10.0,-1406.9779522056917,4.591425677027701
ILCOF-1_z30_L110_serr,3.0,11.0,-1407.5673207568163,4.002057125903093
ILCOF-1_z30_L120_serr,3.0,12.0,-1407.707345140769,3.862032741950543
ILCOF-1_z30_L130_serr,3.0,13.0,-1407.878078339285,3.691299543434525
ILCOF-1_z30_L140_serr,3.0,14.0,-1407.8274152373242,3.7419626453952333
ILCOF-1_z30_L150_serr,3.0,15.0,-1407.3698973771284,4.199480505591055
ILCOF-1_z30_L160_serr,3.0,16.0,-1407.157885392228,4.411492490491355
ILCOF-1_z30_L170_serr,3.0,17.0,-1406.886013602164,4.683364280555452
ILCOF-1_z30_L171_serr,3.0,17.1,-1406.884341839881,4.685036042838419
ILCOF-1_z31_L000_serr,3.1,0.0,-1408.705453581642,2.8639243010775317
ILCOF-1_z31_L010_serr,3.1,1.0,-1409.2341354096689,2.3352424730505845
ILCOF-1_z31_L020_serr,3.1,2.0,-1407.8223012882163,3.7470765945031417
ILCOF-1_z31_L030_serr,3.1,3.0,-1406.7613282099173,4.808049672802099
ILCOF-1_z31_L040_serr,3.1,4.0,-1406.722007960417,4.847369922302505
ILCOF-1_z31_L050_serr,3.1,5.0,-1406.0650404631338,5.504337419585681
ILCOF-1_z31_L060_serr,3.1,6.0,-1406.6119446514826,4.9574332312367915
ILCOF-1_z31_L070_serr,3.1,7.0,-1407.0231891592964,4.546188723423029
ILCOF-1_z31_L080_serr,3.1,8.0,-1407.2111696361442,4.358208246575259
ILCOF-1_z31_L090_serr,3.1,9.0,-1407.158222319784,4.411155562935392
ILCOF-1_z31_L100_serr,3.1,10.0,-1407.4136788572741,4.155699025445301
ILCOF-1_z31_L110_serr,3.1,11.0,-1407.7597231166062,3.8096547661132263
ILCOF-1_z31_L120_serr,3.1,12.0,-1407.8182835575828,3.7510943251365916
ILCOF-1_z31_L130_serr,3.1,13.0,-1407.938655266575,3.6307226161443396
ILCOF-1_z31_L140_serr,3.1,14.0,-1407.9076927598655,3.6616851228538962
ILCOF-1_z31_L150_serr,3.1,15.0,-1407.5837382731368,3.9856396095826767
ILCOF-1_z31_L160_serr,3.1,16.0,-1407.4400379270185,4.129339955700971
ILCOF-1_z31_L170_serr,3.1,17.0,-1407.2602919185472,4.3090859641722545
ILCOF-1_z31_L171_serr,3.1,17.1,-1407.2592006404186,4.310177242300824
ILCOF-1_z32_L000_serr,3.2,0.0,-1410.3751083658126,1.194269516906843
ILCOF-1_z32_L010_serr,3.2,1.0,-1410.6047142891275,0.9646635935919221
ILCOF-1_z32_L020_serr,3.2,2.0,-1409.3769432359845,2.1924346467349096
ILCOF-1_z32_L030_serr,3.2,3.0,-1408.3955687382345,3.1738091444849488
ILCOF-1_z32_L040_serr,3.2,4.0,-1408.0816364847099,3.4877413980095753
ILCOF-1_z32_L050_serr,3.2,5.0,-1407.3590129274853,4.210364955234127
ILCOF-1_z32_L060_serr,3.2,6.0,-1407.5871346106767,3.9822432720427514
ILCOF-1_z32_L070_serr,3.2,7.0,-1407.7109255259047,3.8584523568147233
ILCOF-1_z32_L080_serr,3.2,8.0,-1407.7078483220848,3.861529560634608
ILCOF-1_z32_L090_serr,3.2,9.0,-1407.5475501901494,4.021827692570014
ILCOF-1_z32_L100_serr,3.2,10.0,-1407.6573129318547,3.9120649508647602
ILCOF-1_z32_L110_serr,3.2,11.0,-1407.8276903969393,3.741687485780176
ILCOF-1_z32_L120_serr,3.2,12.0,-1407.8232800431406,3.7460978395788516
ILCOF-1_z32_L130_serr,3.2,13.0,-1407.898077215457,3.671300667262358
ILCOF-1_z32_L140_serr,3.2,14.0,-1407.8782444372346,3.6911334454848657
ILCOF-1_z32_L150_serr,3.2,15.0,-1407.646463661745,3.9229142209744623
ILCOF-1_z32_L160_serr,3.2,16.0,-1407.5528784735254,4.016499409194012
ILCOF-1_z32_L170_serr,3.2,17.0,-1407.438889306927,4.130488575792469
