Z,0,1,2,3,4,5,6,7,7.5
3,-1289.00181142,-1289.05241778,-1289.07359115,-1289.07431382,-1289.0779524,-1289.07793474,-1289.07541462,-1289.06791922,-1289.06916841
3.1,-1289.02711616,-1289.06407016,-1289.08004487,-1289.07964615,-1289.08160085,-1289.08016805,-1289.07674239,-1289.07042271,-1289.07106226
3.2,-1289.04429576,-1289.07124865,-1289.08319723,-1289.08231395,-1289.08295109,-1289.08086819,-1289.07668935,-1289.07120969,-1289.07157778
3.3,-1289.05542979,-1289.07501107,-1289.08387124,-1289.08304162,-1289.08280715,-1289.08004962,-1289.07582438,-1289.07105715,-1289.07106938
3.4,-1289.06238329,-1289.07645802,-1289.08314539,-1289.08224978,-1289.0814524,-1289.07829981,-1289.07426833,-1289.07018191,-1289.06989605
3.5,-1289.06641731,-1289.07625595,-1289.08153696,-1289.08052796,-1289.07937884,-1289.07619532,-1289.07237953,-1289.06886139,-1289.06838135
3.6,-1289.06776002,-1289.07511322,-1289.07934781,-1289.0783773,-1289.07709571,-1289.07389798,-1289.07028616,-1289.06719536,-1289.06668975
3.7,-1289.06786777,-1289.07329822,-1289.07663545,-1289.07583628,-1289.07459702,-1289.07153428,-1289.06811054,-1289.06539082,-1289.06491933
3.8,-1289.06720494,-1289.0710814,-1289.07389147,-1289.07321089,-1289.0719942,-1289.06922978,-1289.065976,-1289.063483,-1289.06298391
3.9,-1289.06589278,-1289.06873808,-1289.07108368,-1289.07067565,-1289.06947403,-1289.06684693,-1289.0639312,-1289.06169651,-1289.06118521
4,-1289.0640825,-1289.06635668,-1289.06825571,-1289.0681854,-1289.06716546,-1289.06463761,-1289.06202469,-1289.05997949,-1289.05951567
4.1,-1289.06235258,-1289.06399432,-1289.06566655,-1289.06574864,-1289.06495067,-1289.06259524,-1289.06027204,-1289.05844054,-1289.05800058
4.2,-1289.06043536,-1289.06180569,-1289.06325962,-1289.06350894,-1289.06276935,-1289.06073362,-1289.05864842,-1289.05705751,-1289.05664351
4.3,-1289.05870875,-1289.05987683,-1289.06109657,-1289.06143293,-1289.06069706,-1289.05901662,-1289.05721398,-1289.0557523,-1289.05530074
4.4,-1289.05715659,-1289.05807726,-1289.0592011,-1289.0595631,-1289.05888869,-1289.05749233,-1289.05580627,-1289.05451382,-1289.05412539
4.5,-1289.05561305,-1289.05641298,-1289.05746883,-1289.05784838,-1289.05725683,-1289.05602001,-1289.05454327,-1289.0534262,-1289.0530646
