Z,0,1,2,3,4,5,6,7,7.5
3,215.448063186,82.5810749833,26.9903770828,25.0930209133,15.5399272854,15.5862791751,22.2028749765,41.8820277226,38.6022935551
3.1,149.010467791,51.9877486679,10.0461349605,11.0929879733,5.96092942443,9.72274346096,18.7167977759,35.3091131522,33.6299738399
3.2,103.905424841,33.1406145088,1.76963242134,4.08868379907,2.41586879091,7.88452247826,18.8560548207,33.2429042514,32.276478705
3.3,74.6730269755,23.262372922,0,2.17817965023,2.79378956204,10.0336832638,21.1270469459,33.6434003843,33.611291832
3.4,56.4166305784,19.4634251261,1.90572206309,4.25716475917,6.35066179458,14.6278010173,25.2124588466,35.9413445795,36.6918794615
3.5,45.8253034545,19.9939530844,6.1286531907,8.77779739305,11.7947993511,20.1531374121,30.1714853929,39.4083653761,40.668723786
3.6,42.3000280639,22.9941941125,11.8762610022,14.4243386825,17.7891718689,26.1847983313,35.6676432934,43.7825421066,45.1100001575
3.7,42.017124663,27.7594734619,18.9975642824,21.095805859,24.3494651352,32.3906903183,41.3797220511,48.5203595137,49.7582593965
3.8,43.7573688125,33.579733322,26.201888761,27.9887615278,31.1831853234,38.441153493,46.9839683732,53.5293288465,54.839696205
3.9,47.2024567071,39.7321268081,33.5737582093,34.6450333599,37.7998861448,44.6973298435,52.3525939241,58.2197670055,59.5621736029
4,51.9553350324,45.9844914577,40.9985766407,41.183170032,43.8610435061,50.4979105308,57.3581162375,62.7277961889,63.9455477226
4.1,56.4972515447,52.1868634375,47.7964303984,47.5808941769,49.6759651997,55.8601414133,61.9597087892,66.7683086263,67.9234201934
4.2,61.5309207938,57.9331017876,54.1158224879,53.4612239015,55.4030308364,60.7478362759,66.222517586,70.3994599301,71.4864090533
4.3,66.064133511,62.9973381581,59.7948960856,58.9117860561,60.8438156291,65.2558108491,69.9886390184,73.8262979744,75.0118616657
4.4,70.1393348421,67.7221049922,64.7714617595,63.8210226204,65.5916842376,69.2578468464,73.6845847741,77.077906998,78.0977407274
4.5,74.1918980616,72.0916742326,69.3195282429,68.3230394091,69.876154459,73.1234001645,77.0005996755,79.9334514703,80.8828477608
