structure,mode,z,L,energy_Eh
COF-1_z30_inc_L000,inc,3.0,0.0,-10.852896162994645
COF-1_z30_inc_L010,inc,3.0,1.0,-10.879066385612784
COF-1_z30_inc_L020,inc,3.0,2.0,-10.910162283885073
COF-1_z30_inc_L030,inc,3.0,3.0,-10.929239096802338
COF-1_z30_inc_L040,inc,3.0,4.0,-10.939944757637422
COF-1_z30_inc_L050,inc,3.0,5.0,-10.939044767921134
COF-1_z30_inc_L060,inc,3.0,6.0,-10.941138704262903
COF-1_z30_inc_L070,inc,3.0,7.0,-10.945265715375907
COF-1_z30_inc_L075,inc,3.0,7.5,-10.95349540040896
COF-1_z31_inc_L000,inc,3.1,0.0,-10.88607966707717
COF-1_z31_inc_L010,inc,3.1,1.0,-10.905434089829551
COF-1_z31_inc_L020,inc,3.1,2.0,-10.929202045039641
COF-1_z31_inc_L030,inc,3.1,3.0,-10.942330077149162
COF-1_z31_inc_L040,inc,3.1,4.0,-10.94753120275595
COF-1_z31_inc_L050,inc,3.1,5.0,-10.944072001712348
COF-1_z31_inc_L060,inc,3.1,6.0,-10.944489739888013
COF-1_z31_inc_L070,inc,3.1,7.0,-10.948212228354075
COF-1_z31_inc_L075,inc,3.1,7.5,-10.954854613125804
COF-1_z32_inc_L000,inc,3.2,0.0,-10.911011701314685
COF-1_z32_inc_L010,inc,3.2,1.0,-10.924952650724281
COF-1_z32_inc_L020,inc,3.2,2.0,-10.942482710621146
COF-1_z32_inc_L030,inc,3.2,3.0,-10.950942550974398
COF-1_z32_inc_L040,inc,3.2,4.0,-10.95217548778123
COF-1_z32_inc_L050,inc,3.2,5.0,-10.946885945113925
COF-1_z32_inc_L060,inc,3.2,6.0,-10.945906887662412
COF-1_z32_inc_L070,inc,3.2,7.0,-10.949085192877824
COF-1_z32_inc_L075,inc,3.2,7.5,-10.95444589112296
COF-1_z33_inc_L000,inc,3.3,0.0,-10.928633790164037
COF-1_z33_inc_L010,inc,3.3,1.0,-10.938438803255787
COF-1_z33_inc_L020,inc,3.3,2.0,-10.951009648681561
COF-1_z33_inc_L030,inc,3.3,3.0,-10.955990211150791
COF-1_z33_inc_L040,inc,3.3,4.0,-10.954262416276727
COF-1_z33_inc_L050,inc,3.3,5.0,-10.947819365652625
COF-1_z33_inc_L060,inc,3.3,6.0,-10.945816512337302
COF-1_z33_inc_L070,inc,3.3,7.0,-10.948433158663013
COF-1_z33_inc_L075,inc,3.3,7.5,-10.952763449700416
COF-1_z34_inc_L000,inc,3.4,0.0,-10.940476289493594
COF-1_z34_inc_L010,inc,3.4,1.0,-10.947162331594175
COF-1_z34_inc_L020,inc,3.4,2.0,-10.95583352645138
COF-1_z34_inc_L030,inc,3.4,3.0,-10.95825868841021
COF-1_z34_inc_L040,inc,3.4,4.0,-10.954161325695383
COF-1_z34_inc_L050,inc,3.4,5.0,-10.947031081994853
COF-1_z34_inc_L060,inc,3.4,6.0,-10.944515137547716
COF-1_z34_inc_L070,inc,3.4,7.0,-10.946621033039623
COF-1_z34_inc_L075,inc,3.4,7.5,-10.950182381186872
COF-1_z35_inc_L000,inc,3.5,0.0,-10.948095122732113
COF-1_z35_inc_L010,inc,3.5,1.0,-10.952442423277976
COF-1_z35_inc_L020,inc,3.5,2.0,-10.957841682575978
COF-1_z35_inc_L030,inc,3.5,3.0,-10.958328197587786
COF-1_z35_inc_L040,inc,3.5,4.0,-10.952262436211454
COF-1_z35_inc_L050,inc,3.5,5.0,-10.944644306445001
COF-1_z35_inc_L060,inc,3.5,6.0,-10.942186166902303
COF-1_z35_inc_L070,inc,3.5,7.0,-10.943887111215764
COF-1_z35_inc_L075,inc,3.5,7.5,-10.94693029422983
COF-1_z36_inc_L000,inc,3.6,0.0,-10.95261477521081
